"NetC","ARPA Puglia","","","","","","","","","",""
"Stat","Foggia Via Rosati","","","","","","","","","",""
,SO2,NO2,NOx,CO,PM10,
18/04/2011 11.00,"5,28816812","23,13196872","27,17680472","0,83527355","18,78680992","0,80738206"
18/04/2011 12.00,"7,45545004","15,54980462","18,92286133","0,79767201","18,81937981","0,76818587"
18/04/2011 13.00,"7,06353384","13,4770991","16,48843792","0,78562591","18,78680992","0,66545971"
18/04/2011 14.00,"7,28026162","12,38428594","14,86592237","0,78716604","18,84449959","0,57363478"
18/04/2011 15.00,"8,37473973","1,90662728","2,70016082","0,71330737","18,79767036","2,16791958"
18/04/2011 16.00,,"8,16750952","24,89152496","0,77136747","18,7766304","1,20815532"
18/04/2011 17.00,,"9,13442513","4,22424661","0,73783528","18,51737976","3,51744705"
18/04/2011 18.00,"3,69341042","14,96835012","21,454552","0,93322442","18,39862061","0,35408991"
18/04/2011 19.00,"8,94184538","13,49007776","16,48325066","0,8415529","18,59881973","0,59851772"
18/04/2011 20.00,"8,62578313","25,11251392","28,54380824","0,91537196","18,59679031","0,72194288"
18/04/2011 21.00,"7,63425186","36,16001168","40,27882296","0,93124974","18,6293602","0,81541941"
18/04/2011 22.00,"6,18397834","25,60571432","28,87582704","0,85233614","18,65719032","0,83710999"
18/04/2011 23.00,"6,6932899","13,12283418","16,67001482","0,76390215","10,76294994","0,5364197"
19/04/2011 0.00,"11,26986516","12,19480483","18,34441058","0,60643027",,"0,95040582"
19/04/2011 1.00,"10,65941091","15,78860768","24,23525008","0,61523767",,"1,10939343"
19/04/2011 2.00,"10,86530256","1,8624467","4,094548","0,59236988",,"1,14969104"
19/04/2011 3.00,"10,79125479","6,08312551","10,01134672","0,59122352",,"0,98068395"
19/04/2011 4.00,"11,06216325","9,89757316","16,57014724","0,58198158",,"0,84756983"
19/04/2011 5.00,"10,88155422","6,193446","9,29023018","0,59383079",,"0,73185151"
19/04/2011 6.00,"10,77319287","2,75019021","4,77935183","0,61014312",,"0,90295159"
19/04/2011 7.00,"10,79125479","22,8386488","28,71370856","0,68068387",,"0,98574861"
19/04/2011 8.00,"10,61606637","34,76738736","42,65230328","0,80241239",,"0,97407752"
19/04/2011 9.00,"11,46130524","45,03356544","61,04211048","0,93630584",,"1,23083645"
19/04/2011 10.00,"12,68943444","14,75679688","20,3287664","0,71484866",,"1,49673416"
19/04/2011 11.00,"14,26251987","8,97867934","13,43536014","0,72092996",,"1,18712579"
19/04/2011 12.00,"17,97579027","8,19476508","12,36794982","0,75169878",,"1,04784663"
19/04/2011 13.00,,"7,22784947","11,3783598","0,81402511",,"1,03100002"
19/04/2011 14.00,,"10,1805071","15,20702699","0,79340694",,"1,0733896"
19/04/2011 15.00,,"5,60810632","9,89980638","0,80189863",,"0,96769177"
19/04/2011 16.00,,"5,42212034","116,95772832","8,10744237",,"0,20137719"
19/04/2011 17.00,,,,,,"0,51362873"
19/04/2011 18.00,,"24,07422144","25,73326384","0,76876137",,"8,12578932"
19/04/2011 19.00,,"25,03853864","25,99006456","0,81994914",,"7,29991006"
19/04/2011 20.00,,"29,9289184","30,60467656","0,86908185",,"0,54038295"
19/04/2011 21.00,,"36,9491132","37,53183344","0,91556884",,"0,63661251"
19/04/2011 22.00,,"13,43037938","13,42628197","0,84945276",,"0,66028522"
19/04/2011 23.00,,,,"0,83847264",,"0,75915694"
20/04/2011 0.00,,,,"0,80778421",,"0,74660513"
20/04/2011 1.00,,,,"0,79676447",,"0,59125126"
20/04/2011 2.00,,,,"0,79403837",,"0,53058416"
20/04/2011 3.00,,,,"0,85818211",,"0,55634782"
20/04/2011 4.00,,,,,,"0,57352393"
20/04/2011 5.00,,,,"0,84151329",,"0,51307752"
20/04/2011 6.00,,"22,84383032","21,81899832","0,84810952",,"0,41717849"
20/04/2011 7.00,,"14,81520466","17,11487795","0,87105769",,"0,44261264"
20/04/2011 8.00,,"24,77766536","30,21560368","0,99863101",,"0,54313597"
20/04/2011 9.00,,"21,12545856","28,39077176","1,05973293",,"0,77963627"
20/04/2011 10.00,,"5,90791366","9,4238178","0,89554482",,"0,87465458"
20/04/2011 11.00,,"1,5042335","3,14645986","0,85845705",,"0,71346415"
20/04/2011 12.00,,,,"0,84601718",,"0,62692355"
20/04/2011 13.00,,,,"0,82761134",,"0,5497424"
20/04/2011 14.00,,,,"0,83823498",,"0,502398"
20/04/2011 15.00,,"3,32631596","3,09871913","0,80087226",,"0,47068896"
20/04/2011 16.00,"7,19737612","2,84693167","3,13879465","0,8135894",,"0,32072926"
20/04/2011 17.00,"7,18655117","3,58193698","4,42096655","0,83408874",,"0,31885696"
20/04/2011 18.00,"8,10133352","11,39912221","12,81006349","0,85616666",,"0,32271037"
20/04/2011 19.00,"8,88259801","21,46271624","22,80864952","0,93697688",,"0,42477548"
20/04/2011 20.00,"8,00029254","33,74169496","35,42077512","0,96608557",,"0,53542914"
20/04/2011 21.00,"7,8198625","58,77973648","61,02019896","1,02635685",,"0,64167818"
20/04/2011 22.00,"7,6412356","67,10158264","70,30202208","1,08299565",,"0,72392399"
20/04/2011 23.00,"7,40306742","55,57702176","58,48949488","1,01174425",,"0,91241986"
21/04/2011 0.00,"6,92131757","33,80251568","36,34843928","0,94294052",,"0,89205138"
21/04/2011 1.00,"6,05885988","15,49340062","16,3822875","0,87204444",,"0,84580839"
21/04/2011 2.00,"5,53921966","17,73465275","18,53907704","0,85557484",,"0,72998023"
21/04/2011 3.00,"6,01375186","4,74008509","4,61245144","0,83460134",,"0,56801891"
21/04/2011 4.00,"5,89647142","3,62722652","3,05599166","0,81157512","0,19206201","0,49259921"
21/04/2011 5.00,"5,9939051","1,02365421","0,06986639","0,79565772","0,191384","0,4136556"
21/04/2011 6.00,"5,94879709","12,22600102","13,99778642","0,82413498","28,41436005","0,39636965"
21/04/2011 7.00,"5,77017019","40,93517432","51,07074368","0,96446739","28,69260979","0,46298111"
21/04/2011 8.00,"8,02555278","71,8584092","173,28324072","1,30429556","28,68651009","0,6904535"
21/04/2011 9.00,"7,75129839","77,14189616","144,88918032","1,34371217","28,65867996","1,2886407"
21/04/2011 10.00,"7,10535695","40,3696812","51,26739288","0,9971701","28,77132988","1,35756482"
21/04/2011 11.00,"7,6141712","26,19107312","32,06590344","0,97615816","28,63694954","1,01833837"
21/04/2011 12.00,"7,75671087","16,94270618","20,99989752","0,90356352","28,77609062","0,8542861"
21/04/2011 13.00,"6,55143467","8,78519833","11,80218137","0,8604725","28,74757957","0,68505832"
21/04/2011 14.00,"4,99792751","4,35705604","5,70054961","0,84380484","28,72315979","0,49392029"
21/04/2011 15.00,"4,48009145","2,15204013","2,7377125","0,81098213","28,61931992","0,41354474"
21/04/2011 16.00,"6,01014253","4,52268878","5,79111531","0,83736705","28,58876991","0,35353971"
21/04/2011 17.00,"5,06649162","8,06960365","9,92226855","0,83464095","28,68379021","0,34296901"
21/04/2011 18.00,"8,18794022","15,32518094","18,59600493","0,82618888","28,82427979","0,42840922"
21/04/2011 19.00,"7,6737135","24,75470224","27,53756088","0,85127016","28,9084301","0,47883614"
21/04/2011 20.00,"7,71521218","33,93968256","37,00310808","0,88397288","28,81748962","0,56779924"
21/04/2011 21.00,"7,49689076","34,65268648","37,02249576","0,93725415","28,72381973","0,60732596"
21/04/2011 22.00,"7,2118104","34,29424384","35,99391624","0,93752909","28,7978096","0,60369222"
21/04/2011 23.00,"7,51493437","70,3418108","74,11101288","1,07395059","28,76996994","0,63749425"
22/04/2011 0.00,"7,3128524","72,47049776","77,56808096","1,09642461","28,67497063","0,87058048"
22/04/2011 1.00,"6,62541125","43,47274248","46,58639624","0,92248079","28,68786049","1,03221127"
22/04/2011 2.00,"5,91631919","8,70108754","10,19655642","0,82081706","28,73468971","0,84845056"
22/04/2011 3.00,,"3,65957756","5,11833222","0,82812511","28,64781952","0,56647815"
22/04/2011 4.00,"5,76295356","4,70256018","5,37838908",,"28,73537064","0,43369355"
22/04/2011 5.00,"6,23748576",,,"0,81900083","28,73740959","0,41662829"
22/04/2011 6.00,"6,15990086","70,43628272","74,08772472","0,84826796","44,32838058","0,43952909"
22/04/2011 7.00,"6,55684817","66,87254416","86,08527616","0,95866103","44,55371094","0,54478758"
22/04/2011 8.00,"5,96683968","64,79047176","87,17077592","1,01130971","44,46411133","0,71423503"
22/04/2011 9.00,"6,54060871","74,34680072","88,289946","1,24986909","44,48720169","0,80650134"
22/04/2011 10.00,"7,22444154","67,99574856","84,84450288","1,09946526","44,56116104","1,03452393"
22/04/2011 11.00,"7,70258206","49,54948","62,09147344","1,03184866","44,50551987","1,00545705"
22/04/2011 12.00,"7,10535695","23,41152224","30,19246848","0,91059313","44,48651123","0,84437645"
22/04/2011 13.00,"6,12381465","14,25503072","19,08377334","0,87216327","44,49330139","0,67107559"
22/04/2011 14.00,"6,01736018","12,78243318","17,09129726","0,87844262","44,50959015","0,57605626"
22/04/2011 15.00,"8,24928668","6,05610513","9,48366531","0,88405093","44,52791977","0,50691246"
22/04/2011 16.00,"8,58488753","7,93502562","12,25242869","0,88831716","44,5679512","0,39691985"
22/04/2011 17.00,"6,31687481","10,5373035","13,77654316","0,86473756","44,54624176","0,3962588"
22/04/2011 18.00,"8,36837128","15,78455998","19,46285984","0,88515768","44,5442009","0,41938029"
22/04/2011 19.00,"7,38863314","30,54416176","34,15801384","0,96442661","44,58016968","0,49865442"
22/04/2011 20.00,"7,35074277","37,34296608","40,83020552","0,97904154","44,54080963","0,55513759"
22/04/2011 21.00,"7,44095779","55,78535328","60,21415712","1,05443917","44,51026154","0,55811028"
22/04/2011 22.00,"7,45719623","97,3118136","103,22832552","1,16574094","44,51231003","0,76180012"
22/04/2011 23.00,"7,52395618","106,1020424","116,9945152","1,2668909","44,50891113","0,99995101"
23/04/2011 0.00,"7,18113768","80,95539928","92,35768776","1,17004562","44,46208954","1,2320477"
23/04/2011 1.00,"6,73186573","40,0992288","45,11790376","0,97205037","44,46615982","1,10179644"
23/04/2011 2.00,"6,43235109","28,40126864","31,56777008","0,90569547","44,41321182","0,84371642"
23/04/2011 3.00,"6,30785402","15,12590274","18,0487217","0,87157145","44,45190048","0,62879585"
23/04/2011 4.00,"5,55365394","17,68806687","21,01802328","0,86568587","44,49465179","0,49546206"
23/04/2011 5.00,"6,22305148","16,19864564","19,61035152","0,86999055","44,47702026","0,49568173"
23/04/2011 6.00,"6,21583383","14,14503145","17,64375627","0,8707012","30,8222599","0,49259921"
23/04/2011 7.00,"5,91992751","39,47939664","46,27716848","0,95573804","30,59424019","0,48158815"
23/04/2011 8.00,"6,23928992","48,97362384","59,97995624","1,12091291","30,56707954","0,68759065"
23/04/2011 9.00,"6,27176781","41,97166952","50,49112088","1,18880678","30,62952995","1,03067051"
23/04/2011 10.00,"6,3998732","49,97650608","61,4458484","1,16747912","30,70755959","1,09034604"
23/04/2011 11.00,"5,21083544","18,84362805","25,67833208","0,97205037","30,51008034","1,00589741"
23/04/2011 12.00,"6,45761134","10,90222018","16,84547142","0,911383","30,62206078","0,76499249"
23/04/2011 13.00,"5,51395941","9,13587825","15,20879559","0,92690546","30,55894089","0,61195026"
23/04/2011 14.00,"3,84678013","9,17987528","14,84135317","0,91576806","30,62885094","0,4705781"
23/04/2011 15.00,"4,82651826","2,56095383","5,72771913","0,86410613","30,53993988","0,43600621"
23/04/2011 16.00,"4,97447142","1,34974772","3,49330048","0,87729743","30,61935043","0,37390819"
23/04/2011 17.00,"6,35837451","1,4506822","3,92672985","0,85774756","30,57250977","0,31720535"
23/04/2011 18.00,"7,14324731","10,73528919","15,76643039","0,91683403","30,62885094","0,31984752"
23/04/2011 19.00,"5,50313345","13,87069769","18,04354591","0,93701649","30,54944038","0,39636965"
23/04/2011 20.00,"5,09175186","13,34144653","16,98132284","0,94195376","30,65735054","0,43886906"
23/04/2011 21.00,"4,84636604","26,29330776","29,98415608","0,97098323","30,59082985","0,43622588"
23/04/2011 22.00,"4,33394245","41,91344912","45,93300848","1,02781892","30,60238075","0,54038295"
23/04/2011 23.00,"4,01097173","47,3496284","52,08381688","1,06225982","30,56777","0,59686611"
24/04/2011 0.00,"3,6013943","25,94780936","30,11872264","0,99381257","30,60102081","0,73339328"
24/04/2011 1.00,"3,06010317","9,80230011","13,89169336","0,92264039","30,59831047","0,67118542"
24/04/2011 2.00,"2,96086634","5,87753198","9,60269496","0,91774157","30,56707954","0,52981327"
24/04/2011 3.00,,"3,92485226","6,90250355","0,90518287","30,59354973","0,47575362"
24/04/2011 4.00,"3,53283121","1,82335968","4,47401308",,"30,62817001","0,4136556"
24/04/2011 5.00,"3,59778598",,,"0,89779677","30,59626961","0,35408991"
24/04/2011 6.00,"2,82373915","52,20608928","55,89925112","0,88578911","32,74832153","0,31709552"
24/04/2011 7.00,"2,091191","32,83588496","39,77703768","0,90040287","32,81958008","0,31709552"
24/04/2011 8.00,"1,99556249","18,85785906","22,8591072","0,92722117","32,84875107","0,33955596"
24/04/2011 9.00,"1,70867797","17,29338992","22,19151328","0,94487675","32,75035095","0,39879113"
24/04/2011 10.00,"1,7303299","13,7322383","18,15998862","0,95328805","32,81143951","0,45582449"
24/04/2011 11.00,"1,31173067","11,06784718","16,04718847","0,95830454","32,73881149","0,47817509"
24/04/2011 12.00,"0,90576156","4,03872525","9,16021036","0,90767014","32,74425125","0,49039638"
24/04/2011 13.00,"3,0817551","5,96034834","11,00648536","0,92694507","32,80397034","0,43600621"
24/04/2011 14.00,"1,08258328","2,5842439","5,42625982","0,87457249","32,75782013","0,43589637"
24/04/2011 15.00,"0,25260246","1,017184","0,01164408","0,84526575","32,8182106","0,35430958"
24/04/2011 16.00,"3,0402554","1,017184","0,09833034","0,84810952","32,7625618","0,27503646"
24/04/2011 17.00,"2,24275247","1,017184","0,40237658","0,86999055","32,76935959","0,23815191"
24/04/2011 18.00,"3,46968059","1,03012442","2,26158817","0,86299938","32,70080185","0,23782138"
24/04/2011 19.00,"1,360447","3,00092033","5,69925518","0,87145146","32,72660065","0,23782138"
24/04/2011 20.00,"0,75059177","8,11748395","12,1955008","0,88823794","32,78089142","0,26006216"
24/04/2011 21.00,"1,22873228","10,07533945","13,76748602","0,94475792","32,72457123","0,33724432"
24/04/2011 22.00,"0,97973814","13,89528218","18,27902018","0,96367635","32,76800156","0,35684191"
24/04/2011 23.00,"0,73074399","26,71775264","31,7527752","1,00277841","32,75579071","0,33922645"
25/04/2011 0.00,"0,95447789","33,96297072","39,73694304","0,97769713","32,81143951","0,48037792"
25/04/2011 1.00,"0,6982661","11,35382884","15,75478631","0,88764496","32,80397034","0,53058416"
25/04/2011 2.00,"0,8714795","8,17959718","12,10234625","0,87654717","32,74832153","0,41618793"
25/04/2011 3.00,"0,23455986","2,74211583","6,52988534","0,83918329","32,7849617","0,33460215"
25/04/2011 4.00,"0,55572643","1,02882999","1,75570738","0,83926251","32,7612114","0,2751463"
25/04/2011 5.00,"0,56655239","1,03400578","0,39461386","0,82113394","32,69538116","0,23782138"
25/04/2011 6.00,"0,84802342","3,43441662","5,95543068","0,76800994","27,10250092","0,23782138"
25/04/2011 7.00,"1,00680254","3,56252444","8,2713598","0,71867918","27,16155052","0,24773103"
25/04/2011 8.00,"1,41637997","3,47065093","8,11610158","0,74952605","27,18190956","0,26512682"
25/04/2011 9.00,"1,58959337","3,17949539","8,18079218","0,78574474","27,13915062","0,28296398"
25/04/2011 10.00,"0,96530386","2,3668495","6,53505922","0,78606045","27,1846199","0,29056097"
25/04/2011 11.00,"1,21790632","3,51076469","8,80182508","0,80505811","27,19342995","0,31742604"
25/04/2011 12.00,"0,46190208","1,78454034","5,86486306","0,78850928","27,13167953","0,32953648"
25/04/2011 13.00,"1,51742095","1,017184","1,65220126","0,78744331","27,11063957","0,31995837"
25/04/2011 14.00,"2,7118722","1,017184","1,12950062","0,79036629","27,08282089","0,28813847"
25/04/2011 15.00,"1,36946779","1,017184","0,01423102","0,7809263","27,14999962","0,270522"
25/04/2011 16.00,"3,32533575","1,017184","0,11256135","0,788825","27,08757019","0,24993284"
25/04/2011 17.00,"2,61083121","1,02106536","1,69619065","0,82381927","27,14594078","0,25092339"
25/04/2011 18.00,"1,53726872","1,50761774","4,82981142","0,85249341","27,10250092","0,30894731"
25/04/2011 19.00,"1,88910801","7,00850674","11,53048043","0,87796963","27,1656208","0,36410939"
25/04/2011 20.00,"2,17238421","17,29338992","22,64435136","0,86122276","27,16290092","0,39989254"
25/04/2011 21.00,"2,10201696","22,68815528","27,93215944","0,88302457","27,20701981","0,43963995"
25/04/2011 22.00,"1,46690046","28,63288832","33,81643504","0,93326403","27,12965012","0,47344096"
25/04/2011 23.00,"1,80250131","9,70783775","14,27078178","0,85142744","27,16765022","0,50008636"
26/04/2011 0.00,"1,01582435","2,86504787","6,77829812","0,7918272","27,13915062","0,40484736"
26/04/2011 1.00,"1,04649707","4,06719302","8,50295271","0,78720565","27,20227051","0,32072926"
26/04/2011 2.00,"0,66037573","2,15462898","6,00330142","0,82129122","27,10453987","0,31709552"
26/04/2011 3.00,,"1,25269651","0,87979342","0,71283321","27,16695976","0,26887039"
26/04/2011 4.00,"0,06495477",,,,"27,14863968","0,2185533"
26/04/2011 5.00,"0,50340178",,,"0,68727894","27,14933014","0,16107958"
26/04/2011 6.00,"0,08480255","60,16044904","64,99478808","0,70920074","25,76008987","0,15854725"
26/04/2011 7.00,"0,33740501","34,00956616","38,66306824","0,74162735","25,70038033","0,17186995"
26/04/2011 8.00,"0,22914637","38,59039312","44,75173664","0,82954641","25,6807003","0,22328845"
26/04/2011 9.00,"0,92741349","44,48466848","52,02557736","0,90802547","25,71055984","0,35607204"
26/04/2011 10.00,"0,91839168","34,75362096","41,53921336","0,87915444","25,69425964","0,48478153"
26/04/2011 11.00,"1,34601272","33,50747496","39,75634984","0,87611262","25,71735001","0,4972235"
26/04/2011 12.00,"0,82276317","46,1487968","53,7476584","0,96806141","25,67593956","0,63352998"
26/04/2011 13.00,"0,42762002","38,7443856","47,97854256","0,89345132","25,62573051","0,67635992"
26/04/2011 14.00,"0,57016071","23,15271392","31,37758344","0,90605079","25,67663002","0,66336774"
26/04/2011 15.00,"1,21610216","23,18506496","32,52262288","0,89155586","25,69902039","0,57649662"
26/04/2011 16.00,"1,05732303","26,01121128","32,8603012","0,83784121","25,63726044","0,68021333"
26/04/2011 17.00,"0,59542096","45,7916352","56,18390968","0,92978883","25,70988083","0,58585607"
26/04/2011 18.00,"0,35364446","55,45279912","67,72604184","1,03062308","25,64608955","0,68957278"
26/04/2011 19.00,"0,30312295","64,43591048","81,2127736","1,20132703","25,6854496","0,93521083"
26/04/2011 20.00,"0,84080678","73,3556008","88,96140216","1,309114","25,60807991","1,17754667"
26/04/2011 21.00,"0,72352634","70,066196","86,67136152","1,133432","25,69697952","1,32948851"
26/04/2011 22.00,"0,39153483","63,3618636","76,20312328","1,10823421","25,6820507","1,2021001"
26/04/2011 23.00,"0,37168706","28,53195384","34,98604368","0,89368898","25,73838043","1,09320788"
27/04/2011 0.00,"0,22192974","11,29818773","16,85970626","0,78459954","25,67934036","0,81927283"
27/04/2011 1.00,"0,36446941","4,78149518","9,95978964","0,75900566","25,71870041","0,53509862"
27/04/2011 2.00,"0,2417765","4,2884726","8,43696768","0,76785267","25,59247017","0,38304695"
27/04/2011 3.00,"0,09562851","1,08317859","3,40920307","0,74980216","25,70852089","0,33999632"
27/04/2011 4.00,"0,23455986","1,02882999","1,75829432","0,72440632","25,65353966","0,29111117"
27/04/2011 5.00,"0,11547527","1,017184","1,45942386","0,72227437","25,70919991","0,27129289"
27/04/2011 6.00,"0,30131879","3,10703059","6,06799203","0,73913891","17,49328041","0,27085253"
27/04/2011 7.00,"0,75600424","16,05760314","21,95084984","0,82243641","17,34872055","0,29144169"
27/04/2011 8.00,"0,06315062","32,23285928","42,223652","0,90636767","17,37112045","0,40947166"
27/04/2011 9.00,"0,04510802","38,01585624","52,87691448","1,03990463","17,35346985","0,57902895"
27/04/2011 10.00,"0,54850878","34,37577152","47,61239456","0,94317818","17,36227989","0,68858121"
27/04/2011 11.00,"0,4474678","16,64637868","26,43909776","0,84329108","17,39690971","0,70091335"
27/04/2011 12.00,"0,23997234","6,69664807","13,89945608","0,77010345","17,35210991","0,53124521"
27/04/2011 13.00,"0,33018837","6,09233944","13,73772956","0,79237941","17,3819809","0,43963995"
27/04/2011 14.00,"0,23275571","7,95573066","14,92415615","0,8204629","17,35075951","0,44371303"
27/04/2011 15.00,"0,06495477","1,86994365","7,12115796","0,76674708","17,38739967","0,3870102"
27/04/2011 16.00,"0,06315062","6,44819514","12,30806406","0,7788724","17,41386986","0,36686139"
27/04/2011 17.00,"0,06675893","14,92791706","20,25855776","0,81576213","17,41591072","0,34506098"
27/04/2011 18.00,"0,02345609","32,55636968","39,45876616","0,8822347","17,37247086","0,38282626"
27/04/2011 19.00,"0,08119423","41,22761472","48,81563528","0,91122572","17,33242989","0,47090863"
27/04/2011 20.00,"0,27064607","49,41489432","59,28259248","1,00660893","17,41996956","0,60644524"
27/04/2011 21.00,"0,08480255","52,98509544","64,03217256","1,07738734","17,42539978","0,75365192"
27/04/2011 22.00,"0,03789037","21,98033288","28,6075352","0,91197482","17,37043953","0,86848952"
27/04/2011 23.00,"0,0595423","9,02588662","14,2979513","0,81580174","17,40028954","0,70256496"
28/04/2011 0.00,"0,03067272","2,13004257","6,97366437","0,77934656","17,37655067","0,53443757"
28/04/2011 1.00,"0,06495477","1,7703055","5,82734389","0,75446332","17,39011955","0,42312387"
28/04/2011 2.00,"0,01082597","1,05212198","2,85027385","0,7402445","17,36569023","0,37853249"
28/04/2011 3.00,,"1,02494863","1,48918032","0,74533904","17,33786011","0,34484131"
28/04/2011 4.00,"0,09382435","1,017184","0,07892354",,"17,38739967","0,32480234"
28/04/2011 5.00,"0,13532304",,,"0,71488827","17,44238091","0,28483526"
28/04/2011 6.00,"0,15877913","72,79915144","78,76097776","0,73712463","22,20252991","0,29958888"
28/04/2011 7.00,"0,09562851","43,11171864","49,62555848","0,786495","22,24324989","0,32491218"
28/04/2011 8.00,"0,27966788","46,1901916","57,82706336","0,87121496","22,29483986","0,36554031"
28/04/2011 9.00,"0,23816818","37,79716168","49,19730872","0,95502623","22,23443031","0,52981327"
28/04/2011 10.00,"0,74517827","26,25059368","35,7403468","0,88519729","22,29957962","0,61437275"
28/04/2011 11.00,"0,49618413","17,60266357","25,77666624","0,82883576","22,31110954","0,63540228"
28/04/2011 12.00,"0,86967535","11,06137697","18,74349852","0,78823318","22,31451988","0,54027311"
28/04/2011 13.00,"1,55350716","9,28598554","16,33182791","0,80691395","22,24529076","0,50438013"
28/04/2011 14.00,"1,50659499","10,32120353","17,64634321","0,79692175","22,20862961","0,47454237"
28/04/2011 15.00,"2,14351565","7,03697642","13,08823463","0,76761617","22,28260994","0,42895941"
28/04/2011 16.00,"0,17140925","11,43276194","18,46403486","0,79127383","22,21747017","0,37974373"
28/04/2011 17.00,"1,45066202","9,2471643","16,44438926","0,81659161","22,30298042","0,40044273"
28/04/2011 18.00,"2,26620856","12,16647664","104,28537472","0,82480602","22,32538033","0,28626618"
28/04/2011 19.00,"6,08772844","23,21093432","24,30819288","0,9037604","22,26292992","0,53190524"
28/04/2011 20.00,"6,28620209","33,54112616","33,95876432","0,90139079","22,27176094","0,6575322"
28/04/2011 21.00,"6,28800625","35,63486176","35,89040056","0,92311338","22,2798996","0,72128183"
28/04/2011 22.00,"6,06607651","31,9701696","32,4721652","0,90668339","22,33757973","0,65433983"
28/04/2011 23.00,"6,06788067","22,17702032","22,09836064","0,83365303","22,32130051","0,65301875"
29/04/2011 0.00,"6,19779123","10,00805043","8,22478157","0,77717383","22,29142952","0,51704178"
29/04/2011 1.00,"6,21402967","8,45392903","7,09528286","0,76765578","22,22900963","0,47883614"
29/04/2011 2.00,"5,48328568","6,99686075","5,86745191","0,75450293","22,3118","0,58541571"
29/04/2011 3.00,"6,06968483","5,83871073","5,10668814","0,75639839","22,3199501","0,74440332"
29/04/2011 4.00,"5,66732505","3,69192669","2,46989292","0,73202892","22,22764969","0,97903234"
29/04/2011 5.00,"5,70341126","1,78454034","0,86426798","0,7346758","22,2954998","0,72348363"
29/04/2011 6.00,"5,4508088","9,26786934","8,42402918","0,75031592","15,99818039","0,4931494"
29/04/2011 7.00,"5,90910256","30,13138008","36,99792656","0,87263743","15,95814037","0,46077931"
29/04/2011 8.00,"6,59473853","55,12670752","84,93249312","1,14464978","15,90655994","0,68219546"
29/04/2011 9.00,"5,8387343","25,5311272","29,80691368","0,9426248","15,89840984","0,97253574"
29/04/2011 10.00,"5,97225317","7,8315042","8,63750971","0,80782382","15,87804985","0,8028676"
29/04/2011 11.00,"4,96364546","3,71392616","3,54634701","0,7585315","15,94591999","0,56945084"
29/04/2011 12.00,"4,53602543","3,42535947","3,68996115","0,76311345","15,9540596","0,41398612"
29/04/2011 13.00,"5,40028831","4,74784972","5,11315644","0,77243461","15,84683037","0,34296901"
29/04/2011 14.00,"5,27037774","3,38006802","3,20736853","0,74494527","15,85498047","0,33746399"
29/04/2011 15.00,"5,92353684","3,22737378","2,73512556","0,74186385","15,95814037","0,28307381"
29/04/2011 16.00,"6,69577952","5,84000324","5,46378091","0,76417942","15,97171021","0,31709552"
29/04/2011 17.00,"6,52076195","6,57630297","6,83651852","0,81181278","15,88212967","0,31973768"
29/04/2011 18.00,"6,43595941","15,77032896","16,29301431","0,84218549","15,91537952","0,36939372"
29/04/2011 19.00,"5,46163375","17,5457223","18,08365394","0,86521172","15,98867989","0,50327872"
29/04/2011 20.00,"5,77017019","26,37741664","26,67716088","0,91094845","15,94048977","0,64024625"
29/04/2011 21.00,"6,33311427","41,43076472","43,40102336","0,98085777","15,85566044","0,70091335"
29/04/2011 22.00,"5,99570825","26,64138736","26,1247076","0,86773977","15,91199017","0,73570492"
29/04/2011 23.00,"5,40570078","11,88955786","11,18632617","0,80896901","15,8909502","0,61558298"
30/04/2011 0.00,"5,57530587","12,7552541","11,41015636","0,81003499","15,90791035","0,5121968"
30/04/2011 1.00,"5,4959158","32,13840648","31,55356392","0,88681664","15,92556","0,5001962"
30/04/2011 2.00,"5,69078114","16,82754068","14,84006066","0,8163155","15,8909502","0,55744923"
30/04/2011 3.00,,"2,28791258","1,2886402","0,75707059","15,93369961","0,47256024"
30/04/2011 4.00,"5,62041287","2,65024041","1,79969677",,"15,92963028","0,39361663"
30/04/2011 5.00,"6,0895326",,,"0,749328","15,83257961","0,32127945"
30/04/2011 6.00,"5,69799777","58,11979056","57,25002176","0,75991319","23,35626984","0,31874712"
30/04/2011 7.00,"4,88966888","30,65674032","29,82760152","0,74735449","23,48180962","0,31797624"
30/04/2011 8.00,"5,90729738","32,11123696","32,57696192","0,80098993","23,46348953","0,30212121"
30/04/2011 9.00,"6,47204562","59,9107036","82,13525624","1,05443917","23,45671082","0,41794937"
30/04/2011 10.00,"6,00292589","48,67342072","61,94398176","0,99361569","23,56731987","0,79879451"
30/04/2011 11.00,"5,64747728","26,99984912","29,92335448","0,88535457","23,45671082","0,77578286"
30/04/2011 12.00,"6,10577104","39,63208896","46,32114448","1,00708309","23,57208061","0,74088043"
30/04/2011 13.00,"6,20681304","38,99283088","43,27680072","1,05835008","23,55578995","0,86056201"
30/04/2011 14.00,"6,50813183","32,7815268","37,37958088","0,97509102","23,45195961","0,89634515"
30/04/2011 15.00,"5,51395941","8,58980149","8,06176254","0,78424305","23,49879074","0,74781637"
30/04/2011 16.00,"6,01014253","7,47435407","7,444611","0,79012863","23,58023071","0,4977737"
30/04/2011 17.00,"5,27759438","10,1503931","10,9637904","0,78894383","23,43906975","0,41772868"
30/04/2011 18.00,"6,13103128","10,90609389","10,55364919","0,81106135","23,45671082","0,37798229"
