"NetC","Provincia di Lecce","","","","","","","","","",""
"Stat","Galatina","","","","","","","","","",""
,SO2,NO2,NOX,CO,O3,PM2.5



01/01/2011 1.00,"3,2","68,8","85,1","0,8","16,8","49,3"
01/01/2011 2.00,"3,1","61,9","75,5","0,7","22,1","49,3"
01/01/2011 3.00,"2,7",63,"75,6","0,6","20,2","49,3"
01/01/2011 4.00,"2,6","60,4","72,7","0,5","21,6","49,3"
01/01/2011 5.00,"2,7","64,2","78,3","0,6",13,"49,3"
01/01/2011 6.00,"2,8","56,8","72,2","0,5","15,3","49,3"
01/01/2011 7.00,"2,7","55,2","67,5","0,4","19,6","49,3"
01/01/2011 8.00,"2,8","52,8","68,8","0,5","12,5","49,3"
01/01/2011 9.00,"3,1","61,2","86,9","0,5",24,"49,3"
01/01/2011 10.00,"2,9","57,4","72,3","0,4","32,1","49,3"
01/01/2011 11.00,"2,9","49,6","61,4","0,4","43,4","49,3"
01/01/2011 12.00,"2,8","46,8","54,4","0,3","58,5","49,3"
01/01/2011 13.00,3,"48,7","55,9","0,3","57,8","49,3"
01/01/2011 14.00,"2,9","49,8",57,"0,3","59,2","49,3"
01/01/2011 15.00,"2,9","45,6","52,1","0,3","60,3","49,3"
01/01/2011 16.00,"2,7","47,9","54,9","0,4","52,6","49,3"
01/01/2011 17.00,"2,9","53,4","61,3","0,5","40,9","49,3"
01/01/2011 18.00,"2,7","64,6","74,9","0,6","28,2","49,3"
01/01/2011 19.00,"2,9","65,3","76,8","0,6","27,2","49,3"
01/01/2011 20.00,"3,3","73,3","88,7","0,6","18,8","49,3"
01/01/2011 21.00,"3,3","78,7","97,4","0,7","14,2","49,3"
01/01/2011 22.00,"3,3",66,"80,4","0,5","26,5","49,3"
01/01/2011 23.00,3,"65,3","78,5","0,5","25,9","49,3"
02/01/2011 0.00,"3,1","60,7","72,3","0,4","32,3","49,3"
02/01/2011 1.00,"3,1","54,5","64,7","0,4","36,6","18,7"
02/01/2011 2.00,"3,1",,,"0,3","41,4","18,7"
02/01/2011 3.00,"3,1","46,9","55,3",,42,"18,7"
02/01/2011 4.00,,"45,2","53,1","0,2","45,6","18,7"
02/01/2011 5.00,"2,9","43,4",51,"0,2",,"18,7"
02/01/2011 6.00,"3,2","42,8","50,2","0,2","47,3","18,7"
02/01/2011 7.00,"3,2","40,9","47,9","0,2","54,1","18,7"
02/01/2011 8.00,"3,1","42,3","48,9","0,2","50,3","18,7"
02/01/2011 9.00,3,41,"48,2","0,2","52,3","18,7"
02/01/2011 10.00,"3,1","42,5","49,7","0,2","56,4","18,7"
02/01/2011 11.00,"3,2","44,1","51,3","0,3",56,"18,7"
02/01/2011 12.00,"3,3","44,1","52,1","0,3",56,"18,7"
02/01/2011 13.00,"3,3","46,4","54,4","0,3","54,4","18,7"
02/01/2011 14.00,"3,2","47,5","55,1","0,4",54,"18,7"
02/01/2011 15.00,"3,3","43,9","51,2","0,3","58,1","18,7"
02/01/2011 16.00,"3,3","45,6",53,"0,4","53,3","18,7"
02/01/2011 17.00,"3,3","46,6","54,1","0,4",52,"18,7"
02/01/2011 18.00,"3,2","59,2","68,2","0,5","36,5","18,7"
02/01/2011 19.00,"3,3","67,5","78,9","0,5","29,4","18,7"
02/01/2011 20.00,"3,4","61,8","72,7","0,5","35,6","18,7"
02/01/2011 21.00,"3,5","72,1","84,8","0,5","27,4","18,7"
02/01/2011 22.00,"3,7",67,"78,5","0,5","29,7","18,7"
02/01/2011 23.00,"3,4","57,3","67,4","0,5","35,9","18,7"
03/01/2011 0.00,"3,3","47,5","55,9","0,4","40,9","18,7"
03/01/2011 1.00,3,"45,5","53,4","0,3","43,1","16,4"
03/01/2011 2.00,"3,3",41,48,"0,3","45,8","16,4"
03/01/2011 3.00,"3,3","37,3","43,9","0,3","49,3","16,4"
03/01/2011 4.00,"3,2","36,2","42,6","0,3","49,7","16,4"
03/01/2011 5.00,"3,2","34,2","40,5","0,3","51,3","16,4"
03/01/2011 6.00,"3,3","35,5","41,8","0,3","50,7","16,4"
03/01/2011 7.00,"3,1","38,9","45,7","0,3","46,4","16,4"
03/01/2011 8.00,"3,2","48,2","57,8","0,3","35,1","16,4"
03/01/2011 9.00,"3,3","48,1",61,"0,4","33,8","16,4"
03/01/2011 10.00,"3,6","43,5","55,9","0,4","43,2","16,4"
03/01/2011 11.00,"3,5",37,"47,2","0,3","47,1","16,4"
03/01/2011 12.00,"3,7","36,9","46,2","0,3","49,5","16,4"
03/01/2011 13.00,"3,9","35,6","44,6","0,3","52,2","16,4"
03/01/2011 14.00,"3,7","37,8","46,6","0,3","51,8","16,4"
03/01/2011 15.00,"3,7","35,1","42,4","0,3",59,"16,4"
03/01/2011 16.00,"3,5",35,"41,6","0,3","57,9","16,4"
03/01/2011 17.00,"3,5","47,1","54,2","0,4","47,7","16,4"
03/01/2011 18.00,4,"49,1","56,9","0,4","45,2","16,4"
03/01/2011 19.00,"4,6","52,7",61,"0,4","43,8","16,4"
03/01/2011 20.00,"4,5","57,6","66,7","0,5","41,2","16,4"
03/01/2011 21.00,"4,1","57,8","66,1","0,5","39,9","16,4"
03/01/2011 22.00,"3,9","52,8","60,6","0,5","40,7","16,4"
03/01/2011 23.00,4,"41,6","48,2","0,4","49,5","16,4"
04/01/2011 0.00,"3,9","38,9","45,2","0,3","51,1","16,4"
04/01/2011 1.00,"4,4",33,"38,6","0,3","55,5","24,1"
04/01/2011 2.00,"3,9",,,"0,2","53,9","24,1"
04/01/2011 3.00,"3,4","30,9","36,8",,"48,5","24,1"
04/01/2011 4.00,,"31,2","37,2","0,2",50,"24,1"
04/01/2011 5.00,"3,3","33,9","39,4","0,2",,"24,1"
04/01/2011 6.00,"3,8","32,3","37,8","0,2","55,6","24,1"
04/01/2011 7.00,"3,4","36,9",43,"0,2","51,3","24,1"
04/01/2011 8.00,"3,5","46,1","54,9","0,3","44,1","24,1"
04/01/2011 9.00,"3,8","45,6","55,3","0,3","40,4","24,1"
04/01/2011 10.00,"3,5","50,6","62,5","0,3","38,7","24,1"
04/01/2011 11.00,"4,1","46,9","58,9","0,3",50,"24,1"
04/01/2011 12.00,"5,7",41,"49,7","0,3","61,5","24,1"
04/01/2011 13.00,"5,7",43,"51,4","0,3","64,5","24,1"
04/01/2011 14.00,5,"44,7","52,4","0,3","64,8","24,1"
04/01/2011 15.00,"5,2","52,5","61,6","0,3","58,3","24,1"
04/01/2011 16.00,"5,3","61,9",71,"0,3","50,5","24,1"
04/01/2011 17.00,"4,2","82,3","93,8","0,5","30,9","24,1"
04/01/2011 18.00,"4,3",88,"101,4","0,6","27,2","24,1"
04/01/2011 19.00,"3,7","83,6","96,1","0,6","28,6","24,1"
04/01/2011 20.00,"2,9","89,7","106,5","0,8","15,7","24,1"
04/01/2011 21.00,"3,5","87,5",106,"0,9","22,8","24,1"
04/01/2011 22.00,"3,2","90,6","110,3","0,9","16,4","24,1"
04/01/2011 23.00,"3,3",86,"117,1",1,"9,8","24,1"
05/01/2011 0.00,"3,2","78,7","108,3",1,"9,3","24,1"
05/01/2011 1.00,"3,1","72,1","94,2","0,9","8,5","46,6"
05/01/2011 2.00,3,"69,1","94,7","0,9","8,3","46,6"
05/01/2011 3.00,3,"65,2","81,5","0,7","9,4","46,6"
05/01/2011 4.00,"2,8","61,8","75,1","0,7","9,4","46,6"
05/01/2011 5.00,"2,9","59,3","72,2","0,6","11,6","46,6"
05/01/2011 6.00,"2,8","60,2","73,1","0,6","13,1","46,6"
05/01/2011 7.00,"2,9","66,5","83,4","0,5","9,1","46,6"
05/01/2011 8.00,"2,9",68,"90,2","0,6","9,5","46,6"
05/01/2011 9.00,"3,2","68,4","94,2","0,6","12,9","46,6"
05/01/2011 10.00,"3,2","72,6","102,3","0,5","18,6","46,6"
05/01/2011 11.00,4,"64,6","82,8","0,4","43,2","46,6"
05/01/2011 12.00,"3,9","49,2","56,5","0,3","61,1","46,6"
05/01/2011 13.00,"3,7","44,5","50,4","0,2","66,9","46,6"
05/01/2011 14.00,"3,7","47,6","53,4","0,2","67,6","46,6"
05/01/2011 15.00,"3,2","52,3","58,6","0,3",63,"46,6"
05/01/2011 16.00,"3,1","51,1","57,4","0,3","59,8","46,6"
05/01/2011 17.00,"2,9","53,2","59,3","0,3","54,3","46,6"
05/01/2011 18.00,"2,8","65,4","72,7","0,4","35,7","46,6"
05/01/2011 19.00,"2,7","70,5","78,7","0,5","27,8","46,6"
05/01/2011 20.00,"2,7","77,4","90,1","0,7","19,1","46,6"
05/01/2011 21.00,"2,7","68,5","80,3","0,6",23,"46,6"
05/01/2011 22.00,"2,7","74,7","86,3","0,7","17,6","46,6"
05/01/2011 23.00,"2,7","80,4","93,5","0,8","13,4","46,6"
06/01/2011 0.00,"2,9","69,7","81,5","0,8","15,8","46,6"
06/01/2011 1.00,3,"64,1","79,4","0,9","14,4","32,3"
06/01/2011 2.00,"2,5",,,"0,7","20,6","32,3"
06/01/2011 3.00,"2,7","53,7","63,8",,"25,3","32,3"
06/01/2011 4.00,,"52,8","62,9","0,5","25,4","32,3"
06/01/2011 5.00,"2,2",46,"55,5","0,4",,"32,3"
06/01/2011 6.00,"2,4","46,6","55,9","0,3","26,2","32,3"
06/01/2011 7.00,"2,6","45,8","55,3","0,3","27,1","32,3"
06/01/2011 8.00,"2,5","51,7","62,8","0,3","21,8","32,3"
06/01/2011 9.00,"2,5","55,5","67,8","0,3","25,9","32,3"
06/01/2011 10.00,"2,6","52,7","64,7","0,3","37,6","32,3"
06/01/2011 11.00,"3,6","55,9",67,"0,4","48,8","32,3"
06/01/2011 12.00,"4,3","49,8","58,7","0,3","61,8","32,3"
06/01/2011 13.00,"4,2","54,1","61,9","0,3","65,5","32,3"
06/01/2011 14.00,"4,1","53,2","60,2","0,3","69,6","32,3"
06/01/2011 15.00,"3,5","43,6","49,9","0,2","73,7","32,3"
06/01/2011 16.00,"2,7","37,4","43,5","0,3","72,3","32,3"
06/01/2011 17.00,"2,6","51,1","58,2","0,3","49,1","32,3"
06/01/2011 18.00,"2,7","67,6","78,6","0,5","21,7","32,3"
06/01/2011 19.00,"2,8","68,6","84,4","0,6","14,1","32,3"
06/01/2011 20.00,"2,5","60,1","74,4","0,6","14,5","32,3"
06/01/2011 21.00,"2,7","67,6","93,9","0,7","9,1","32,3"
06/01/2011 22.00,"2,9","66,4","98,9","0,8","8,8","32,3"
06/01/2011 23.00,"2,6","62,5","91,5","0,8","8,9","32,3"
07/01/2011 0.00,2,"57,2","74,5","0,6","11,7","32,3"
07/01/2011 1.00,"1,9","52,8","66,7","0,6","14,4","32,7"
07/01/2011 2.00,"2,2","50,4","63,2","0,5","15,2","32,7"
07/01/2011 3.00,"1,9","49,8","62,3","0,6","14,5","32,7"
07/01/2011 4.00,"2,1","45,7","58,4","0,5","15,4","32,7"
07/01/2011 5.00,2,"48,1","60,2","0,5","22,8","32,7"
07/01/2011 6.00,2,"45,5",57,"0,5","18,9","32,7"
07/01/2011 7.00,"2,4","52,4","66,3","0,5",13,"32,7"
07/01/2011 8.00,"2,7",57,"82,4","0,5","11,7","32,7"
07/01/2011 9.00,"3,3","72,7","136,1","0,6","11,3","32,7"
07/01/2011 10.00,"2,4","58,7","82,9","0,4","34,8","32,7"
07/01/2011 11.00,"2,1","38,7","47,4","0,2","68,5","32,7"
07/01/2011 12.00,"2,2","34,2","40,7","0,2",73,"32,7"
07/01/2011 13.00,"2,4",36,"41,7","0,2",76,"32,7"
07/01/2011 14.00,"2,2","36,2","42,4","0,2","76,5","32,7"
07/01/2011 15.00,"2,3","36,5","42,1","0,2","77,1","32,7"
07/01/2011 16.00,"2,5","35,1","40,8","0,2","73,3","32,7"
07/01/2011 17.00,"2,4","45,3","52,1","0,4","54,2","32,7"
07/01/2011 18.00,"2,3","60,7","70,6","0,5","32,8","32,7"
07/01/2011 19.00,"2,3","63,2","74,2","0,5","28,2","32,7"
07/01/2011 20.00,"2,2","59,5","71,6","0,5","28,1","32,7"
07/01/2011 21.00,"2,1","61,1","73,7","0,5","23,6","32,7"
07/01/2011 22.00,"2,2","58,5",71,"0,5","22,8","32,7"
07/01/2011 23.00,"1,9","54,1","66,2","0,5","26,4","32,7"
08/01/2011 0.00,"2,1","52,6","64,7","0,6","23,5","32,7"
08/01/2011 1.00,"1,9","49,6","62,1","0,6","23,1","27,1"
08/01/2011 2.00,"2,3",,,"0,5","25,5","27,1"
08/01/2011 3.00,"2,2","45,9","57,5",,"27,1","27,1"
08/01/2011 4.00,,"45,6","56,3","0,4",31,"27,1"
08/01/2011 5.00,2,"43,9","54,3","0,3",,"27,1"
08/01/2011 6.00,2,"42,6","52,5","0,3","30,3","27,1"
08/01/2011 7.00,"2,1","53,7","67,3","0,2","19,5","27,1"
08/01/2011 8.00,"2,6","53,1","72,2","0,3","21,1","27,1"
08/01/2011 9.00,"3,1","68,1","112,8","0,6","14,4","27,1"
08/01/2011 10.00,"2,5","56,5","79,7","0,4",32,"27,1"
08/01/2011 11.00,"2,2","38,1","47,7","0,2","62,7","27,1"
08/01/2011 12.00,"2,4","30,5","36,4","0,2",71,"27,1"
08/01/2011 13.00,"2,4","28,3","33,9","0,2","75,3","27,1"
08/01/2011 14.00,"2,6","28,7","35,1","0,2","80,3","27,1"
08/01/2011 15.00,"2,5","28,4","33,8","0,2","82,6","27,1"
08/01/2011 16.00,"2,9","29,8",35,"0,2","79,4","27,1"
08/01/2011 17.00,"2,7","37,7",44,"0,3","66,2","27,1"
08/01/2011 18.00,"2,4","44,8","53,1","0,3","49,1","27,1"
08/01/2011 19.00,"2,5","50,8","60,7","0,3","44,5","27,1"
08/01/2011 20.00,"2,4","56,6",72,"0,4","26,5","27,1"
08/01/2011 21.00,"2,6","67,6","83,8","0,6","18,4","27,1"
08/01/2011 22.00,"2,7","60,9","80,2","0,6","16,7","27,1"
08/01/2011 23.00,"2,7","61,8","84,8","0,7","11,1","27,1"
09/01/2011 0.00,"2,6","59,3",79,"0,6","12,2","27,1"
09/01/2011 1.00,"2,7","53,2","72,1","0,5","17,4","31,6"
09/01/2011 2.00,"2,7","50,4","67,3","0,4","18,5","31,6"
09/01/2011 3.00,"2,4","45,5","61,1","0,4","18,9","31,6"
09/01/2011 4.00,"3,2","42,5","57,7","0,4","22,9","31,6"
09/01/2011 5.00,"2,6","42,7","56,8","0,3","31,5","31,6"
09/01/2011 6.00,"2,3","43,9","57,5","0,3","26,5","31,6"
09/01/2011 7.00,"2,3","41,9","54,9","0,3","28,3","31,6"
09/01/2011 8.00,"2,3","45,1","58,1","0,3","30,9","31,6"
09/01/2011 9.00,"2,5","47,4","62,5","0,3","26,6","31,6"
09/01/2011 10.00,"2,2","49,7","64,1","0,3","31,2","31,6"
09/01/2011 11.00,"2,6",47,"59,5","0,3","42,9","31,6"
09/01/2011 12.00,"2,2",39,"48,7","0,3","57,1","31,6"
09/01/2011 13.00,"2,7","34,8","42,7","0,3","65,9","31,6"
09/01/2011 14.00,"2,5","35,6","43,2","0,2","71,1","31,6"
09/01/2011 15.00,"2,4","31,5","38,2","0,2","71,1","31,6"
09/01/2011 16.00,"2,6","35,8","43,4","0,3","56,5","31,6"
09/01/2011 17.00,"2,7","42,4","52,1","0,3","40,9","31,6"
09/01/2011 18.00,"2,6","53,8","68,5","0,4","20,8","31,6"
09/01/2011 19.00,"2,8","57,8",76,"0,5","15,1","31,6"
09/01/2011 20.00,"3,1","60,9","84,6","0,6","12,4","31,6"
09/01/2011 21.00,"3,2","61,4","93,5","0,9","9,8","31,6"
09/01/2011 22.00,"2,9","62,1","87,3","0,9","9,9","31,6"
09/01/2011 23.00,"2,8","53,3","73,8","0,6","12,5","31,6"
10/01/2011 0.00,"2,8","51,9","70,9","0,6","17,6","31,6"
10/01/2011 1.00,"2,7",44,59,"0,4","28,5","12,1"
10/01/2011 2.00,"2,7",,,"0,3","34,9","12,1"
10/01/2011 3.00,"2,6","38,5","50,5",,"38,2","12,1"
10/01/2011 4.00,,"40,3",53,"0,2","30,9","12,1"
10/01/2011 5.00,"2,1","41,4","54,5","0,2",,"12,1"
10/01/2011 6.00,"2,6","38,8","51,1","0,2",31,"12,1"
10/01/2011 7.00,"2,6","46,3","61,5","0,2","21,9","12,1"
10/01/2011 8.00,"2,7","57,1","81,3","0,3","10,4","12,1"
10/01/2011 9.00,"3,1","58,5","83,9","0,4","16,9","12,1"
10/01/2011 10.00,3,"58,4","79,9","0,3","22,1","12,1"
10/01/2011 11.00,"2,7","43,5",58,"0,2","44,6","12,1"
10/01/2011 12.00,"2,5","34,8","43,1","0,2","67,8","12,1"
10/01/2011 13.00,"2,3","29,4","35,5","0,2","71,1","12,1"
10/01/2011 14.00,"2,9","30,7","37,9","0,2","68,7","12,1"
10/01/2011 15.00,"2,6","32,5","38,9","0,2","67,4","12,1"
10/01/2011 16.00,"2,7","32,3","38,9","0,2","63,7","12,1"
10/01/2011 17.00,"2,5","33,5","40,5","0,2","60,5","12,1"
10/01/2011 18.00,"2,7","34,1","41,4","0,2","57,7","12,1"
10/01/2011 19.00,"2,9","40,2","49,9","0,3","51,6","12,1"
10/01/2011 20.00,"2,6","38,2",47,"0,3","56,3","12,1"
10/01/2011 21.00,"2,8","38,9","47,6","0,2","53,2","12,1"
10/01/2011 22.00,"2,8","38,3","47,2","0,2","50,2","12,1"
10/01/2011 23.00,"2,8","38,2","47,3","0,2","50,1","12,1"
11/01/2011 0.00,"2,9","35,9","44,4","0,2","53,6","12,1"
11/01/2011 1.00,"2,7",35,"43,5","0,2","53,9","15,1"
11/01/2011 2.00,"2,7",35,"44,1","0,2","48,7","15,1"
11/01/2011 3.00,"3,2","36,9","46,8","0,1","48,8","15,1"
11/01/2011 4.00,"2,7","37,4",47,"0,2","50,9","15,1"
11/01/2011 5.00,"2,6","37,3","47,1","0,2","50,1","15,1"
11/01/2011 6.00,"2,6","39,2","49,2","0,2","44,9","15,1"
11/01/2011 7.00,"2,8","45,5","56,5","0,2",40,"15,1"
11/01/2011 8.00,"3,2","40,3","50,3","0,2","44,6","15,1"
11/01/2011 9.00,3,"40,4","53,4","0,2","44,4","15,1"
11/01/2011 10.00,"3,2","31,9","41,6","0,2","55,1","15,1"
11/01/2011 11.00,"2,6","25,8","32,5","0,2",65,"15,1"
11/01/2011 12.00,3,"24,5","30,7","0,2","72,1","15,1"
11/01/2011 13.00,"3,2","24,3","30,4","0,2","72,1","15,1"
11/01/2011 14.00,"3,1","27,8","34,8","0,2","69,5","15,1"
11/01/2011 15.00,3,"31,4","39,1","0,2","69,7","15,1"
11/01/2011 16.00,"2,6","28,3","35,1","0,2","70,8","15,1"
11/01/2011 17.00,"2,5","20,7","26,6","0,2","56,6","15,1"
11/01/2011 18.00,"3,5","23,9","31,3","0,3","35,9","15,1"
11/01/2011 19.00,"2,7","36,6","47,5","0,4","34,3","15,1"
11/01/2011 20.00,3,"46,6",61,"0,6","24,4","15,1"
11/01/2011 21.00,"3,7","59,7","102,3",1,"15,3","15,1"
11/01/2011 22.00,"3,3","57,6","81,2","0,5","11,6","15,1"
11/01/2011 23.00,"3,5","57,3","81,3","0,6","8,5","15,1"
12/01/2011 0.00,"3,2","50,5","69,9","0,6","11,9","15,1"
12/01/2011 1.00,"3,1","48,4","68,6","0,6","11,7","25,8"
12/01/2011 2.00,"2,9",,,"0,4","16,4","25,8"
12/01/2011 3.00,"2,9","41,5","57,3",,20,"25,8"
12/01/2011 4.00,,"41,1","55,3","0,4",31,"25,8"
12/01/2011 5.00,"2,9","44,2","58,1","0,4",,"25,8"
12/01/2011 6.00,"3,2","43,1",57,"0,4","20,1","25,8"
12/01/2011 7.00,"3,2","50,1","68,5","0,4","10,9","25,8"
12/01/2011 8.00,"3,8","58,2","101,5","0,5","7,3","25,8"
12/01/2011 9.00,"4,7",67,"140,4","0,8","11,3","25,8"
12/01/2011 10.00,"3,9","69,7","110,1","0,6","14,3","25,8"
12/01/2011 11.00,"3,8","76,4",117,"0,5","18,6","25,8"
12/01/2011 12.00,"3,8","60,8",87,"0,4","37,2","25,8"
12/01/2011 13.00,"3,2","52,1","67,6","0,3","49,2","25,8"
12/01/2011 14.00,"3,3","47,4","60,9","0,3","54,3","25,8"
12/01/2011 15.00,"2,9","45,9","57,2","0,2","52,2","25,8"
12/01/2011 16.00,"2,9","43,6","52,8","0,3","58,2","25,8"
12/01/2011 17.00,"2,9","51,9","61,9","0,3","44,8","25,8"
12/01/2011 18.00,"3,1","64,2","77,3","0,4","27,1","25,8"
12/01/2011 19.00,"3,3","72,9","91,8","0,5","17,8","25,8"
12/01/2011 20.00,3,"65,5","82,3","0,5",23,"25,8"
12/01/2011 21.00,"2,9","65,1","82,3","0,5","20,5","25,8"
12/01/2011 22.00,"2,8","63,1","79,1","0,6",21,"25,8"
12/01/2011 23.00,"2,6","56,3","69,7","0,5","27,7","25,8"
13/01/2011 0.00,"2,6","52,6","65,3","0,4","32,2","25,8"
13/01/2011 1.00,"2,6",45,"55,8","0,3","36,9","20,8"
13/01/2011 2.00,"2,6","42,8","52,9","0,3","34,6","20,8"
13/01/2011 3.00,"2,4","39,6","49,1","0,2","37,3","20,8"
13/01/2011 4.00,"2,5","41,1","50,8","0,3","35,4","20,8"
13/01/2011 5.00,"2,6","40,5","50,5","0,3","33,9","20,8"
13/01/2011 6.00,"2,8","42,8","53,2","0,3","28,8","20,8"
13/01/2011 7.00,"2,7","48,6","61,9","0,3","22,1","20,8"
13/01/2011 8.00,"2,7",48,"63,6","0,4","20,8","20,8"
13/01/2011 9.00,3,"51,7",76,"0,4","20,9","20,8"
13/01/2011 10.00,4,"45,4","64,6","0,4","29,5","20,8"
13/01/2011 11.00,"4,4","37,5",52,"0,3","40,9","20,8"
13/01/2011 12.00,"4,8",32,"42,3","0,3","52,8","20,8"
13/01/2011 13.00,"4,4","32,9","42,4","0,3","54,6","20,8"
13/01/2011 14.00,"4,4","35,2",48,"0,4","54,2","20,8"
13/01/2011 15.00,"3,9","33,6","42,4","0,3","57,2","20,8"
13/01/2011 16.00,"3,4","38,1","45,7","0,3","51,2","20,8"
13/01/2011 17.00,"3,8","48,7","57,8","0,4","40,1","20,8"
13/01/2011 18.00,"3,5","55,7","66,1","0,5","33,4","20,8"
13/01/2011 19.00,"3,1","54,1","65,3","0,5","32,6","20,8"
13/01/2011 20.00,"2,6","62,4","77,5","0,6","24,7","20,8"
13/01/2011 21.00,"3,2","64,8",81,"0,6","22,4","20,8"
13/01/2011 22.00,"2,9","56,5","69,3","0,6","30,8","20,8"
13/01/2011 23.00,"2,8","52,7","64,1","0,5","33,5","20,8"
14/01/2011 0.00,"2,7","48,2","58,3","0,5","39,4","20,8"
14/01/2011 1.00,"2,7","48,8","58,6","0,5","36,9","33,6"
14/01/2011 2.00,"2,7",,,"0,4","39,1","33,6"
14/01/2011 3.00,"2,5","46,5","56,4",,"42,1","33,6"
14/01/2011 4.00,,"49,1","59,4","0,4","37,7","33,6"
14/01/2011 5.00,"2,3","47,4","57,5","0,3",,"33,6"
14/01/2011 6.00,"2,7","46,9","55,9","0,3","45,5","33,6"
14/01/2011 7.00,"2,6","52,5","61,7","0,4","39,9","33,6"
14/01/2011 8.00,"2,7","62,4","76,9","0,4",28,"33,6"
14/01/2011 9.00,3,"69,3","93,7","0,6","28,7","33,6"
14/01/2011 10.00,"3,1","61,2","83,8","0,5","32,7","33,6"
14/01/2011 11.00,"3,7","49,2","66,2","0,4","45,7","33,6"
14/01/2011 12.00,"3,5","41,2","52,6","0,3","53,9","33,6"
14/01/2011 13.00,"3,5","43,1",54,"0,3","59,2","33,6"
14/01/2011 14.00,"3,2","44,6","55,5","0,3","62,9","33,6"
14/01/2011 15.00,"2,7","38,3",47,"0,3","63,4","33,6"
14/01/2011 16.00,"3,2","37,2","44,5","0,3",60,"33,6"
14/01/2011 17.00,3,"51,7","60,7","0,4","42,3","33,6"
14/01/2011 18.00,"2,9",64,"76,1","0,5",29,"33,6"
14/01/2011 19.00,3,"69,7","83,5","0,6","22,4","33,6"
14/01/2011 20.00,"3,1","80,8","103,3","0,7","11,2","33,6"
14/01/2011 21.00,"3,1","77,2",103,1,"10,1","33,6"
14/01/2011 22.00,3,"68,1","93,4","0,9","11,1","33,6"
14/01/2011 23.00,"2,4","55,9","70,1","0,6","30,7","33,6"
15/01/2011 0.00,"2,5","56,7","69,1","0,5","32,2","33,6"
15/01/2011 1.00,"2,4","60,9","75,1","0,6","18,1","37,3"
15/01/2011 2.00,"2,4",59,"73,7","0,6",17,"37,3"
15/01/2011 3.00,"2,6","54,4","70,2","0,6","10,4","37,3"
15/01/2011 4.00,"2,5","51,3","67,3","0,6","9,6","37,3"
15/01/2011 5.00,"2,7","48,1","63,3","0,5","11,8","37,3"
15/01/2011 6.00,"2,6","49,8","65,1","0,5","11,3","37,3"
15/01/2011 7.00,"2,8","51,1","68,5","0,5","11,6","37,3"
15/01/2011 8.00,4,"53,8","96,4","0,6","7,1","37,3"
15/01/2011 9.00,"3,6","63,1","121,4","0,7",9,"37,3"
15/01/2011 10.00,"3,4","68,4",111,"0,7","22,2","37,3"
15/01/2011 11.00,"3,3","62,2","82,2","0,5","48,9","37,3"
15/01/2011 12.00,"3,9","42,5","51,5","0,4","78,3","37,3"
15/01/2011 13.00,"3,2","37,1","44,2","0,3","79,1","37,3"
15/01/2011 14.00,"2,5","31,7","38,7","0,3","81,5","37,3"
15/01/2011 15.00,"2,6","29,2","34,7","0,3","76,8","37,3"
15/01/2011 16.00,"2,6","27,2","32,7","0,3","69,3","37,3"
15/01/2011 17.00,"2,6","30,5","35,9","0,3","63,4","37,3"
15/01/2011 18.00,"2,5","34,5",40,"0,4","59,9","37,3"
15/01/2011 19.00,"2,4","35,2","41,3","0,4","52,3","37,3"
15/01/2011 20.00,"2,2","35,6","42,2","0,3",46,"37,3"
15/01/2011 21.00,"2,3","36,4","43,6","0,3","43,5","37,3"
15/01/2011 22.00,"2,2",32,"38,6","0,3","44,8","37,3"
15/01/2011 23.00,"2,7","31,1","37,4","0,3","45,4","37,3"
16/01/2011 0.00,"2,2","29,6","35,7","0,3","42,8","37,3"
16/01/2011 1.00,"2,2","29,9","36,2","0,3","37,9",18
16/01/2011 2.00,"2,2",,,"0,3","35,2",18
16/01/2011 3.00,"2,2","30,1","36,8",,"33,5",18
16/01/2011 4.00,,"31,1","37,7","0,3","33,2",18
16/01/2011 5.00,"2,2","31,6","38,6","0,3",,18
16/01/2011 6.00,"2,1","30,9",38,"0,3","31,2",18
16/01/2011 7.00,"2,3","32,9","40,9","0,3",31,18
16/01/2011 8.00,"2,4","31,7",40,"0,3","33,2",18
16/01/2011 9.00,"2,7","30,3","39,2","0,3","38,3",18
16/01/2011 10.00,"3,3","29,4","38,1","0,3","47,2",18
16/01/2011 11.00,"3,8","25,7","32,4","0,2","67,9",18
16/01/2011 12.00,3,"22,6","28,7","0,2","72,6",18
16/01/2011 13.00,"2,9",21,"27,3","0,2","75,3",18
16/01/2011 14.00,"2,9","18,6","23,7","0,2",79,18
16/01/2011 15.00,"2,9","18,5","23,9","0,2","78,2",18
16/01/2011 16.00,"3,1","20,2","25,6","0,2","76,2",18
16/01/2011 17.00,"2,7","25,7","31,1","0,2","69,6",18
16/01/2011 18.00,"2,7","31,2","37,3","0,3","59,4",18
16/01/2011 19.00,"2,7","39,1","45,8","0,3","43,7",18
16/01/2011 20.00,"2,3","41,2","48,5","0,4","40,2",18
16/01/2011 21.00,"2,5","48,6","57,6","0,4","30,9",18
16/01/2011 22.00,"2,6",53,"62,5","0,4","28,3",18
16/01/2011 23.00,"2,1","49,2","58,8","0,4","32,5",18
17/01/2011 0.00,"2,2","43,6","52,2","0,4","32,6",18
17/01/2011 1.00,2,"33,9","41,1","0,3","34,1",34
