Stat,Torchiarolo_Via Fanin,,,,,,  ,
,,,,,,,,
Parm,SO2,NO2,NOX,PM10,PM2.5,,,
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,ug/m3,,,
Field,Aver,Aver,Aver,Aver,Aver,,,
,,,,,,
,,,,,,
,,,,,,,
05/01/2014 5.00,,,,,,,,
05/01/2014 6.00,,,,,,,,
05/01/2014 7.00,,,,,,,,
05/01/2014 8.00,,,,,,,,
05/01/2014 9.00,,,,,,,,
05/01/2014 10.00,,,,,,,,
05/01/2014 11.00,,,,,,,,
05/01/2014 12.00,,,,,,,,
05/01/2014 13.00,,,,,,,,
05/01/2014 14.00,,,,,,,,
05/01/2014 15.00,,,,,,,,
05/01/2014 16.00,,,,,,,,
05/01/2014 17.00,,,,,,,,
05/01/2014 18.00,,,,,,,,
05/01/2014 19.00,,,,,,,,
05/01/2014 20.00,,,,,,,,
05/01/2014 21.00,,,,,,,,
05/01/2014 22.00,,,,,,,,
05/01/2014 23.00,,,,,,,,
06/01/2014 0.00,,,,,,,,
06/01/2014 1.00,,,,,,,,
06/01/2014 2.00,,,,,,,,
06/01/2014 3.00,,,,,,,,
06/01/2014 4.00,,,,,,,,
06/01/2014 5.00,,,,,,,,
06/01/2014 6.00,,,,,,,,
06/01/2014 7.00,,,,,,,,
06/01/2014 8.00,,,,,,,,
06/01/2014 9.00,,,,,,,,
06/01/2014 10.00,,,,,,,,
06/01/2014 11.00,,,,,,,,
06/01/2014 12.00,,,,,,,,
06/01/2014 13.00,,,,,,,,
06/01/2014 14.00,,,,,,,,
06/01/2014 15.00,,,,,,,,
06/01/2014 16.00,,,,,,,,
06/01/2014 17.00,,,,,,,,
06/01/2014 18.00,,,,,,,,
06/01/2014 19.00,,,,,,,,
06/01/2014 20.00,,,,,,,,
06/01/2014 21.00,,,,,,,,
06/01/2014 22.00,,,,,,,,
06/01/2014 23.00,,,,,,,,
07/01/2014 0.00,,,,,,,,
07/01/2014 1.00,,,,,,,,
07/01/2014 2.00,,,,,,,,
07/01/2014 3.00,,,,,,,,
07/01/2014 4.00,,,,,,,,
07/01/2014 5.00,,,,,,,,
07/01/2014 6.00,,,,,,,,
07/01/2014 7.00,,,,,,,,
07/01/2014 8.00,,,,,,,,
07/01/2014 9.00,,,,,,,,
07/01/2014 10.00,,,,,,,,
07/01/2014 11.00,,,,,,,,
07/01/2014 12.00,"1,8","11,8","17,3","17,3","7,0",,,
07/01/2014 13.00,"1,8","10,3","15,1",,"4,4",,,
07/01/2014 14.00,"2,8","10,7","15,1","10,0","3,8",,,
