Stat,TA-Talsano,,,,,
Parm,SO2,NOX,NO2,PM10,O3,IPA TOT
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,ug/m3 293K,ng/m3
17/02/2014 4.00,,"2,1","2,0","28,6","64,7","1,0"
17/02/2014 5.00,,"2,0","1,8","28,6","64,8","1,1"
17/02/2014 6.00,,"3,6","3,6","28,6","62,3","1,5"
17/02/2014 7.00,"0,1","6,7","6,3","28,6","58,9","2,6"
17/02/2014 8.00,"0,1","14,8","13,2","28,6","50,1","6,5"
17/02/2014 9.00,"0,6","18,8","15,5","28,6","49,8","6,4"
17/02/2014 10.00,"0,5","9,6","8,3","28,6","59,0","3,9"
17/02/2014 11.00,"0,3","8,2","7,1","28,6","62,5","3,7"
17/02/2014 12.00,"0,5","9,2","7,3","28,6","60,8","4,1"
17/02/2014 13.00,"0,7","5,2","4,1","28,6","67,3","2,8"
17/02/2014 14.00,"0,7","5,0","3,9","28,6","73,9","2,6"
17/02/2014 15.00,"0,7","4,6","3,8","28,6","77,0","2,5"
17/02/2014 16.00,"0,6","5,4","4,3","28,6","78,0","2,3"
17/02/2014 17.00,"0,6","6,7","6,1","28,6","77,4","3,5"
17/02/2014 18.00,"0,6","11,2","9,9","28,6","73,3","6,4"
17/02/2014 19.00,"0,7","14,6","13,4","28,6","71,4","8,5"
17/02/2014 20.00,"0,7","14,7","14,0","28,6","72,6","8,1"
17/02/2014 21.00,"0,7","13,5","13,1","28,6","71,5","7,6"
17/02/2014 22.00,"0,7","13,6","12,4","28,6","69,5","7,2"
17/02/2014 23.00,"0,7","6,6","6,4","28,6","73,6","3,6"
18/02/2014 0.00,"0,7","5,1","4,9","28,6","71,6","3,3"
18/02/2014 1.00,"0,6","3,2","3,0","24,1","73,9","1,4"
18/02/2014 2.00,"0,5","2,8","2,8","24,1","73,5","1,0"
18/02/2014 3.00,"0,4","2,6","2,6","24,1","75,3","1,0"
18/02/2014 4.00,"0,2","2,8","2,8","24,1","75,2","1,0"
18/02/2014 5.00,"0,4","3,1","3,0","24,1","72,9","1,0"
18/02/2014 6.00,"0,5","4,0","4,0","24,1","69,2","1,3"
18/02/2014 7.00,"0,5","8,4","8,1","24,1","62,9","2,5"
18/02/2014 8.00,"0,4","14,9","13,0","24,1","55,7","8,3"
18/02/2014 9.00,"0,6","23,4","19,7","24,1","49,3","7,6"
18/02/2014 10.00,"0,6","8,2","7,2","24,1","65,1","3,2"
18/02/2014 11.00,"0,6","9,0","7,7","24,1","62,6","3,4"
18/02/2014 12.00,"0,4","11,5","8,5","24,1","63,2","3,2"
18/02/2014 13.00,"0,6","11,4","9,3","24,1","63,5","3,7"
18/02/2014 14.00,"0,7","11,8","10,3","24,1","63,3","5,1"
18/02/2014 15.00,"0,7","12,7","8,7","24,1","68,6","3,5"
18/02/2014 16.00,"0,7","6,1","5,5","24,1","68,7","2,7"
18/02/2014 17.00,"0,7","6,0","5,2","24,1","72,3","3,0"
18/02/2014 18.00,"0,6","7,8","7,2","24,1","73,3","4,7"
18/02/2014 19.00,"0,6","9,5","8,6","24,1","78,2","6,3"
18/02/2014 20.00,"0,7","12,4","11,1","24,1","78,6","8,1"
18/02/2014 21.00,"0,7","8,1","7,5","24,1","81,6","5,5"
18/02/2014 22.00,"0,7","8,3","7,4","24,1","81,1","5,3"
18/02/2014 23.00,"0,6","5,8","5,6","24,1","86,1","3,7"
19/02/2014 0.00,"0,7","4,7","4,5","24,1","90,4","2,0"
19/02/2014 1.00,,"3,0","3,0","28,4","91,1","1,2"
19/02/2014 2.00,"0,4",,,"28,4","90,0","1,1"
19/02/2014 3.00,"0,5","3,4","3,1","28,4",,"1,0"
19/02/2014 4.00,"0,6","3,4","3,4","28,4","90,3","1,0"
19/02/2014 5.00,"0,6","3,7","3,6","28,4","90,1","1,0"
19/02/2014 6.00,"0,6","3,7","3,7","28,4","90,3","1,0"
19/02/2014 7.00,"0,6","4,6","4,1","28,4","90,4","1,3"
19/02/2014 8.00,"0,7","7,7","6,8","28,4","86,1","2,4"
19/02/2014 9.00,"0,6","9,0","7,7","28,4","82,9","3,0"
19/02/2014 10.00,"0,7","7,3","6,4","28,4","82,4","3,3"
19/02/2014 11.00,"0,6","11,7","8,6","28,4","80,2","2,5"
19/02/2014 12.00,"0,7","7,5","6,5","28,4","86,0","1,9"
19/02/2014 13.00,"0,7","7,6","6,5","28,4","87,5","2,6"
19/02/2014 14.00,"0,7","8,2","6,9","28,4","86,0","3,4"
19/02/2014 15.00,"0,8","7,7","6,3","28,4","87,0","2,5"
19/02/2014 16.00,"0,7","5,5","4,9","28,4","88,3","2,5"
19/02/2014 17.00,"0,7","7,6","6,7","28,4","89,1","3,0"
19/02/2014 18.00,"0,7","9,8","8,5","28,4","87,5","6,0"
19/02/2014 19.00,"0,7","9,5","8,5","28,4","85,4","6,0"
19/02/2014 20.00,"0,7","13,6","12,3","28,4","78,8","6,6"
19/02/2014 21.00,"0,8","8,7","7,9","28,4","81,9","5,1"
19/02/2014 22.00,"0,7","10,2","9,7","28,4","78,2","5,5"
19/02/2014 23.00,"0,7","5,5","5,4","28,4","80,8","3,0"
20/02/2014 0.00,"0,7","4,2","3,9","28,4","80,5","1,6"
20/02/2014 1.00,"0,7","3,0","2,9","27,9","79,6","1,1"
20/02/2014 2.00,"0,7","3,5","3,3","27,9","77,7","1,1"
20/02/2014 3.00,"0,7","3,0","2,9","27,9","76,6","0,9"
20/02/2014 4.00,"0,7","2,8","2,7","27,9","75,6","1,0"
20/02/2014 5.00,"0,7","3,1","2,9","27,9","75,9","1,0"
20/02/2014 6.00,"0,7","3,8","3,8","27,9","73,9","1,1"
20/02/2014 7.00,"0,7","5,8","5,3","27,9","75,2","1,5"
20/02/2014 8.00,"0,7","7,4","6,7","27,9","78,7","2,5"
20/02/2014 9.00,"0,7","10,8","8,9","27,9","72,8","3,2"
20/02/2014 10.00,"0,7","6,7","5,8","27,9","72,5","2,3"
20/02/2014 11.00,"0,7","6,4","5,5","27,9","71,6","2,0"
20/02/2014 12.00,"0,7","6,6","5,4","27,9","69,9","2,2"
20/02/2014 13.00,"0,7","6,9","5,5","27,9","69,2","2,7"
20/02/2014 14.00,"0,7","7,8","5,7","27,9","68,4","2,4"
20/02/2014 15.00,"0,8","6,2","4,9","27,9","69,1","2,7"
20/02/2014 16.00,"1,1","6,6","5,4","27,9","68,2","2,6"
20/02/2014 17.00,"0,8","6,0","5,2","27,9","65,4","3,0"
20/02/2014 18.00,"0,7","7,1","6,2","27,9","65,7","4,0"
20/02/2014 19.00,"0,7","9,1","8,0","27,9","67,0","5,0"
20/02/2014 20.00,"0,9","8,9","8,2","27,9","68,7","5,5"
20/02/2014 21.00,"0,7","10,4","9,9","27,9","63,6","5,3"
20/02/2014 22.00,"0,7","7,4","7,1","27,9","69,6","4,9"
20/02/2014 23.00,"1,1","5,3","5,1","27,9","70,5","2,7"
21/02/2014 0.00,"0,7","4,2","4,2","27,9","71,2","1,9"
21/02/2014 1.00,,"5,3","5,2","28,5","70,7","1,3"
21/02/2014 2.00,"1,7",,,"28,5","73,8","1,1"
21/02/2014 3.00,"1,0","4,2","4,0","28,5",,"1,1"
21/02/2014 4.00,"0,7","3,9","3,8","28,5","74,6","1,0"
21/02/2014 5.00,"0,7","3,7","3,6","28,5","76,1","1,0"
21/02/2014 6.00,"0,7","3,8","3,8","28,5","71,5","1,1"
21/02/2014 7.00,"0,7","6,9","6,8","28,5","66,8","2,3"
21/02/2014 8.00,"1,1","17,4","14,0","28,5","66,2","6,5"
21/02/2014 9.00,"2,0","18,0","15,3","28,5","67,9","5,6"
21/02/2014 10.00,"1,7","14,2","12,3","28,5","68,0","5,2"
21/02/2014 11.00,"1,0","9,5","8,3","28,5","72,9","2,7"
21/02/2014 12.00,"1,1","8,7","7,3","28,5","73,7","2,5"
21/02/2014 13.00,"2,2","9,9","7,8","28,5","70,6","3,0"
21/02/2014 14.00,"2,6","8,8","6,8","28,5","72,3","3,3"
21/02/2014 15.00,"2,5","7,9","6,8","28,5","73,2","2,1"
21/02/2014 16.00,"2,4","10,4","9,5","28,5","63,5","2,4"
21/02/2014 17.00,"2,0","9,6","8,7","28,5","59,1","2,2"
21/02/2014 18.00,"1,7","12,9","12,6","28,5","49,7","2,9"
21/02/2014 19.00,"1,3","16,0","15,4","28,5","45,3","5,8"
21/02/2014 20.00,"1,2","12,7","12,6","28,5","44,4","4,0"
21/02/2014 21.00,"0,9","14,7","14,5","28,5","38,8","4,1"
21/02/2014 22.00,"1,3","36,1","35,2","28,5","17,3","13,6"
21/02/2014 23.00,"1,1","26,8","25,9","28,5","30,7","6,0"
22/02/2014 0.00,"1,3","24,9","24,6","28,5","28,6","4,0"
22/02/2014 1.00,"0,7","13,6","13,3","26,2","40,9","2,5"
22/02/2014 2.00,"0,7","11,6","11,5","26,2","34,8","2,3"
22/02/2014 3.00,"0,7","14,1","13,4","26,2","28,0","1,8"
22/02/2014 4.00,"0,7","14,5","14,1","26,2","14,7","1,8"
22/02/2014 5.00,"0,7","14,9","14,4","26,2","14,8","2,2"
22/02/2014 6.00,"0,7","12,6","11,9","26,2","8,0","2,6"
22/02/2014 7.00,"0,7","10,6","9,9","26,2","10,3","2,1"
22/02/2014 8.00,"0,7","17,6","13,3","26,2","11,6","5,3"
22/02/2014 9.00,"1,5","21,7","16,4","26,2","23,4","4,9"
22/02/2014 10.00,"0,7","13,7","11,1","26,2","46,4","3,2"
22/02/2014 11.00,"0,7","9,4","8,2","26,2","60,3","2,5"
22/02/2014 12.00,"0,7","9,1","7,9","26,2","64,5","2,5"
22/02/2014 13.00,"1,0","9,5","8,3","26,2","66,1","2,6"
22/02/2014 14.00,"0,7","7,6","6,8","26,2","71,7","2,1"
22/02/2014 15.00,"0,7","6,4","5,5","26,2","79,2","1,8"
22/02/2014 16.00,"0,7","7,3","6,4","26,2","82,5","2,3"
22/02/2014 17.00,"0,7","10,0","9,5","26,2","80,5","3,8"
22/02/2014 18.00,"2,3","18,9","18,1","26,2","61,4","6,9"
22/02/2014 19.00,"0,8","15,4","14,8","26,2","63,5","5,6"
22/02/2014 20.00,"0,7","15,9","15,3","26,2","58,6","5,2"
22/02/2014 21.00,"0,7","23,5","23,1","26,2","38,1","4,8"
22/02/2014 22.00,"0,7","16,1","15,7","26,2","36,8","3,3"
22/02/2014 23.00,"0,7","28,8","28,3","26,2","23,5","7,5"
23/02/2014 0.00,"0,7","31,9","31,0","26,2","21,2","9,1"
23/02/2014 1.00,,"16,1","15,6","16,7","48,0","3,3"
23/02/2014 2.00,"0,7",,,"16,7","64,5","1,5"
23/02/2014 3.00,"0,7","11,6","11,5","16,7",,"1,5"
23/02/2014 4.00,"0,7","9,0","8,6","16,7","58,6","1,2"
23/02/2014 5.00,"0,7","7,4","7,1","16,7","58,2","1,2"
23/02/2014 6.00,"0,7","7,6","7,2","16,7","58,5","1,1"
23/02/2014 7.00,"0,7","8,0","7,6","16,7","58,4","1,5"
23/02/2014 8.00,"0,7","13,6","12,9","16,7","52,4","1,9"
23/02/2014 9.00,"0,7","8,5","7,6","16,7","64,6","1,7"
23/02/2014 10.00,"0,7","5,5","4,8","16,7","76,7","1,2"
23/02/2014 11.00,"0,7","4,9","4,2","16,7","81,3","1,1"
23/02/2014 12.00,"0,7","4,3","3,8","16,7","84,3","1,2"
23/02/2014 13.00,"0,7","5,2","5,1","16,7","81,7","1,6"
23/02/2014 14.00,"0,7","7,4","6,9","16,7","79,3","3,4"
23/02/2014 15.00,"0,7","5,1","5,0","16,7","82,2","1,6"
23/02/2014 16.00,"0,7","4,7","4,4","16,7","80,8","1,2"
23/02/2014 17.00,"0,7","5,1","5,1","16,7","67,3","1,3"
23/02/2014 18.00,"0,7","10,3","10,3","16,7","57,3","3,0"
23/02/2014 19.00,"1,0","19,3","19,2","16,7","54,2","3,2"
23/02/2014 20.00,"1,2","13,5","12,9","16,7","63,2","4,3"
23/02/2014 21.00,"1,1","14,5","13,7","16,7","55,7","3,3"
23/02/2014 22.00,"1,0","9,9","9,5","16,7","59,8","2,2"
23/02/2014 23.00,"0,6","5,1","4,9","16,7","66,0","1,6"
24/02/2014 0.00,"0,6","5,2","4,8","16,7","62,1","1,3"
24/02/2014 1.00,"0,6","5,5","5,4","13,1","61,8","1,3"
24/02/2014 2.00,"0,6","5,5","5,5","13,1","61,2","1,0"
24/02/2014 3.00,"0,7","8,0","7,9","13,1","58,6","1,1"
24/02/2014 4.00,"0,7","7,3","7,0","13,1","57,6","1,1"
24/02/2014 5.00,"0,7","7,1","6,9","13,1","55,7","1,0"
24/02/2014 6.00,"0,7","8,0","7,8","13,1","55,0","1,1"
24/02/2014 7.00,"0,7","6,4","6,3","13,1","55,9","1,8"
24/02/2014 8.00,"0,6","9,9","8,8","13,1","52,7","2,9"
24/02/2014 9.00,"0,7","9,4","8,0","13,1","55,5","2,2"
24/02/2014 10.00,"0,7","8,3","6,7","13,1","61,1","1,8"
24/02/2014 11.00,"0,7","9,4","7,7","13,1","66,7","4,0"
24/02/2014 12.00,"0,7","6,8","6,0","13,1","77,0","2,2"
24/02/2014 13.00,"1,5","7,8","6,5","13,1","69,4","1,7"
24/02/2014 14.00,"3,3","9,3","7,4","13,1","77,5","1,5"
24/02/2014 15.00,"0,9","5,2","4,2","13,1","84,4","2,1"
24/02/2014 16.00,"0,7","6,0","5,1","13,1","80,8","1,4"
24/02/2014 17.00,"0,8","7,0","6,4","13,1","78,2","1,8"
24/02/2014 18.00,"0,7","7,7","7,5","13,1","72,6","2,3"
24/02/2014 19.00,"0,7","11,8","11,7","13,1","65,1","2,1"
24/02/2014 20.00,"0,7","14,7","14,5","13,1","60,0","3,1"
24/02/2014 21.00,"1,0","19,0","18,7","13,1","55,9","4,1"
24/02/2014 22.00,"0,7","14,1","13,8","13,1","54,5","3,3"
24/02/2014 23.00,"0,7","8,5","8,4","13,1","53,3","2,5"
25/02/2014 0.00,"0,6","8,9","8,8","13,1","46,9","2,5"
25/02/2014 1.00,,"6,1","5,8","31,7","52,9","1,7"
25/02/2014 2.00,"0,6",,,"31,7","53,3","1,4"
25/02/2014 3.00,"0,7","4,6","4,6","31,7",,"1,2"
25/02/2014 4.00,"0,5","4,3","4,1","31,7","50,6","1,1"
25/02/2014 5.00,"0,6","4,2","4,1","31,7","49,1","1,0"
25/02/2014 6.00,"0,6","4,7","4,6","31,7","48,1","1,2"
25/02/2014 7.00,"0,6","7,7","7,3","31,7","46,9","2,6"
25/02/2014 8.00,"0,6","11,9","10,5","31,7","45,2","4,8"
25/02/2014 9.00,"0,7","11,8","9,6","31,7","48,8","2,5"
25/02/2014 10.00,"0,7","10,7","8,6","31,7","56,4","2,8"
25/02/2014 11.00,"2,1","16,5","12,5","31,7","55,9","3,2"
25/02/2014 12.00,"3,3","10,6","8,5","31,7","64,7","1,5"
25/02/2014 13.00,"3,4","6,3","5,3","31,7","72,4","1,6"
25/02/2014 14.00,"2,8","4,8","3,9","31,7","77,4","1,4"
25/02/2014 15.00,"2,6","4,7","3,7","31,7","79,3","1,4"
25/02/2014 16.00,"2,6","5,6","4,6","31,7","78,9","1,4"
25/02/2014 17.00,"2,1","6,2","5,8","31,7","76,5","1,9"
25/02/2014 18.00,"1,6","7,8","7,5","31,7","72,3","2,8"
25/02/2014 19.00,"0,9","11,6","11,2","31,7","62,8","6,1"
25/02/2014 20.00,"0,7","16,7","16,3","31,7","57,3","9,9"
25/02/2014 21.00,"0,7","19,8","19,2","31,7","53,8","12,0"
25/02/2014 22.00,"0,7","17,3","16,8","31,7","49,0","10,0"
25/02/2014 23.00,"0,7","13,1","12,3","31,7","39,1","4,9"
26/02/2014 0.00,"0,6","15,5","15,1","31,7","19,3","5,1"
26/02/2014 1.00,"0,4","13,0","12,9","31,9","29,1","4,2"
26/02/2014 2.00,"0,5","8,8","8,8","31,9","29,1","2,8"
26/02/2014 3.00,"0,2","8,9","8,6","31,9","27,2","2,7"
26/02/2014 4.00,"0,3","7,0","6,9","31,9","26,5","2,1"
26/02/2014 5.00,"0,5","6,7","6,7","31,9","27,1","2,1"
26/02/2014 6.00,"0,3","6,0","6,0","31,9","33,5","1,9"
26/02/2014 7.00,"0,4","6,9","6,8","31,9","26,5","2,1"
26/02/2014 8.00,"0,5","17,3","13,4","31,9","13,2","7,2"
26/02/2014 9.00,"0,6","23,0","15,9","31,9","21,6","7,4"
26/02/2014 10.00,"0,7","13,2","10,2","31,9","53,7","3,8"
26/02/2014 11.00,"0,7","6,1","4,7","31,9","79,2","1,7"
26/02/2014 12.00,"0,7","7,0","5,8","31,9","84,2","2,0"
26/02/2014 13.00,"0,7","10,5","8,1","31,9","80,4","2,1"
26/02/2014 14.00,"0,7","7,8","6,7","31,9","84,6","2,4"
26/02/2014 15.00,"0,7","9,8","7,1","31,9","88,4","3,1"
26/02/2014 16.00,"0,7","6,9","5,7","31,9","90,1","2,3"
26/02/2014 17.00,"0,7","10,5","9,1","31,9","86,4","3,7"
26/02/2014 18.00,"0,7","19,2","16,7","31,9","76,7","6,9"
26/02/2014 19.00,"0,7","36,9","35,7","31,9","55,3","14,2"
26/02/2014 20.00,"0,7","49,5","47,3","31,9","37,3","22,3"
26/02/2014 21.00,"0,6","30,1","28,5","31,9","19,1","12,2"
26/02/2014 22.00,"0,7","20,2","19,6","31,9","26,8","5,6"
26/02/2014 23.00,"0,6","18,3","17,8","31,9","24,0","6,0"
27/02/2014 0.00,"0,4","12,9","12,6","31,9","28,3","4,1"
27/02/2014 1.00,,"13,2","12,7","26,9","29,9","4,2"
27/02/2014 2.00,"0,1",,,"26,9","36,3","2,6"
27/02/2014 3.00,"0,3","7,3","6,9","26,9",,"2,2"
27/02/2014 4.00,"0,2","5,8","5,8","26,9","43,7","2,0"
27/02/2014 5.00,"0,2","5,0","4,9","26,9","40,1","1,7"
27/02/2014 6.00,"0,2","4,9","4,7","26,9","40,2","1,5"
27/02/2014 7.00,"0,3","10,1","9,7","26,9","41,9","2,2"
27/02/2014 8.00,"0,2","14,1","12,7","26,9","29,1","5,1"
27/02/2014 9.00,"0,5","19,4","16,0","26,9","36,6","9,3"
27/02/2014 10.00,"0,3","16,1","13,4","26,9","53,1","5,0"
27/02/2014 11.00,"0,7","17,0","14,0","26,9","64,9","3,0"
27/02/2014 12.00,"0,9","12,7","11,1","26,9","75,8","2,4"
27/02/2014 13.00,"0,7","12,5","10,2","26,9","79,1","3,1"
27/02/2014 14.00,"0,9","13,2","11,2","26,9","81,5","3,1"
27/02/2014 15.00,"0,7","9,6","8,5","26,9","84,6","2,9"
27/02/2014 16.00,"0,7","9,5","8,2","26,9","91,9","3,0"
27/02/2014 17.00,"0,7","9,6","8,2","26,9","90,3","3,7"
27/02/2014 18.00,"0,7","16,8","16,1","26,9","79,1","8,3"
27/02/2014 19.00,"0,7","24,7","23,9","26,9","71,9","10,0"
27/02/2014 20.00,"0,7","25,1","24,3","26,9","69,3","10,5"
27/02/2014 21.00,"0,7","26,9","26,3","26,9","57,3","10,1"
27/02/2014 22.00,"0,7","18,5","17,8","26,9","26,0","5,6"
27/02/2014 23.00,"0,7","22,4","21,8","26,9","19,9","7,4"
28/02/2014 0.00,"0,6","20,6","19,9","26,9","18,8","6,1"
28/02/2014 1.00,"0,5","18,8","18,4","17,1","17,6","6,5"
28/02/2014 2.00,"0,7","10,2","9,8","17,1","29,2","3,4"
28/02/2014 3.00,"0,7","7,0","7,0","17,1","44,9","1,4"
28/02/2014 4.00,"0,7","13,8","13,8","17,1","40,6","1,4"
28/02/2014 5.00,"0,7","9,2","9,1","17,1","38,6","1,4"
28/02/2014 6.00,"0,7","9,5","9,5","17,1","32,1","1,5"
28/02/2014 7.00,"0,7","9,9","8,8","17,1","24,5","3,0"
28/02/2014 8.00,"0,7","23,8","17,9","17,1","21,3","8,9"
28/02/2014 9.00,"0,7","33,9","23,7","17,1","23,5","11,4"
28/02/2014 10.00,"0,7","14,4","11,4","17,1","68,3","3,5"
28/02/2014 11.00,"0,7","10,7","8,9","17,1","74,1","2,0"
28/02/2014 12.00,"0,7","8,7","7,0","17,1","81,3","2,3"
28/02/2014 13.00,"0,8","7,9","6,5","17,1","84,9","2,6"
28/02/2014 14.00,"0,9","9,0","7,1","17,1","85,0","3,1"
28/02/2014 15.00,"0,7","7,7","5,9","17,1","85,3","2,6"
28/02/2014 16.00,"0,7","5,4","4,5","17,1","89,9","3,0"
28/02/2014 17.00,"0,7","9,3","7,8","17,1","87,9","4,7"
28/02/2014 18.00,"0,8","12,0","10,2","17,1","80,2","5,5"
28/02/2014 19.00,"1,5","12,4","12,0","17,1","74,0","4,6"
28/02/2014 20.00,"1,1","10,0","9,9","17,1","74,6","4,7"
28/02/2014 21.00,"0,7","12,5","11,9","17,1","71,3","4,6"
28/02/2014 22.00,"0,7","9,2","8,6","17,1","74,7","3,0"
28/02/2014 23.00,"1,0","5,0","4,7","17,1","79,4","1,8"
01/03/2014 0.00,"1,0","3,1","2,7","17,1","82,4","1,4"
01/03/2014 1.00,,"2,8","2,4","13,9","82,3","1,3"
01/03/2014 2.00,"1,1",,,"13,9","79,1","1,2"
01/03/2014 3.00,"0,7","2,8","2,6","13,9",,"1,0"
01/03/2014 4.00,"0,7","4,0","3,9","13,9","50,4","1,3"
01/03/2014 5.00,"0,7","4,4","4,4","13,9","31,2","1,4"
01/03/2014 6.00,"1,1","4,2","4,2","13,9","27,9","1,4"
01/03/2014 7.00,"1,1","5,4","5,1","13,9","53,3","1,9"
01/03/2014 8.00,"2,2","7,6","6,5","13,9","80,8","2,6"
01/03/2014 9.00,"2,6","10,0","8,2","13,9","79,6","3,1"
01/03/2014 10.00,"2,3","7,2","6,4","13,9","82,5","2,7"
01/03/2014 11.00,"2,4","7,5","6,6","13,9","88,9","2,8"
01/03/2014 12.00,,"7,2","6,2","13,9","93,0","2,6"
01/03/2014 13.00,,"6,2","5,2","13,9","93,5","2,9"
01/03/2014 14.00,,"5,9","4,9","13,9","93,3","2,6"
01/03/2014 15.00,,"3,8","3,0","13,9","92,9","1,9"
01/03/2014 16.00,,"4,6","3,8","13,9","91,8","2,5"
01/03/2014 17.00,,"5,5","4,8","13,9","91,2","3,3"
01/03/2014 18.00,,"7,3","6,5","13,9","89,5","4,2"
01/03/2014 19.00,,"9,5","8,9","13,9","79,6","4,7"
01/03/2014 20.00,,"5,8","5,6","13,9","81,9","2,4"
01/03/2014 21.00,,"10,5","10,2","13,9","74,4","4,1"
01/03/2014 22.00,,"13,6","13,3","13,9","66,4","4,6"
01/03/2014 23.00,,"11,7","11,2","13,9","56,3","5,8"
02/03/2014 0.00,,"12,5","12,2","13,9","50,1","6,6"
02/03/2014 1.00,,"4,6","4,6","11,5","74,5","2,0"
02/03/2014 2.00,,"6,9","6,6","11,5","62,1","2,2"
02/03/2014 3.00,,"6,9","6,7","11,5","44,4","2,2"
02/03/2014 4.00,,"7,2","7,2","11,5","38,8","1,9"
02/03/2014 5.00,,"7,3","7,3","11,5","30,7","2,1"
02/03/2014 6.00,,"6,3","6,2","11,5","35,2","1,4"
02/03/2014 7.00,,"5,9","5,6","11,5","30,5","1,7"
02/03/2014 8.00,,"6,8","6,0","11,5","38,0","2,1"
02/03/2014 9.00,,"8,2","6,5","11,5","43,4","2,6"
02/03/2014 10.00,,"10,3","7,7","11,5","56,9","2,0"
02/03/2014 11.00,,"4,6","3,6","11,5","77,4","1,6"
02/03/2014 12.00,,"2,9","2,5","11,5","78,5","1,4"
02/03/2014 13.00,,"3,6","2,8","11,5","79,0","1,7"
02/03/2014 14.00,,"3,2","2,4","11,5","78,8","1,5"
02/03/2014 15.00,,"2,5","2,3","11,5","84,2","1,3"
02/03/2014 16.00,,"2,7","2,1","11,5","83,9","1,6"
02/03/2014 17.00,,"4,1","3,5","11,5","83,6","2,7"
02/03/2014 18.00,,"10,9","9,9","11,5","78,4","8,7"
02/03/2014 19.00,,"11,8","11,5","11,5","72,7","9,3"
02/03/2014 20.00,,"13,7","13,0","11,5","59,2","9,2"
02/03/2014 21.00,,"13,0","13,0","11,5","34,0","5,8"
02/03/2014 22.00,,"13,2","12,8","11,5","39,0","4,5"
02/03/2014 23.00,,"8,2","8,0","11,5","49,8","3,1"
03/03/2014 0.00,,"14,5","14,2","11,5","41,0","4,6"
03/03/2014 1.00,,"11,0","11,0","18,8","43,1","2,7"
03/03/2014 2.00,,,,"18,8","44,1","1,7"
03/03/2014 3.00,,"4,7","4,5","18,8",,"1,3"
03/03/2014 4.00,,"3,3","3,3","18,8","44,0","1,3"
03/03/2014 5.00,,"2,7","2,7","18,8","50,4","1,2"
03/03/2014 6.00,,"4,4","4,4","18,8","56,1","1,2"
03/03/2014 7.00,,"8,0","7,7","18,8","55,4","1,6"
03/03/2014 8.00,,"11,4","10,0","18,8","56,8","3,2"
03/03/2014 9.00,"3,0","14,7","11,7","18,8","64,2","3,5"
03/03/2014 10.00,"2,7","8,6","7,0","18,8","70,8","2,2"
03/03/2014 11.00,"4,3","12,3","9,9","18,8","75,7","2,6"
03/03/2014 12.00,"3,8","9,2","7,5","18,8","80,7","3,8"
03/03/2014 13.00,"3,4","7,4","5,9","18,8","81,8","1,9"
03/03/2014 14.00,"3,1","6,4","5,2","18,8","89,0","1,5"
03/03/2014 15.00,"2,0","3,5","2,9","18,8","96,3","1,5"
03/03/2014 16.00,"2,4","4,9","4,0","18,8","96,7","1,4"
03/03/2014 17.00,"3,1","5,4","4,9","18,8","93,4","1,4"
03/03/2014 18.00,"2,4","10,7","10,0","18,8","82,2","5,2"
03/03/2014 19.00,"2,3","14,4","14,0","18,8","67,9","9,4"
03/03/2014 20.00,"2,1","13,3","13,0","18,8","60,0","6,6"
03/03/2014 21.00,"2,0","12,8","12,6","18,8","53,5","6,2"
03/03/2014 22.00,"2,1","20,2","19,9","18,8","42,3","9,8"
03/03/2014 23.00,"2,0","17,6","17,6","18,8","40,1","6,7"
04/03/2014 0.00,"2,0","6,3","5,9","18,8","71,9","2,5"
04/03/2014 1.00,"2,0","2,8","2,6","12,3","84,8","1,9"
04/03/2014 2.00,"2,0","2,3","2,3","12,3","80,6","1,4"
04/03/2014 3.00,"2,0","1,9","1,6","12,3","90,4","1,0"
04/03/2014 4.00,"2,0","1,7","1,7","12,3","88,6","0,9"
04/03/2014 5.00,"2,0","1,8","1,8","12,3","84,4","1,0"
04/03/2014 6.00,"2,0","2,5","2,5","12,3","83,1","1,2"
04/03/2014 7.00,"2,0","4,5","4,5","12,3","76,2","1,9"
04/03/2014 8.00,"2,0","8,8","7,3","12,3","73,2","3,9"
04/03/2014 9.00,"2,2","10,6","8,6","12,3","76,7","3,8"
04/03/2014 10.00,"2,1","9,2","8,0","12,3","74,2","4,1"
04/03/2014 11.00,"2,1","6,6","5,7","12,3","77,8","4,0"
04/03/2014 12.00,"2,2","9,3","7,3","12,3","73,5","3,5"
04/03/2014 13.00,"2,0","6,4","4,8","12,3","78,6","2,6"
04/03/2014 14.00,"2,0","4,7","3,4","12,3","83,3","2,4"
04/03/2014 15.00,"2,0","6,5","4,5","12,3","83,2","2,8"
04/03/2014 16.00,"2,0","5,2","4,0","12,3","81,2","2,7"
04/03/2014 17.00,"2,0","4,0","3,6","12,3","82,9","2,7"
04/03/2014 18.00,"2,0","8,4","8,0","12,3","73,6","4,3"
04/03/2014 19.00,"2,0","17,3","16,8","12,3","62,6","6,4"
04/03/2014 20.00,"2,0","13,0","12,4","12,3","69,4","5,1"
04/03/2014 21.00,"2,0","12,6","12,4","12,3","67,3","5,7"
04/03/2014 22.00,"2,0","13,5","12,9","12,3","65,6","4,6"
04/03/2014 23.00,"2,0","12,5","12,1","12,3","45,8","3,3"
05/03/2014 0.00,"2,0","13,9","13,6","12,3","21,6","3,9"
