Stat,BR-SISRI,,,,,,,  ,
,,,,,,,,,,,,,,,,,
Parm,SO2,NO2,NOX,CO,PM10,BENZENE,IPA TOT,,
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3,ug/m3 293K,ng/m3,,
Field,Aver,Aver,Aver,Aver,Aver,Aver,Aver,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,
03/04/2014 3.00,"0,6","7,0","7,1","0,3",,"1,1","2,5",,
03/04/2014 4.00,"0,7","9,8","10,1","0,3","21,0","1,0","3,3",,
03/04/2014 5.00,"0,6","16,7","17,7","0,3",,"1,0","4,0",,
03/04/2014 6.00,"0,6","22,4","24,9","0,3","27,8","1,0","7,5",,
03/04/2014 7.00,"1,0","33,0","50,5","0,3",,"1,1","14,2",,
03/04/2014 8.00,"0,5","28,1","30,9","0,3","24,2","1,3","7,3",,
03/04/2014 9.00,"0,6","15,6","16,2","0,3",,"1,4","3,3",,
03/04/2014 10.00,"0,9","9,2","9,4","0,3","26,4","1,0","2,6",,
03/04/2014 11.00,"0,9","8,2","8,3","0,3",,"0,9","2,1",,
03/04/2014 12.00,"0,6","6,0","6,3","0,3","19,5","0,8","1,8",,
03/04/2014 13.00,"0,6","4,2","4,3","0,3",,"0,8","2,0",,
03/04/2014 14.00,"0,5","5,3","5,7","0,2","25,9","0,8","2,0",,
03/04/2014 15.00,"0,5","4,6","4,7","0,2",,"0,7","3,2",,
03/04/2014 16.00,"0,6","3,2","3,7","0,2","15,4","0,7","2,5",,
03/04/2014 17.00,"0,4","1,6","2,2","0,2",,"0,7","1,9",,
03/04/2014 18.00,"0,7","2,1","2,3","0,2","8,3","0,6","2,1",,
03/04/2014 19.00,"0,6","3,1","3,4","0,2",,"0,2","1,9",,
03/04/2014 20.00,"0,5","5,1","5,4","0,2","10,7","0,7","1,9",,
03/04/2014 21.00,"0,5","6,0","6,5","0,2",,"0,8","2,0",,
03/04/2014 22.00,"0,7","3,3","3,5","0,2","18,1","0,8","2,1",,
03/04/2014 23.00,"0,6","1,7","2,1","0,2",,"0,7","1,9",,
04/04/2014 0.00,"0,5","1,0","1,3","0,2","24,4","0,5","2,0",,
04/04/2014 1.00,,,,"0,2",,"0,5","1,9",,
04/04/2014 2.00,"0,8",,,"0,2","21,7","0,5","1,9",,
04/04/2014 3.00,"0,8","5,3","5,5",,,"0,4","1,7",,
04/04/2014 4.00,"0,5","3,9","4,2","0,2","22,7","0,4","1,7",,
04/04/2014 5.00,"0,7","2,0","2,5","0,2",,"0,5","1,8",,
04/04/2014 6.00,"0,7","2,3","2,9","0,2","17,3","0,4","2,0",,
04/04/2014 7.00,"0,7","4,3","4,6","0,2",,"0,5","2,5",,
04/04/2014 8.00,"1,1","4,8","5,0","0,2","23,4","0,6","3,0",,
04/04/2014 9.00,"0,6","3,9","4,0","0,2",,"0,7","4,4",,
04/04/2014 10.00,"0,6","4,0","4,2","0,2","20,0","0,6","4,0",,
04/04/2014 11.00,"1,0","6,6","7,2","0,2",,"0,5","2,4",,
04/04/2014 12.00,"0,8","6,1","6,6","0,2","20,3","0,7","1,9",,
04/04/2014 13.00,"0,7","1,6","1,8","0,2",,"0,5","2,0",,
04/04/2014 14.00,"0,7","1,6","1,8","0,2","26,4","0,5","2,3",,
04/04/2014 15.00,"0,7","2,7","3,1","0,2",,"0,5","2,3",,
04/04/2014 16.00,"0,6","1,9","2,4","0,2","22,0","0,5","2,3",,
04/04/2014 17.00,"0,6","2,3","3,1","0,2",,"0,5","2,4",,
04/04/2014 18.00,"0,6","1,9","2,1","0,2","18,6","0,5","2,0",,
04/04/2014 19.00,"1,2","3,5","3,8","0,2",,"0,5","1,9",,
04/04/2014 20.00,"1,2","5,1","5,3","0,2","27,8","0,5","2,1",,
04/04/2014 21.00,"1,1","3,4","3,5","0,2",,"0,5","2,2",,
04/04/2014 22.00,"0,8","3,6","4,1","0,2","38,6","0,4","2,0",,
04/04/2014 23.00,"0,9","11,2","11,7","0,2",,"0,4","2,0",,
05/04/2014 0.00,"0,7","7,0","7,2","0,2","27,8","0,4","2,5",,
05/04/2014 1.00,"0,6","5,6","5,8","0,2",,"0,5","2,2",,
05/04/2014 2.00,"0,6","5,3","5,9","0,2","14,9","0,7","2,2",,
05/04/2014 3.00,"0,6","6,4","6,9","0,2",,"0,6","2,6",,
05/04/2014 4.00,"0,6","5,2","5,5","0,2","11,7","0,6","2,1",,
05/04/2014 5.00,"0,9","7,2","7,3","0,2",,"0,5","3,5",,
05/04/2014 6.00,"0,6","14,1","15,1","0,2","6,3","0,6","3,8",,
05/04/2014 7.00,"0,7","9,4","9,6","0,2",,"0,7","2,8",,
05/04/2014 8.00,"0,6","15,5","16,8","0,2","13,7","0,6","5,1",,
05/04/2014 9.00,"0,7","9,2","10,0","0,2",,"0,7","2,3",,
05/04/2014 10.00,"0,3","3,6","3,8","0,2","11,7","0,5","1,9",,
05/04/2014 11.00,"0,6","2,3","2,5","0,2",,"0,5","2,0",,
05/04/2014 12.00,"0,9","2,0","2,3","0,2","7,3","0,4","2,1",,
05/04/2014 13.00,"1,0","1,4","1,7","0,2",,"0,4","2,1",,
05/04/2014 14.00,"0,7","2,1","2,7","0,2","15,1","0,5","2,0",,
05/04/2014 15.00,"0,7","1,3","1,6","0,2",,"0,5","2,0",,
05/04/2014 16.00,"0,6","1,2","1,3","0,2","24,2","0,5","1,8",,
05/04/2014 17.00,"0,7","1,2","1,4","0,2",,"0,5","1,7",,
05/04/2014 18.00,"0,7","1,7","2,0","0,2","13,7","0,5","1,9",,
05/04/2014 19.00,"0,6","1,5","2,1","0,2",,"0,5","1,9",,
05/04/2014 20.00,"0,6","2,7","2,9","0,2","23,2","0,5","1,7",,
05/04/2014 21.00,"0,6","2,8","2,9","0,2",,"0,5","1,9",,
05/04/2014 22.00,"0,7","3,8","3,9","0,2","22,0","0,5","1,7",,
05/04/2014 23.00,"0,7","2,4","2,7","0,2",,"0,5","1,8",,
06/04/2014 0.00,"0,8","2,9","3,2","0,2","24,4","0,5","1,7",,
06/04/2014 1.00,,"1,3","1,6","0,2",,"0,4","1,8",,
06/04/2014 2.00,"0,7",,,"0,2","18,3","0,5","1,7",,
06/04/2014 3.00,"0,3","6,8","6,9",,,"0,5","1,9",,
06/04/2014 4.00,"0,7","6,3","6,7","0,2","21,0","0,6","1,7",,
06/04/2014 5.00,"0,6","9,2","9,8","0,2",,"0,9","2,0",,
06/04/2014 6.00,"0,5","8,9","9,2","0,2","12,0","0,6","2,1",,
06/04/2014 7.00,"0,7","10,1","10,8","0,2",,"0,6","2,7",,
06/04/2014 8.00,"0,7","8,4","8,7","0,2","20,5","0,5","2,2",,
06/04/2014 9.00,"0,6","3,4","4,1","0,2",,"0,5","2,1",,
06/04/2014 10.00,"0,4","6,4","6,4","0,2","15,9","0,4","2,9",,
06/04/2014 11.00,"0,5","6,8","7,3","0,2",,"0,4","3,0",,
06/04/2014 12.00,"0,4","3,1","4,1","0,2","9,3","0,2","2,0",,
06/04/2014 13.00,"0,5","5,1","5,5","0,2",,"0,5","2,2",,
06/04/2014 14.00,"1,0","11,3","11,3","0,2","12,7","0,5","2,0",,
06/04/2014 15.00,"0,6","3,6","3,6","0,2",,"0,4","1,9",,
06/04/2014 16.00,"0,6","3,3","3,6","0,2","9,5","0,5","1,8",,
06/04/2014 17.00,"0,7","6,4","6,8","0,2",,"0,5","2,2",,
06/04/2014 18.00,"1,0","9,4","9,9","0,2","14,4","0,5","2,6",,
06/04/2014 19.00,"0,9","14,0","14,4","0,2",,"0,6","2,4",,
06/04/2014 20.00,"0,6","6,3","6,6","0,2","17,3","0,6","2,3",,
06/04/2014 21.00,"0,6","5,1","5,9","0,2",,"0,6","1,7",,
06/04/2014 22.00,"0,6","4,8","4,8","0,2","17,1","0,6","1,8",,
06/04/2014 23.00,"0,6","5,9","6,0","0,2",,"0,6","1,8",,
07/04/2014 0.00,"0,5","4,4","4,6","0,2","25,2","0,6","1,8",,
07/04/2014 1.00,"0,4","4,6","4,8","0,2",,"0,6","1,8",,
07/04/2014 2.00,"0,5","10,8","11,3","0,2","25,6","0,7","2,0",,
07/04/2014 3.00,"0,4","7,6","7,7","0,2",,"0,7","1,9",,
07/04/2014 4.00,"0,5","8,3","8,5","0,2","23,0","0,7","1,8",,
07/04/2014 5.00,"0,3","5,9","6,4","0,2",,"0,7","1,8",,
07/04/2014 6.00,"0,1","8,0","8,3","0,2","26,1","0,7","2,6",,
07/04/2014 7.00,"0,3","11,4","11,9","0,2",,"0,8","2,8",,
07/04/2014 8.00,"0,2","8,8","9,1","0,2","23,4","0,8","3,1",,
07/04/2014 9.00,"0,3","10,9","11,5","0,3",,"0,8","2,8",,
07/04/2014 10.00,"0,6","12,7","13,5","0,3","22,2","0,9","3,0",,
07/04/2014 11.00,"0,9","12,1","12,8","0,3",,"0,9","2,8",,
07/04/2014 12.00,"1,5","8,4","8,7","0,2","28,6","0,9","2,4",,
07/04/2014 13.00,"1,3","6,4","6,5","0,2",,"0,7","2,3",,
07/04/2014 14.00,"2,4","12,7","13,4","0,2","29,5","0,7","2,9",,
07/04/2014 15.00,"1,4","8,5","8,8","0,2",,"0,7","2,3",,
07/04/2014 16.00,"0,7","7,4","7,6","0,2","29,5","0,6","2,5",,
07/04/2014 17.00,"0,6","12,9","13,1","0,2",,"0,7","4,1",,
07/04/2014 18.00,"0,4","15,5","15,9","0,2","16,1","0,6","2,7",,
07/04/2014 19.00,"0,3","16,8","17,9","0,2",,"0,6","2,6",,
07/04/2014 20.00,"0,4","15,9","16,7","0,2","24,7","0,6","2,7",,
07/04/2014 21.00,"0,2","13,9","14,4","0,2",,"0,6","2,4",,
07/04/2014 22.00,"0,3","15,3","15,9","0,2","23,2","0,7","2,3",,
07/04/2014 23.00,"0,2","9,7","9,9","0,2",,"0,7","1,9",,
08/04/2014 0.00,"0,2","6,4","6,5","0,2","32,0","0,7","1,8",,
08/04/2014 1.00,,"6,6","7,0","0,2",,"0,7","1,9",,
08/04/2014 2.00,"0,3",,,"0,2","33,9","0,8","2,0",,
08/04/2014 3.00,"0,1","17,9","18,4",,,"0,7","2,1",,
08/04/2014 4.00,"0,1","20,2","21,0","0,2","29,5","0,7","2,2",,
08/04/2014 5.00,"0,1","20,5","21,6","0,2",,"0,7","2,3",,
08/04/2014 6.00,,"20,0","20,5","0,2","24,9","0,6","3,0",,
08/04/2014 7.00,,"22,6","23,6","0,2",,"0,7","3,9",,
08/04/2014 8.00,"0,6","24,5","25,3","0,2","29,1","0,8","4,1",,
08/04/2014 9.00,"0,6","20,1","20,9","0,2",,"0,7","3,3",,
08/04/2014 10.00,"0,3","16,2","16,8","0,2","31,3","0,7","2,9",,
08/04/2014 11.00,"0,1","8,8","9,8","0,2",,"0,7","2,5",,
08/04/2014 12.00,"0,1","8,6","9,1","0,2","30,8","0,7","2,6",,
08/04/2014 13.00,"0,3","9,3","9,7","0,2",,"0,9","2,3",,
08/04/2014 14.00,"0,3","8,6","8,7","0,2","27,8","0,7","3,2",,
08/04/2014 15.00,"0,2","9,1","9,7","0,2",,"0,7","2,4",,
08/04/2014 16.00,"0,3","12,0","12,8","0,2","23,7","0,7","2,7",,
08/04/2014 17.00,"0,6","17,9","18,5","0,2",,"0,7","2,7",,
08/04/2014 18.00,"0,3","18,8","19,2","0,2","19,3","0,7","2,3",,
08/04/2014 19.00,"0,2","10,4","11,0","0,2",,"1,3","2,2",,
08/04/2014 20.00,"0,2","14,2","15,1","0,2","25,2","1,8","8,5",,
08/04/2014 21.00,"0,1","37,3","44,6","0,3",,"1,6","17,1",,
08/04/2014 22.00,"0,3","24,7","27,0","0,2","32,0","0,3","8,0",,
08/04/2014 23.00,"0,3","11,0","11,6","0,2",,"0,9","2,9",,
09/04/2014 0.00,"0,1","7,3","8,2","0,2","35,4","0,9","2,3",,
09/04/2014 1.00,,"5,3","6,2","0,2",,"0,8","2,1",,
09/04/2014 2.00,"0,1","4,2","4,4","0,2","28,1","0,9","1,9",,
09/04/2014 3.00,"0,3","4,4","4,7","0,2",,"0,9","1,8",,
09/04/2014 4.00,"0,1","5,6","5,9","0,2","28,3","0,9","2,0",,
09/04/2014 5.00,,"7,2","7,8","0,2",,"0,9","4,1",,
09/04/2014 6.00,"0,4","20,4","33,9","0,3","23,7","1,0","11,0",,
09/04/2014 7.00,"0,8","25,0","62,8","0,3",,"0,9","24,6",,
09/04/2014 8.00,"0,7","34,4","55,7","0,4","22,0","1,6","16,2",,
09/04/2014 9.00,"0,3",,,"0,4",,"2,5","10,2",,
09/04/2014 10.00,"1,3",,,"0,4","26,6","1,3","4,3",,
09/04/2014 11.00,"1,8","21,1","21,6","0,4",,"1,4","3,1",,
09/04/2014 12.00,"2,6","16,8","17,7","0,3","29,1","1,3","2,9",,
09/04/2014 13.00,"1,7","15,5","16,1","0,2",,"0,8","2,6",,
09/04/2014 14.00,"1,0","13,2","14,2","0,2","27,8","0,7","2,4",,
09/04/2014 15.00,"1,3","12,8","13,5","0,3",,"0,7","3,2",,
09/04/2014 16.00,"1,2","14,1","14,9","0,3","35,4","0,8","4,1",,
09/04/2014 17.00,"1,4","12,8","13,6","0,3",,"0,8","3,0",,
09/04/2014 18.00,"1,3","13,1","13,9","0,3","33,7","0,7","3,3",,
09/04/2014 19.00,"0,9","9,6","10,4","0,3",,"0,7","2,5",,
09/04/2014 20.00,"1,2","9,8","10,5","0,2","33,7","0,7","2,5",,
09/04/2014 21.00,"1,1","8,8","9,4","0,2",,"0,7","2,1",,
09/04/2014 22.00,"1,1","6,8","7,4","0,2","36,4","0,6","1,8",,
09/04/2014 23.00,"1,1","10,9","11,6","0,2",,"0,6","2,2",,
10/04/2014 0.00,"1,1","6,5","7,4","0,2","20,8","0,6","1,7",,
10/04/2014 1.00,,"4,3","5,1","0,2",,"0,6","1,8",,
10/04/2014 2.00,"1,3",,,"0,2","22,5","0,6","1,9",,
10/04/2014 3.00,"1,3","11,2","12,0",,,"1,3","1,8",,
10/04/2014 4.00,"1,1","7,9","8,4","0,2","18,1","1,4","1,9",,
10/04/2014 5.00,"1,2","6,4","7,0","0,2",,"0,6","1,8",,
10/04/2014 6.00,"1,5","8,0","8,8","0,2","9,5","0,5","2,5",,
10/04/2014 7.00,"0,7","9,8","10,9","0,2",,"1,0","2,3",,
10/04/2014 8.00,"1,3","9,9","11,0","0,2","20,5","0,6","2,2",,
10/04/2014 9.00,"0,8","8,6","9,5","0,2",,"0,8","2,2",,
10/04/2014 10.00,"0,9","9,1","10,0","0,2","12,0","0,8","2,3",,
10/04/2014 11.00,"1,5","11,9","12,7","0,2",,"0,6","2,3",,
10/04/2014 12.00,"1,7","9,7","11,4","0,2","18,3","0,7","2,2",,
10/04/2014 13.00,"1,6","10,1","10,9","0,2",,"0,6","2,3",,
10/04/2014 14.00,"1,6","6,5","7,2","0,2","14,2","0,6","1,9",,
10/04/2014 15.00,"1,2","5,7","6,2","0,2",,"0,7","2,1",,
10/04/2014 16.00,"1,3","5,5","6,3","0,2","18,3","0,7","2,1",,
10/04/2014 17.00,"1,4","7,9","9,0","0,2",,"0,7","2,5",,
10/04/2014 18.00,"1,0","10,5","11,2","0,2","9,5","0,5","2,8",,
10/04/2014 19.00,"0,7","12,5","13,3","0,2",,"0,5","2,7",,
10/04/2014 20.00,"1,0","16,0","16,9","0,2","13,4","0,5","3,0",,
10/04/2014 21.00,"0,6","11,0","11,7","0,2",,"0,5","2,7",,
10/04/2014 22.00,"0,7","10,4","11,4","0,2","17,8","0,7","2,3",,
10/04/2014 23.00,"0,8","7,7","8,5","0,2",,"0,7","2,0",,
11/04/2014 0.00,,,,,,,,,
11/04/2014 1.00,"1,3","5,8","6,5","0,2",,"0,4","1,7",,
11/04/2014 2.00,"1,0","7,9","8,9","0,2","10,5","0,8","2,0",,
11/04/2014 3.00,"0,8","7,5","8,4","0,2",,"0,7","2,0",,
11/04/2014 4.00,"1,0","6,6","7,4","0,2","7,1","0,7","1,8",,
11/04/2014 5.00,"1,0","11,9","13,3","0,2",,"0,7","2,9",,
11/04/2014 6.00,"0,8","28,4","30,7","0,2","7,1","0,7","7,1",,
11/04/2014 7.00,"1,6","46,9","65,4","0,3",,"0,7","17,5",,
11/04/2014 8.00,"1,9","25,2","52,2","0,3","9,5","1,1","9,1",,
11/04/2014 9.00,,"5,9","5,9","0,5",,"1,3","4,4",,
11/04/2014 10.00,,,,,,"1,0","2,5",,
11/04/2014 11.00,,,,"0,2",,"0,7","3,2",,
11/04/2014 12.00,,"20,2","22,3","0,2",,,"1,8",,
11/04/2014 13.00,,"13,8","16,1","0,2",,"6,4","2,3",,
11/04/2014 14.00,,"13,3","15,6","0,2","76,7","17,8","2,4",,
11/04/2014 15.00,,"7,9","9,9","0,1",,"2,4","2,1",,
11/04/2014 16.00,,"7,0","8,3","0,1","44,0","0,6","2,1",,
11/04/2014 17.00,,"8,9","11,2","0,1",,"0,5","1,8",,
11/04/2014 18.00,,"8,9","10,0","0,1","26,9","0,6","1,9",,
11/04/2014 19.00,,"9,6","11,7","0,1",,"0,5","2,0",,
11/04/2014 20.00,,"20,1","22,4","0,2","16,1","0,5","2,8",,
11/04/2014 21.00,,"49,5","55,3","0,2",,"0,6","11,1",,
11/04/2014 22.00,,"30,0","33,7","0,2","8,1","1,1","6,3",,
11/04/2014 23.00,,"35,3","40,5","0,2",,"1,1","11,2",,
12/04/2014 0.00,,"26,8","29,4","0,2","21,7","1,2","6,1",,
12/04/2014 1.00,,"26,0","28,5","0,3",,"1,2","4,9",,
12/04/2014 2.00,,,,"0,3","18,8","1,6","5,3",,
12/04/2014 3.00,,"29,5","31,8",,,"1,4","5,0",,
12/04/2014 4.00,,"23,4","25,9","0,3","18,1","1,5","4,1",,
12/04/2014 5.00,,"23,3","27,0","0,3",,"1,5","5,2",,
12/04/2014 6.00,,"33,0","46,8","0,4","19,8","1,7","11,5",,
12/04/2014 7.00,,"36,4","58,3","0,4",,"2,3","12,1",,
12/04/2014 8.00,,"23,8","33,1","0,3","21,5","2,1","5,1",,
12/04/2014 9.00,,"7,1","9,7","0,2",,"0,8","1,9",,
12/04/2014 10.00,,"10,4","13,9","0,2","14,4","0,8","2,0",,
12/04/2014 11.00,,"7,3","9,6","0,2",,"0,8","1,8",,
12/04/2014 12.00,,"6,9","9,3","0,2","8,8","0,8","1,8",,
12/04/2014 13.00,,"6,1","8,3","0,2",,"1,0","1,9",,
12/04/2014 14.00,,"5,2","7,2","0,2","4,9","0,5","1,7",,
12/04/2014 15.00,,"4,5","6,6","0,2",,"0,5","1,8",,
12/04/2014 16.00,,"4,2","6,5","0,2","3,4","0,5","1,8",,
12/04/2014 17.00,,"4,2","6,4","0,2",,"0,5","1,9",,
12/04/2014 18.00,,"5,3","7,6","0,2","3,2","0,5","2,0",,
12/04/2014 19.00,,"14,3","16,7","0,2",,"0,9","3,2",,
12/04/2014 20.00,,"20,9","23,2","0,2","2,4","1,0","3,4",,
12/04/2014 21.00,,"23,0","25,4","0,2",,"0,8","4,5",,
12/04/2014 22.00,,"15,8","18,2","0,2","7,8","1,1","3,4",,
12/04/2014 23.00,,"11,8","14,2","0,2",,"1,1","2,2",,
13/04/2014 0.00,,"10,4","13,0","0,3","12,9","1,1","2,2",,
13/04/2014 1.00,,"17,4","20,3","0,3",,"1,3","2,3",,
13/04/2014 2.00,,"27,0","30,1","0,3","17,1","1,3","3,7",,
13/04/2014 3.00,,"16,5","19,5","0,3",,"1,4","2,4",,
13/04/2014 4.00,,"10,3","12,8","0,3","14,2","1,2","1,9",,
13/04/2014 5.00,,"11,0","13,3","0,3",,"1,1","2,3",,
13/04/2014 6.00,,"17,4","20,1","0,2","22,2","1,1","2,6",,
13/04/2014 7.00,,"10,4","13,0","0,2",,"0,8","2,2",,
13/04/2014 8.00,,"7,6","10,2","0,2","12,2","0,8","2,0",,
13/04/2014 9.00,,"8,0","10,2","0,3",,"0,8","2,8",,
13/04/2014 10.00,,"9,3","11,4","0,2","12,0","0,6","2,7",,
13/04/2014 11.00,,"12,4","14,7","0,2",,"0,6","2,5",,
13/04/2014 12.00,,"7,6","10,3","0,2","16,4","0,7","2,2",,
13/04/2014 13.00,,"9,0","11,9","0,2",,"0,7","2,2",,
13/04/2014 14.00,,"7,9","11,0","0,2","9,3","0,6","2,0",,
13/04/2014 15.00,,"7,7","10,8","0,2",,"0,5","2,0",,
13/04/2014 16.00,,"7,0","9,8","0,2","5,6","0,5","1,9",,
13/04/2014 17.00,,"9,6","12,1","0,2",,"0,5","2,0",,
13/04/2014 18.00,,"8,4","10,9","0,2","3,4","0,5","2,2",,
13/04/2014 19.00,,"6,0","8,4","0,2",,"0,5","1,8",,
13/04/2014 20.00,,"6,8","9,3","0,2","3,4","0,5","2,0",,
13/04/2014 21.00,,"6,7","9,4","0,2",,"0,5","1,7",,
13/04/2014 22.00,,"6,1","8,5","0,2","8,3","0,5","1,8",,
13/04/2014 23.00,,"6,6","9,4","0,2",,"0,5","2,1",,
14/04/2014 0.00,,"8,4","10,7","0,2","8,5","0,5","1,9",,
14/04/2014 1.00,,"6,7","9,2","0,2",,"0,5","1,9",,
14/04/2014 2.00,,,,"0,2","9,3","0,5","1,9",,
14/04/2014 3.00,,"15,1","17,4",,,"0,5","1,8",,
14/04/2014 4.00,,"19,6","22,2","0,2","5,9","0,5","1,7",,
14/04/2014 5.00,,"9,6","12,2","0,2",,"0,5","2,0",,
14/04/2014 6.00,,"16,4","19,8","0,2","7,1","0,6","2,4",,
14/04/2014 7.00,,"24,9","30,3","0,3",,"0,6","5,1",,
14/04/2014 8.00,,,,"0,3","6,1","0,7","4,2",,
14/04/2014 9.00,,"19,2","23,8","0,3",,"0,6","2,8",,
14/04/2014 10.00,,"13,8","18,0","0,3","11,0","0,5","2,6",,
14/04/2014 11.00,,"11,5","15,7","0,3",,"0,5","2,2",,
14/04/2014 12.00,,"8,6","12,0","0,2","10,5","0,5","2,1",,
14/04/2014 13.00,,"7,9","11,1","0,2",,"0,6","2,1",,
14/04/2014 14.00,,"7,9","11,1","0,2","6,3","0,5","2,1",,
14/04/2014 15.00,,"9,0","12,7","0,2",,"0,5","2,0",,
14/04/2014 16.00,,"6,3","9,5","0,2","3,9","0,5","2,1",,
14/04/2014 17.00,,"7,9","11,3","0,2",,"0,5","1,8",,
14/04/2014 18.00,,"11,1","13,9","0,2","6,6","0,5","2,4",,
14/04/2014 19.00,,"5,1","7,8","0,2",,"0,9","2,0",,
14/04/2014 20.00,,"4,7","7,3","0,2","10,0","0,8","2,1",,
14/04/2014 21.00,,"27,7","30,7","0,2",,"0,5","5,3",,
14/04/2014 22.00,,"20,7","24,0","0,3","18,3","0,6","5,4",,
14/04/2014 23.00,,"10,9","13,8","0,2",,"0,8","4,1",,
15/04/2014 0.00,,"6,6","9,2","0,2","17,6","0,7","2,7",,
15/04/2014 1.00,,"3,4","5,6","0,2",,"0,6","1,9",,
15/04/2014 2.00,,"3,7","6,1","0,2","13,4","0,6","2,0",,
15/04/2014 3.00,,"3,9","6,6","0,2",,"0,5","1,9",,
15/04/2014 4.00,,"3,8","6,3","0,2","11,0","0,5","1,9",,
15/04/2014 5.00,,"5,2","8,1","0,2",,"0,6","2,4",,
15/04/2014 6.00,,"11,3","14,5","0,2","10,0","0,6","3,2",,
15/04/2014 7.00,,"11,2","15,2","0,2",,"0,6","3,4",,
15/04/2014 8.00,,"10,4","14,5","0,2","5,9","0,6","3,1",,
15/04/2014 9.00,,"9,3","14,1","0,2",,"0,7","2,6",,
15/04/2014 10.00,,"6,2","9,5","0,2","5,6","0,7","2,4",,
15/04/2014 11.00,,"4,9","8,3","0,2",,"0,6","2,2",,
15/04/2014 12.00,,"5,6","8,4","0,2","4,6","0,6","2,1",,
15/04/2014 13.00,,"4,5","7,7","0,2",,"0,6","2,1",,
15/04/2014 14.00,,"10,3","13,6","0,2","3,7","0,6","5,1",,
15/04/2014 15.00,,"15,9","19,7","0,3",,"0,7","4,0",,
15/04/2014 16.00,,"13,1","16,4","0,2","11,7","0,6","2,9",,
15/04/2014 17.00,,"8,7","11,6","0,2",,"0,6","2,2",,
15/04/2014 18.00,,"6,5","9,2","0,2","11,2","0,4","2,1",,
15/04/2014 19.00,,"7,2","9,9","0,2",,"0,4","2,2",,
15/04/2014 20.00,,"6,6","9,1","0,2","23,7","0,4","1,9",,
15/04/2014 21.00,,"7,5","10,5","0,2",,"0,4","2,0",,
15/04/2014 22.00,,"6,2","8,7","0,2","16,1","0,4","1,9",,
15/04/2014 23.00,,"6,3","9,0","0,2",,"0,4","1,9",,
16/04/2014 0.00,,"3,9","6,6","0,2","11,2","0,4","2,1",,
16/04/2014 1.00,,"5,1","8,1","0,2",,"0,5","1,9",,
16/04/2014 2.00,,,,"0,2","6,3","0,5","2,0",,
16/04/2014 3.00,,"6,3","9,3",,,"0,5","1,8",,
16/04/2014 4.00,,"9,1","12,0","0,2","11,5","0,5","1,9",,
16/04/2014 5.00,,"10,4","13,5","0,2",,"0,4","2,3",,
16/04/2014 6.00,,"11,0","14,2","0,2","6,1","0,5","2,2",,
16/04/2014 7.00,,"9,7","13,2","0,2",,"0,5","2,4",,
16/04/2014 8.00,,"12,1","15,7","0,2","4,6","0,7","3,2",,
16/04/2014 9.00,,"13,1","17,6","0,2",,"0,6","2,7",,
16/04/2014 10.00,,"10,2","14,8","0,2","11,0","0,9","2,3",,
16/04/2014 11.00,,"10,2","14,5","0,2",,"0,6","2,4",,
16/04/2014 12.00,,"7,1","11,2","0,2","7,3","0,6","3,1",,
16/04/2014 13.00,,,,,,,,,
16/04/2014 14.00,,,,,,,,,
16/04/2014 15.00,,,,,,,,,
16/04/2014 16.00,,,,,,,,,
16/04/2014 17.00,,,,,,,,,
16/04/2014 18.00,,,,,,,,,
16/04/2014 19.00,,,,,,,,,
16/04/2014 20.00,,,,,,,,,
16/04/2014 21.00,,,,,,,,,
16/04/2014 22.00,,,,,,,,,
16/04/2014 23.00,,,,,,,,,
17/04/2014 0.00,,,,,,,,,
17/04/2014 1.00,,,,,,,,,
17/04/2014 2.00,,,,,,,,,
17/04/2014 3.00,,,,,,,,,
17/04/2014 4.00,,,,,,,,,
17/04/2014 5.00,,,,,,,,,
17/04/2014 6.00,,,,,,,,,
17/04/2014 7.00,,,,,,,,,
17/04/2014 8.00,,,,,,,,,
17/04/2014 9.00,,,,,,,,,
17/04/2014 10.00,,,,,,,,,
17/04/2014 11.00,,,,,,,,,
17/04/2014 12.00,,,,,,,,,
17/04/2014 13.00,,,,,,,,,
17/04/2014 14.00,,,,,,,,,
17/04/2014 15.00,,,,,,,,,
17/04/2014 16.00,,,,,,,,,
17/04/2014 17.00,"0,7","9,4","12,9","0,2",,,"3,5",,
17/04/2014 18.00,"0,7","13,5","17,2","0,2","2,7","0,8","4,0",,
17/04/2014 19.00,"0,8","14,0","17,3","0,3",,"0,9","4,0",,
17/04/2014 20.00,"0,7","18,4","21,7","0,3","2,0","1,0","4,2",,
17/04/2014 21.00,"0,7","18,9","22,9","0,3",,"0,9","4,5",,
17/04/2014 22.00,"0,7","14,2","17,3","0,3","10,3","1,0","3,1",,
17/04/2014 23.00,"0,7","8,6","11,8","0,3",,"0,9","2,2",,
18/04/2014 0.00,"0,1","5,2","7,7","0,1","6,1","0,9","2,0",,
18/04/2014 1.00,,"3,6","5,8",,,"0,8","1,8",,
18/04/2014 2.00,"0,5",,,,"16,4","0,6","2,0",,
18/04/2014 3.00,"0,4","3,4","6,2",,,"0,7","1,9",,
18/04/2014 4.00,"0,5","3,6","5,9","0,2","14,2","0,7","1,9",,
18/04/2014 5.00,"0,4","7,2","9,5","0,2",,"0,6","2,2",,
