"NetC","SIMAGE Brindisi","","","","","","","","","","",""
"Stat","valzani_sanpietrovernotico","","","","","","","","","","",""
,NOX,NO2,SO2,CO,O3
14/03/2011 1.00,"7,6","3,3",0,,"88,7"
14/03/2011 2.00,"6,6",3,0,,"87,9"
14/03/2011 3.00,"6,2","2,6","0,2",,"90,1"
14/03/2011 4.00,"7,1","2,6",0,,"91,5"
14/03/2011 5.00,"6,9","2,3","0,1",,"92,1"
14/03/2011 6.00,"6,9","2,8","0,1",,"91,2"
14/03/2011 7.00,"9,6","4,9",0,,"87,8"
14/03/2011 8.00,"15,6","9,4",0,,"85,2"
14/03/2011 9.00,"20,3","11,6","0,1",,"81,9"
14/03/2011 10.00,"15,5","8,3","0,2",,"86,8"
14/03/2011 11.00,"15,4","7,9","0,1",,"89,5"
14/03/2011 12.00,"11,4","5,6","0,1",,"92,9"
14/03/2011 13.00,"17,4",8,0,,92
14/03/2011 14.00,"12,8",6,"0,1",,"92,3"
14/03/2011 15.00,"15,4","7,2","0,1",,"89,7"
14/03/2011 16.00,"11,8","5,3","0,3",,"89,3"
14/03/2011 17.00,"19,1","9,5","0,1",,"84,8"
14/03/2011 18.00,"12,9","7,5",0,"0,3","86,7"
14/03/2011 19.00,"13,1",9,0,"0,3","82,7"
14/03/2011 20.00,"10,5","6,1",0,"0,3","81,7"
14/03/2011 21.00,"12,1","8,1",0,"0,3","78,5"
14/03/2011 22.00,11,"6,3",0,"0,3","77,8"
14/03/2011 23.00,"9,7","5,8","0,2","0,3","80,1"
15/03/2011 0.00,"8,4","4,5","0,2","0,3","80,9"
15/03/2011 1.00,"7,4","3,7","0,7","0,3","81,1"
15/03/2011 2.00,,,"0,6","0,3","82,7"
15/03/2011 3.00,,,"0,7","0,3","84,1"
15/03/2011 4.00,"13,2","9,2",,"0,3","88,7"
15/03/2011 5.00,"8,3",5,"0,4","0,3",
15/03/2011 6.00,"7,9","4,3","0,3","0,3",90
15/03/2011 7.00,"10,5","6,2","0,3","0,3","88,5"
15/03/2011 8.00,"28,2","17,4","0,3","0,3","75,2"
15/03/2011 9.00,"17,7","11,1","0,3","0,3","79,8"
15/03/2011 10.00,"11,6","6,5","0,4","0,3","88,5"
15/03/2011 11.00,"12,9","6,4","0,3","0,3","91,2"
15/03/2011 12.00,"21,4","8,9","0,4","0,3","91,1"
15/03/2011 13.00,"20,4","8,4","0,2","0,3","92,3"
15/03/2011 14.00,"18,5","9,1","0,4","0,3","90,8"
15/03/2011 15.00,"13,9","7,4","0,4","0,3","92,7"
15/03/2011 16.00,"13,4","7,4","0,3","0,3","96,2"
15/03/2011 17.00,"11,5","6,9","0,3","0,3","97,7"
15/03/2011 18.00,"11,3","7,2","0,1","0,3","94,5"
15/03/2011 19.00,"11,5","7,3","0,2","0,3","92,2"
15/03/2011 20.00,"11,1",6,"0,2","0,3","91,2"
15/03/2011 21.00,"9,5",5,"0,2","0,3","92,4"
15/03/2011 22.00,"8,4","4,1","0,2","0,3","93,5"
15/03/2011 23.00,7,"3,4","0,2","0,3","95,3"
16/03/2011 0.00,"6,4","3,3","0,2","0,2","97,3"
16/03/2011 1.00,"7,1","3,3",,"0,2","100,4"
16/03/2011 2.00,"5,6","2,6",,"0,2","101,6"
16/03/2011 3.00,"6,7","2,6",,,"101,7"
16/03/2011 4.00,"6,6","3,1",,"0,2","102,5"
16/03/2011 5.00,"6,1","2,3",,"0,2","102,2"
16/03/2011 6.00,"5,7","2,4",,"0,2","100,1"
16/03/2011 7.00,"7,2","3,4",,"0,3","99,5"
16/03/2011 8.00,"11,4","6,2",,"0,3","96,4"
16/03/2011 9.00,"11,4","6,2",,"0,2","95,5"
16/03/2011 10.00,"10,8","5,7",,"0,2","93,6"
16/03/2011 11.00,"11,2","5,8",,"0,2","90,1"
16/03/2011 12.00,11,"5,1",,"0,3","88,5"
16/03/2011 13.00,"9,1","4,6",,"0,3","95,2"
16/03/2011 14.00,"7,9",4,,"0,3","96,6"
16/03/2011 15.00,"6,8","3,2",,"0,3","96,1"
16/03/2011 16.00,"7,8","3,7",,"0,3","95,4"
16/03/2011 17.00,"8,4","4,8",,"0,3","93,5"
16/03/2011 18.00,"9,8","5,2",,"0,3","91,1"
16/03/2011 19.00,"9,6","5,7",,"0,3","91,1"
16/03/2011 20.00,"7,6","3,9",,"0,3","95,3"
16/03/2011 21.00,"8,1","4,4",,"0,3","94,1"
16/03/2011 22.00,7,"3,2",,"0,3","95,6"
16/03/2011 23.00,"7,1","2,9",,"0,3","94,3"
17/03/2011 0.00,"6,6","2,5",,"0,2","95,1"
17/03/2011 1.00,"6,7","2,6",0,"0,2","98,3"
17/03/2011 2.00,,,0,"0,2","98,7"
17/03/2011 3.00,,,0,"0,2","96,8"
17/03/2011 4.00,"12,1",8,,"0,2","95,7"
17/03/2011 5.00,7,"4,5",0,"0,2",
17/03/2011 6.00,7,"3,7","0,1","0,2","89,3"
17/03/2011 7.00,"10,2","5,4","0,1","0,2","84,4"
17/03/2011 8.00,"10,7","5,9","0,1","0,2","78,4"
17/03/2011 9.00,"10,5","5,1","0,1","0,2","85,8"
17/03/2011 10.00,"11,5","4,9","0,1","0,2","85,9"
17/03/2011 11.00,"11,7","4,9","0,1","0,2",86
17/03/2011 12.00,"12,6","5,3","0,1","0,2","87,8"
17/03/2011 13.00,"10,3","4,9","0,1","0,2","91,2"
17/03/2011 14.00,"9,6","4,6","0,1","0,2","92,4"
17/03/2011 15.00,"9,8","4,5","0,2","0,2","94,5"
17/03/2011 16.00,"11,1","5,8","0,1","0,2","96,3"
17/03/2011 17.00,"12,2",6,"0,1","0,2","94,3"
17/03/2011 18.00,"15,1","8,6","0,1","0,2","89,3"
17/03/2011 19.00,"20,7","12,8","0,2","0,2","78,6"
17/03/2011 20.00,"18,6","12,1","0,1","0,2","69,8"
17/03/2011 21.00,"22,3","15,5","0,1","0,2","61,5"
17/03/2011 22.00,"22,1","17,1","0,2","0,2","51,2"
17/03/2011 23.00,"28,8","22,4","0,1","0,3",42
18/03/2011 0.00,23,"17,8","0,1","0,3","29,1"
18/03/2011 1.00,"15,7","11,6",0,"0,3","33,3"
18/03/2011 2.00,"10,9","6,8","0,1","0,3","51,1"
18/03/2011 3.00,"8,4","4,2","0,1","0,2","59,2"
18/03/2011 4.00,"7,7","3,3",0,"0,2","62,5"
18/03/2011 5.00,"7,1","3,1",0,"0,2","65,8"
18/03/2011 6.00,11,5,"0,1","0,2","61,7"
18/03/2011 7.00,"15,2",9,"0,1","0,3","59,9"
18/03/2011 8.00,"43,9","22,5","0,2","0,3","47,8"
18/03/2011 9.00,"47,3","27,5","0,3","0,6","51,8"
18/03/2011 10.00,"25,1","15,2","0,3","0,4","68,5"
18/03/2011 11.00,"22,7","12,5",0,"0,4","77,8"
18/03/2011 12.00,"20,2","11,1","0,1","0,4","79,7"
18/03/2011 13.00,"16,8","8,7","0,1","0,3","83,2"
18/03/2011 14.00,"21,7","10,9",0,"0,3","85,6"
18/03/2011 15.00,"20,5","10,9","0,1","0,3","85,2"
18/03/2011 16.00,"19,6","11,3",0,"0,2","85,2"
18/03/2011 17.00,"22,7","13,8","0,1","0,3","82,1"
18/03/2011 18.00,"28,6","19,3","0,2","0,4","72,4"
18/03/2011 19.00,"51,7","32,1","0,5","0,4","54,6"
18/03/2011 20.00,"42,1","33,9","0,1","0,6",50
18/03/2011 21.00,"44,4","33,1","0,1","0,5","37,8"
18/03/2011 22.00,"33,8","25,3","0,1","0,5","36,9"
18/03/2011 23.00,"23,3","19,1","0,1","0,4",47
19/03/2011 0.00,"19,8","15,1","0,1","0,4","48,9"
19/03/2011 1.00,"15,7","11,5","0,2","0,3","48,2"
19/03/2011 2.00,,,"0,1","0,3","56,2"
19/03/2011 3.00,,,"0,2",,"63,3"
19/03/2011 4.00,"15,5","12,1",,"0,3",65
19/03/2011 5.00,"13,5","9,7","0,4","0,3",
19/03/2011 6.00,"15,6","11,4","0,5","0,3","48,9"
19/03/2011 7.00,"29,7",17,"0,6","0,3","40,9"
19/03/2011 8.00,"77,4","29,7","1,2","0,4","45,3"
19/03/2011 9.00,"33,1","19,4",1,"0,4",62
19/03/2011 10.00,"21,6","14,4","0,9","0,3","73,3"
19/03/2011 11.00,"23,1","13,2","0,9","0,3","78,2"
19/03/2011 12.00,"17,8","10,7","0,5","0,3","83,9"
19/03/2011 13.00,"18,7","9,3","0,8","0,3","76,9"
19/03/2011 14.00,"27,6","14,2","0,7","0,5","75,1"
19/03/2011 15.00,"16,8","10,6","0,6","0,4","72,9"
19/03/2011 16.00,"15,2","9,8","0,8","0,4","81,2"
19/03/2011 17.00,"17,4","12,1","0,6","0,4","78,8"
19/03/2011 18.00,"22,7","15,5","0,7","0,6",61
19/03/2011 19.00,"32,3","23,2","1,1","0,8","50,7"
19/03/2011 20.00,"34,5","26,8",1,"0,7","47,8"
19/03/2011 21.00,"32,6",25,"1,1","0,7",44
19/03/2011 22.00,"22,4","17,4",1,"0,6","47,2"
19/03/2011 23.00,"17,5","12,7","0,6","0,4","56,5"
20/03/2011 0.00,"15,4","11,2","0,8","0,4","63,1"
20/03/2011 1.00,"14,6","10,7","1,1","0,3","62,3"
20/03/2011 2.00,"13,1","10,4","1,3","0,3","58,1"
20/03/2011 3.00,"12,4","8,4","1,3","0,3","57,7"
20/03/2011 4.00,"12,7","9,2","1,1","0,3","55,4"
20/03/2011 5.00,"12,3","8,7","1,2","0,3","52,9"
20/03/2011 6.00,"14,3","10,1","1,2","0,3",51
20/03/2011 7.00,"14,7","10,7","1,3","0,3","46,7"
20/03/2011 8.00,"13,8","8,9","1,3","0,3","50,9"
20/03/2011 9.00,13,"8,2","1,4","0,3","56,6"
20/03/2011 10.00,14,"7,6","1,2","0,3",61
20/03/2011 11.00,"13,9","7,4","1,4","0,3",64
20/03/2011 12.00,"14,5",8,"1,5","0,3","61,8"
20/03/2011 13.00,"14,3","8,1","1,6","0,3","64,8"
20/03/2011 14.00,"13,5","6,5","1,5","0,3","67,4"
20/03/2011 15.00,"11,5","6,2","1,4","0,3","69,8"
20/03/2011 16.00,"10,5","5,9","1,4","0,3","71,8"
20/03/2011 17.00,"13,1","8,1","1,2","0,3","68,7"
20/03/2011 18.00,"17,7","11,8","1,2","0,4","67,4"
20/03/2011 19.00,"28,1","21,3","1,3","0,5",56
20/03/2011 20.00,"33,1","26,5","1,5","0,5","47,9"
20/03/2011 21.00,"27,4","22,4","1,4","0,5","53,8"
20/03/2011 22.00,"24,9","19,7","1,3","0,5","58,1"
20/03/2011 23.00,"19,1","14,6","1,2","0,4","64,6"
21/03/2011 0.00,"12,1","8,4","1,3","0,3","54,8"
21/03/2011 1.00,"14,3","10,7","1,2","0,3","49,3"
21/03/2011 2.00,,,"1,2","0,3",54
21/03/2011 3.00,,,"1,3","0,3","53,9"
21/03/2011 4.00,"12,6","8,9",,"0,3","51,7"
21/03/2011 5.00,"12,8","8,9","0,3","0,3",
21/03/2011 6.00,"13,8",9,"0,3","0,3","48,8"
21/03/2011 7.00,"17,4","11,1","0,3","0,3","46,6"
21/03/2011 8.00,"43,9","22,7","0,5","0,4",38
21/03/2011 9.00,"51,2",30,"0,6","0,5","29,4"
21/03/2011 10.00,"30,6","18,5","0,3","0,4","40,6"
21/03/2011 11.00,"31,2","19,4","0,3","0,4","43,5"
21/03/2011 12.00,"23,9","13,9","0,4","0,4","51,5"
21/03/2011 13.00,"20,8","12,3","0,7","0,4",64
21/03/2011 14.00,"26,1","14,4","0,7","0,4","68,1"
21/03/2011 15.00,"17,4","10,1","0,5","0,4","75,8"
21/03/2011 16.00,"17,9","10,4","0,5","0,3","77,5"
21/03/2011 17.00,"21,3","13,7","0,4","0,3","74,7"
21/03/2011 18.00,"20,8","13,9","0,4","0,4","68,9"
21/03/2011 19.00,"27,6",20,"0,4","0,5","61,4"
21/03/2011 20.00,"28,9","22,3","0,3","0,5","58,7"
21/03/2011 21.00,"29,6",22,"0,3","0,5","59,6"
21/03/2011 22.00,25,"19,9","0,3","0,4","55,4"
21/03/2011 23.00,"20,3","16,1","0,3","0,4","52,8"
22/03/2011 0.00,"16,2","12,1","0,2","0,4","52,4"
22/03/2011 1.00,"10,2",7,"0,2","0,3","56,9"
22/03/2011 2.00,"10,9","7,3","0,2","0,3","59,7"
22/03/2011 3.00,"9,9","6,5","0,1",,"60,5"
22/03/2011 4.00,"10,4","6,3","0,2","0,3",60
22/03/2011 5.00,"10,3","6,7","0,2","0,3","58,1"
22/03/2011 6.00,"13,9","9,5","0,1","0,3","57,1"
22/03/2011 7.00,"23,2","16,5","0,1","0,3","52,6"
22/03/2011 8.00,"169,7","55,1","1,9","0,4","45,3"
22/03/2011 9.00,"41,3","22,2","0,6","0,3","56,8"
22/03/2011 10.00,"18,3","10,3","0,5","0,3","69,1"
22/03/2011 11.00,"14,5","7,3","0,7","0,3","75,9"
22/03/2011 12.00,"14,5","7,6","1,2","0,4","80,9"
22/03/2011 13.00,"13,4","6,7","0,4","0,3","84,8"
22/03/2011 14.00,"18,5","9,4","0,5","0,3","87,9"
22/03/2011 15.00,"16,6","9,2","0,7","0,3","90,4"
22/03/2011 16.00,"18,6","10,6","1,5","0,3",88
22/03/2011 17.00,"13,9","8,2","0,8","0,4","91,5"
22/03/2011 18.00,"21,9","14,2","1,1","0,3","83,2"
22/03/2011 19.00,"27,3","20,5","0,7","0,5","73,1"
22/03/2011 20.00,"32,8","25,8","0,4","0,6","63,2"
22/03/2011 21.00,"35,2","25,5","0,3","0,6","57,9"
22/03/2011 22.00,"26,7","21,7","0,3","0,5","62,3"
22/03/2011 23.00,"22,2","17,9","0,3","0,4","58,5"
23/03/2011 0.00,"16,8","13,5","0,3","0,4",57
23/03/2011 1.00,"11,5","7,1","0,6","0,3","65,9"
23/03/2011 2.00,,,"0,6","0,3","65,6"
23/03/2011 3.00,,,"0,6","0,3",62
23/03/2011 4.00,14,"10,1",,"0,3","59,4"
23/03/2011 5.00,12,"8,1","0,4","0,3",
23/03/2011 6.00,"12,8","8,8","0,4","0,3",59
23/03/2011 7.00,"19,2","13,3","0,5","0,3","55,5"
23/03/2011 8.00,"43,7","24,4","0,7","0,4","49,1"
23/03/2011 9.00,26,"14,8","1,6","0,3","73,7"
23/03/2011 10.00,"14,4","8,4","2,4","0,3","87,3"
23/03/2011 11.00,"15,4","8,5","3,4","0,3","90,5"
23/03/2011 12.00,"15,7","9,2","3,2","0,3","87,5"
23/03/2011 13.00,"16,1","9,1","2,2","0,3","89,8"
23/03/2011 14.00,"21,3","11,8","1,8","0,4","90,3"
23/03/2011 15.00,"13,9",8,"1,6","0,3","94,3"
23/03/2011 16.00,"14,5",9,"2,9","0,3","98,5"
23/03/2011 17.00,"16,6","9,5",3,"0,4","99,6"
23/03/2011 18.00,"20,9","14,2","2,9","0,4","97,5"
23/03/2011 19.00,"27,6","20,9","2,5","0,5",89
23/03/2011 20.00,"30,4","23,7","1,9","0,6","79,9"
23/03/2011 21.00,"28,1","22,5","1,1","0,5","81,8"
23/03/2011 22.00,"20,6","16,8","0,8","0,5","86,9"
23/03/2011 23.00,17,"12,5","0,9","0,4","86,6"
24/03/2011 0.00,"13,6","9,7","0,4","0,3","88,8"
24/03/2011 1.00,"13,9","10,1","0,3","0,3","84,1"
24/03/2011 2.00,"12,9","9,2","0,7","0,3","80,4"
24/03/2011 3.00,"11,9","8,7","0,4","0,3","81,5"
24/03/2011 4.00,"12,1","8,3","0,4","0,3","79,2"
24/03/2011 5.00,"10,3","7,2","0,4","0,3","78,9"
24/03/2011 6.00,"13,4","9,2","0,4","0,3","77,2"
24/03/2011 7.00,"16,8","11,7","0,6","0,3","76,7"
24/03/2011 8.00,"33,2",18,"0,7","0,3","72,7"
24/03/2011 9.00,"35,2","21,7",1,"0,4","71,2"
24/03/2011 10.00,"57,2","19,1","1,5","0,3","81,1"
24/03/2011 11.00,"19,9","12,3","1,5","0,3","92,4"
24/03/2011 12.00,"19,6",12,"1,8","0,3","96,8"
24/03/2011 13.00,"17,6","10,5","1,9","0,3","101,4"
24/03/2011 14.00,"26,1","14,5","1,8","0,4","100,6"
24/03/2011 15.00,"18,5","11,4","2,1","0,4","107,3"
24/03/2011 16.00,"17,8",11,"1,9","0,4","109,1"
24/03/2011 17.00,"18,3","11,6","1,2","0,4","108,4"
24/03/2011 18.00,"21,7",16,"0,9","0,4","105,8"
24/03/2011 19.00,"30,8","23,5","0,8","0,5","94,7"
24/03/2011 20.00,"38,5","31,3","0,8","0,6","79,3"
24/03/2011 21.00,"45,8","33,4","0,8","0,9","72,6"
24/03/2011 22.00,"35,5","29,6","0,6","0,7","73,4"
24/03/2011 23.00,24,"19,9","0,6","0,5","71,2"
25/03/2011 0.00,19,"14,2","0,5","0,4","72,1"
25/03/2011 1.00,"14,9","11,3","0,4","0,3","71,2"
25/03/2011 2.00,,,"0,3","0,3","76,3"
25/03/2011 3.00,,,"0,3",,"78,4"
25/03/2011 4.00,"15,4","10,9",,"0,3","71,9"
25/03/2011 5.00,11,"7,2","0,2","0,3",
25/03/2011 6.00,"15,4",11,"0,2","0,3","68,5"
25/03/2011 7.00,"35,3","25,5","0,3","0,4","51,9"
25/03/2011 8.00,"64,2","36,1","0,9","1,4","48,4"
25/03/2011 9.00,"53,1","30,3","1,2","0,5","64,1"
25/03/2011 10.00,"28,5","18,7","0,7","0,3","78,8"
25/03/2011 11.00,"20,4","12,5","0,9","0,3","92,3"
25/03/2011 12.00,"17,7","10,9","0,3","0,3","101,1"
25/03/2011 13.00,"17,2","11,4","0,5","0,3","109,9"
25/03/2011 14.00,"22,6","14,1","0,7","0,3","113,9"
25/03/2011 15.00,"18,5","12,1","0,4","0,3","109,7"
25/03/2011 16.00,"24,6","13,7","0,6","0,4",111
25/03/2011 17.00,"22,2","13,4","0,7","0,4","104,4"
25/03/2011 18.00,"26,8","17,4","0,3","0,4","96,7"
25/03/2011 19.00,"39,4","27,3","0,4","0,4","86,4"
25/03/2011 20.00,"32,3","24,4","0,3","0,4","76,6"
25/03/2011 21.00,"45,4",31,"0,3","0,5","63,1"
25/03/2011 22.00,"27,4","20,4","0,3","0,4","65,6"
25/03/2011 23.00,"24,6","19,9","0,2","0,4","66,5"
26/03/2011 0.00,21,"16,7","0,2","0,4","61,6"
26/03/2011 1.00,"14,5","10,7","0,2","0,3","70,1"
26/03/2011 2.00,"15,5","9,5","0,2","0,3","70,7"
26/03/2011 3.00,"12,5","8,7","0,2","0,3","61,1"
26/03/2011 4.00,"11,1","6,9","0,2","0,3","54,4"
26/03/2011 5.00,"14,5","10,1","0,2","0,3","39,8"
26/03/2011 6.00,"13,3","8,2","0,2","0,3","43,4"
26/03/2011 7.00,"17,2","11,1","0,1","0,3","37,4"
26/03/2011 8.00,"28,5","15,7","0,2","0,4","40,7"
26/03/2011 9.00,"40,5","23,6","0,5","0,7","56,2"
26/03/2011 10.00,33,20,"1,1","0,6","77,4"
26/03/2011 11.00,"27,3","17,8",2,"0,8","94,4"
26/03/2011 12.00,"20,4","13,4","0,4","0,5",103
26/03/2011 13.00,"22,9",13,"0,3","0,3","104,6"
26/03/2011 14.00,"29,5",17,"0,5","0,5","103,6"
26/03/2011 15.00,"19,6","11,1","0,3","0,3","108,3"
26/03/2011 16.00,"13,5","7,9","0,1","0,3","111,3"
26/03/2011 17.00,"19,7","11,9","0,3","0,4","108,9"
26/03/2011 18.00,"27,6","17,3","0,3","0,4","101,3"
26/03/2011 19.00,"36,5","25,6","0,3","0,4","83,1"
26/03/2011 20.00,"44,1","31,1","0,2","0,5","65,2"
26/03/2011 21.00,40,"28,1","0,2","0,4","63,4"
26/03/2011 22.00,"33,2","25,5","0,2","0,4",62
26/03/2011 23.00,"30,6","23,9","0,1","0,4","58,6"
27/03/2011 0.00,"23,7","18,7","0,2","0,3","53,6"
27/03/2011 1.00,"24,9","19,5","0,2","0,4","48,4"
27/03/2011 2.00,,,"0,1","0,4","46,3"
27/03/2011 3.00,,,"0,2","0,4","33,6"
27/03/2011 4.00,24,"19,6",,"0,3",26
27/03/2011 5.00,"22,5","17,3","0,5","0,4",
27/03/2011 6.00,"21,9","17,7","0,5","0,4","27,8"
27/03/2011 7.00,"21,3",15,"0,5","0,4","26,4"
27/03/2011 8.00,"19,3","12,7","0,4","0,4",38
27/03/2011 9.00,"19,8","12,3","0,8","0,4","63,3"
27/03/2011 10.00,"12,6","7,6",1,"0,3","90,6"
27/03/2011 11.00,"11,3","7,1","0,9","0,3","101,3"
27/03/2011 12.00,"13,6","8,5","0,7","0,3",107
27/03/2011 13.00,"11,9","7,3","0,7","0,3","112,8"
27/03/2011 14.00,"10,9","7,1","0,6","0,3","111,5"
27/03/2011 15.00,"9,9","6,2","0,7","0,3","111,5"
27/03/2011 16.00,10,"5,8","0,8","0,3","111,7"
27/03/2011 17.00,"10,8","6,6","0,5","0,3",107
27/03/2011 18.00,"14,9","10,4","0,6","0,3","97,4"
27/03/2011 19.00,"19,9","13,9","0,7","0,3","84,3"
27/03/2011 20.00,"23,3","17,4","0,7","0,3","72,4"
27/03/2011 21.00,"31,1","23,3","0,6","0,4","64,3"
27/03/2011 22.00,"18,7","14,7","0,7","0,3","63,9"
27/03/2011 23.00,"17,9","13,5","0,6","0,3","65,1"
28/03/2011 0.00,"16,9","12,3","0,7","0,3","55,9"
28/03/2011 1.00,"18,1","13,5","0,8","0,3","51,2"
28/03/2011 2.00,"13,5","9,6","0,8","0,3","57,8"
28/03/2011 3.00,"10,6","7,3","0,9",,"61,6"
28/03/2011 4.00,"9,3","5,9","0,8","0,3","66,7"
28/03/2011 5.00,"8,9","5,1","0,8","0,3","71,3"
28/03/2011 6.00,"10,7","6,5","0,8","0,3","70,3"
28/03/2011 7.00,18,"12,1","0,9","0,4","68,7"
28/03/2011 8.00,"29,1","19,5","1,8","0,9","62,1"
28/03/2011 9.00,"25,1","14,2","1,6","0,5","68,2"
28/03/2011 10.00,"18,3","9,3","0,9","0,3","80,1"
28/03/2011 11.00,"14,5",8,"0,9","0,3",84
28/03/2011 12.00,"16,1","8,2","0,9","0,3",84
28/03/2011 13.00,"36,3","15,7","1,5","0,5","81,4"
28/03/2011 14.00,"17,4","9,5","1,1","0,4","90,9"
28/03/2011 15.00,"19,2","9,8","1,1","0,4","89,8"
28/03/2011 16.00,"17,5","10,3",1,"0,3","86,2"
28/03/2011 17.00,"21,4","11,4","0,9","0,3","83,5"
28/03/2011 18.00,"29,2","16,8","1,2","0,4","74,9"
28/03/2011 19.00,"33,7","19,6","1,2","0,4","62,6"
28/03/2011 20.00,21,"15,8","0,8","0,4","62,7"
28/03/2011 21.00,20,"15,8","0,8","0,4","59,8"
28/03/2011 22.00,"11,9","8,4","0,9","0,3","63,7"
28/03/2011 23.00,"9,9",6,"0,9","0,3","67,9"
29/03/2011 0.00,"9,2",5,"0,9","0,3","64,1"
29/03/2011 1.00,"7,8",5,"1,2","0,3","62,9"
29/03/2011 2.00,"8,3","4,5",1,"0,3","61,2"
29/03/2011 3.00,"7,9","4,1",1,"0,2","60,7"
29/03/2011 4.00,"7,9","3,6",,"0,2","57,4"
29/03/2011 5.00,"12,3","7,2","0,5","0,2",
29/03/2011 6.00,"18,9","12,7","0,5","0,3","52,4"
29/03/2011 7.00,58,"29,3","0,9","0,4","42,8"
29/03/2011 8.00,"44,9","25,4","0,9","0,5","54,9"
29/03/2011 9.00,"29,9","19,2","0,7","0,3",62
29/03/2011 10.00,"35,1","18,7","0,9","0,3","58,5"
29/03/2011 11.00,"25,7","14,6","0,7","0,3","64,8"
29/03/2011 12.00,"27,3","15,7","0,6","0,3","74,8"
29/03/2011 13.00,"31,6","18,7","0,6","0,3","78,8"
29/03/2011 14.00,"27,4","16,6","0,7","0,3","82,6"
29/03/2011 15.00,"19,1","13,5","0,5","0,3","85,9"
29/03/2011 16.00,"29,8","20,5","0,4","0,4","75,3"
29/03/2011 17.00,"42,8","28,1","0,6","0,4","54,6"
29/03/2011 18.00,"39,7","25,7","0,6","0,4",54
29/03/2011 19.00,"34,5","25,8","0,7","0,4","40,3"
29/03/2011 20.00,"51,7","32,4","0,6","0,4","32,2"
29/03/2011 21.00,"50,7","40,8","0,6","0,8","21,3"
29/03/2011 22.00,"36,5","31,6","0,4","0,7","19,6"
29/03/2011 23.00,"22,2","17,5","0,5","0,4","43,9"
30/03/2011 0.00,"16,9","12,6","0,3","0,3","45,6"
30/03/2011 1.00,"15,9","11,5",0,"0,3","41,2"
30/03/2011 2.00,"12,1","8,6",0,"0,3","49,1"
30/03/2011 3.00,"10,4","6,9",0,"0,3","53,3"
30/03/2011 4.00,"10,8","6,7",0,"0,2","56,7"
30/03/2011 5.00,"11,9","7,2",0,"0,3","54,4"
30/03/2011 6.00,"19,3","13,5",0,"0,3",54
30/03/2011 7.00,"58,2","29,5","0,1","0,4","48,2"
30/03/2011 8.00,"45,1","24,9","0,1","0,5","55,8"
30/03/2011 9.00,"25,6","16,6","0,1","0,3",68
30/03/2011 10.00,"21,7","13,1","0,1","0,3","72,9"
30/03/2011 11.00,"21,2","12,8","0,1","0,3","81,4"
30/03/2011 12.00,"19,7","11,9",0,"0,3","86,8"
30/03/2011 13.00,"24,7","14,6",0,"0,4","83,6"
30/03/2011 14.00,"20,1","10,4",0,"0,3",90
30/03/2011 15.00,"18,4","10,5",0,"0,3","90,7"
30/03/2011 16.00,"22,3","14,1",0,"0,3","88,5"
30/03/2011 17.00,"26,4","17,4","0,4","0,4","87,3"
30/03/2011 18.00,"29,2","20,3","0,1","0,3","81,1"
30/03/2011 19.00,"40,3","30,1","0,1","0,4","66,2"
30/03/2011 20.00,"50,5","39,6","0,1","0,5","51,1"
30/03/2011 21.00,"38,4","31,5","0,1","0,5","50,4"
30/03/2011 22.00,"28,6","23,1","0,1","0,4","56,5"
30/03/2011 23.00,"19,2","15,1",0,"0,3","58,1"
31/03/2011 0.00,14,"9,4",0,"0,3","67,8"
31/03/2011 1.00,"12,1","8,5","0,1","0,3","69,5"
31/03/2011 2.00,,,"0,1","0,3","69,8"
31/03/2011 3.00,,,"0,1",,"68,3"
31/03/2011 4.00,"17,1","13,1",,"0,3","64,5"
31/03/2011 5.00,"15,5","10,4","0,2","0,3",
31/03/2011 6.00,"19,2","13,1","0,3","0,3","62,5"
31/03/2011 7.00,"27,6","17,3","0,4","0,3","62,5"
31/03/2011 8.00,"37,1","20,5","0,5","0,3","63,2"
31/03/2011 9.00,"21,7","14,1","0,3","0,3","69,5"
31/03/2011 10.00,"21,1","12,2","0,3","0,3","82,5"
31/03/2011 11.00,"21,5","12,9","0,4","0,3","86,9"
31/03/2011 12.00,"18,5","10,4","0,5","0,3","93,9"
31/03/2011 13.00,17,"9,8","0,3","0,3","98,8"
31/03/2011 14.00,"16,4","9,6","0,4","0,3","100,2"
31/03/2011 15.00,"16,3","10,4","0,5","0,4","103,8"
31/03/2011 16.00,"17,3",11,"0,6","0,4","103,7"
31/03/2011 17.00,"17,8","11,1","0,4","0,4","103,5"
31/03/2011 18.00,"19,3","13,4","0,3","0,4","103,4"
31/03/2011 19.00,"25,5","19,5","0,5","0,4","96,9"
31/03/2011 20.00,"24,2","17,7","0,3","0,4","96,2"
31/03/2011 21.00,"20,3","15,4","0,2","0,4","96,4"
31/03/2011 22.00,"17,6","13,4","0,3","0,3","96,9"
31/03/2011 23.00,"16,4","11,2","0,2","0,3","97,7"
01/04/2011 0.00,"12,9","8,5","0,2","0,3","101,2"
01/04/2011 1.00,"11,5","7,5","0,2","0,3","101,7"
01/04/2011 2.00,"15,1",10,"0,1","0,3","92,1"
01/04/2011 3.00,"14,1","10,4","0,1","0,3","91,6"
01/04/2011 4.00,"12,6","8,9","0,1","0,2","95,2"
01/04/2011 5.00,"13,3","8,3","0,1","0,2","94,8"
