Stat,STATTE - SS7 Wind,,,,,
Parm,SO2,NOX,NO2,PM10,CO,BENZENE
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,mg/m3 293K,ug/m3 293K
23/03/2014 2.00,"0,8",,,"59,6","0,2","0,5"
23/03/2014 3.00,"0,7","8,1","7,6",,,"0,5"
23/03/2014 4.00,"0,7","4,8","4,3","52,3","0,2","0,5"
23/03/2014 5.00,"0,7","4,8","4,3",,"0,2","0,6"
23/03/2014 6.00,"0,7","4,4","3,7","51,3","0,2","0,6"
23/03/2014 7.00,"0,7","7,8","6,9",,"0,3","0,5"
23/03/2014 8.00,"0,7","13,2","11,7","26,6","0,3","0,8"
23/03/2014 9.00,"1,2","22,4","17,8",,"0,6","0,6"
23/03/2014 10.00,"2,9","30,0","21,9","13,4","0,4","1,3"
23/03/2014 11.00,"1,4","17,2","12,7",,"0,2","0,7"
23/03/2014 12.00,"1,4","15,0","11,5","6,8","0,2","0,7"
23/03/2014 13.00,"1,1","9,8","7,5",,"0,2","0,7"
23/03/2014 14.00,"1,2","13,0","9,9","15,1","0,2","0,6"
23/03/2014 15.00,"1,3","18,3","14,4",,"0,2","0,7"
23/03/2014 16.00,"1,3","8,7","7,7","24,9","0,2","0,5"
23/03/2014 17.00,"1,3","13,2","12,1",,"0,2","0,4"
23/03/2014 18.00,"1,3","18,1","17,2","27,1","0,2","0,5"
23/03/2014 19.00,"1,3","25,4","24,4",,"0,2","0,6"
23/03/2014 20.00,"1,3","27,4","24,6","35,2","0,2","0,5"
23/03/2014 21.00,"1,1","12,2","9,7",,"0,1","0,3"
23/03/2014 22.00,"0,7","20,7","18,1","18,6","0,2","0,3"
23/03/2014 23.00,"1,0","7,9","5,8",,"0,2","0,3"
24/03/2014 0.00,"0,9","5,9","4,6","25,2","0,2","0,3"
24/03/2014 1.00,"0,8","4,9","3,6",,"0,2","0,3"
24/03/2014 2.00,"0,7","4,6","3,6","36,9","0,1","0,3"
24/03/2014 3.00,"0,7","20,4","17,4",,"0,2","0,3"
24/03/2014 4.00,"0,7","15,9","14,2","50,5","0,2","0,5"
24/03/2014 5.00,"0,7","7,9","5,6",,"0,1","0,3"
24/03/2014 6.00,"0,7","15,6","11,5","29,3","0,1","0,3"
24/03/2014 7.00,"0,9","33,1","21,4",,"0,2","0,3"
24/03/2014 8.00,"1,2","58,2","38,3","21,7","0,2","0,3"
24/03/2014 9.00,"1,3","71,0","48,4",,"0,2","0,3"
24/03/2014 10.00,"1,0","27,2","21,1","10,7","0,2","0,5"
24/03/2014 11.00,"0,7","24,9","15,2",,"0,2","0,4"
24/03/2014 12.00,"0,7","16,0","9,1","5,6","0,2","0,4"
24/03/2014 13.00,"0,7","19,0","10,7",,"0,2","0,3"
24/03/2014 14.00,"0,7","32,3","20,4","7,1","0,2","0,4"
24/03/2014 15.00,"0,4","28,4","19,2",,"0,3","0,4"
24/03/2014 16.00,"1,6","25,2","16,3","6,8","0,5","0,4"
24/03/2014 17.00,"0,7","21,4","13,2",,"0,5","0,4"
24/03/2014 18.00,"0,7","17,5","11,0","7,1","0,4","0,4"
24/03/2014 19.00,"3,4","12,0","7,7",,"0,4","0,4"
24/03/2014 20.00,"0,4","14,9","10,9","4,6","0,4","0,2"
24/03/2014 21.00,"0,6","22,3","20,1",,"0,5","0,5"
24/03/2014 22.00,"0,7","10,1","9,4","7,8","0,4","0,6"
24/03/2014 23.00,"0,7","11,6","11,1",,"0,5","0,5"
25/03/2014 0.00,"0,7","10,5","9,9","6,1","0,5","0,6"
25/03/2014 1.00,,"7,4","6,7",,"0,5","0,7"
25/03/2014 2.00,"0,7",,,"7,8","0,5","0,5"
25/03/2014 3.00,"0,7","5,6","4,4",,,"0,7"
25/03/2014 4.00,"0,6","13,5","12,3","9,8","0,2","0,5"
25/03/2014 5.00,"0,7","21,4","19,4",,"0,2","0,4"
25/03/2014 6.00,"0,7","31,9","21,4","6,3","0,2","0,4"
25/03/2014 7.00,"0,8","47,2","24,8",,"0,2","0,4"
25/03/2014 8.00,"0,7","31,9","20,6","15,4","0,3","0,5"
25/03/2014 9.00,"0,7","38,7","25,9",,"0,3","0,5"
25/03/2014 10.00,"0,6","22,2","15,0","12,0","0,3","0,5"
25/03/2014 11.00,"0,6","25,0","15,7",,"0,2","0,5"
25/03/2014 12.00,"0,6","23,1","14,0","12,2","0,2","0,5"
25/03/2014 13.00,"0,7","21,0","13,1",,"0,2","0,4"
25/03/2014 14.00,"0,7","24,8","15,1","7,3","0,2","0,4"
25/03/2014 15.00,"0,7","23,0","14,7",,"0,2","0,3"
25/03/2014 16.00,"0,8","26,6","18,2","6,8","0,2","0,5"
25/03/2014 17.00,"1,0","24,1","18,9",,"0,2","0,4"
25/03/2014 18.00,"0,9","27,2","23,3","11,2","0,2","0,4"
25/03/2014 19.00,"0,7","17,2","16,4",,"0,2","0,6"
25/03/2014 20.00,"0,7","20,6","19,4","10,5","0,2","0,6"
25/03/2014 21.00,"0,7","17,6","16,6",,"0,2","0,6"
25/03/2014 22.00,"0,7","13,9","13,1","27,4","0,2","0,7"
25/03/2014 23.00,"0,7","9,6","9,3",,"0,2","0,5"
26/03/2014 0.00,"0,6","8,3","7,9","20,3","0,2","0,4"
26/03/2014 1.00,"0,7","9,0","8,3",,"0,2","0,4"
26/03/2014 2.00,"0,7","5,7","5,2","22,7","0,2","0,4"
26/03/2014 3.00,"0,7","5,5","4,7",,"0,2","0,4"
26/03/2014 4.00,"0,7","2,6","1,9","12,9","0,2","0,3"
26/03/2014 5.00,"0,7","4,9","4,4",,"0,2","0,3"
26/03/2014 6.00,"0,8","24,7","14,9","10,0","0,2","0,4"
26/03/2014 7.00,"0,7","9,7","5,2",,"0,2","0,4"
26/03/2014 8.00,"0,9","19,8","15,2","6,3","0,3","0,5"
26/03/2014 9.00,"0,7","46,4","28,5",,"0,2","0,5"
26/03/2014 10.00,"0,7","27,5","16,6","3,4","0,2","0,4"
26/03/2014 11.00,"1,3","35,3","21,9",,"0,2","0,4"
26/03/2014 12.00,"0,7","23,2","14,6","2,0","0,2","0,4"
26/03/2014 13.00,"0,7","20,3","13,2",,"0,2","0,3"
26/03/2014 14.00,"0,7","24,3","15,5","1,7","0,2","0,3"
26/03/2014 15.00,"0,7","26,7","17,8",,"0,2","0,4"
26/03/2014 16.00,"0,7","28,3","20,1","3,4","0,2","0,5"
26/03/2014 17.00,"1,4","31,1","24,3",,"0,2","0,4"
26/03/2014 18.00,"0,7","17,5","16,2","7,1","0,2","0,4"
26/03/2014 19.00,"0,7","19,4","18,4",,"0,2","0,5"
26/03/2014 20.00,"0,7","21,6","20,6","23,4","0,4","0,8"
26/03/2014 21.00,"1,1","29,1","28,2",,"0,7","1,3"
26/03/2014 22.00,"1,0","11,3","10,6","24,4","0,3","1,0"
26/03/2014 23.00,"0,7","10,9","10,5",,"0,3","0,8"
27/03/2014 0.00,"0,7","9,8","9,2","26,4","0,2","0,7"
27/03/2014 1.00,,"13,6","12,5",,"0,2","0,5"
27/03/2014 2.00,"0,7",,,"32,0","0,2","0,5"
27/03/2014 3.00,"0,7","8,3","7,7",,,"0,5"
27/03/2014 4.00,"0,9","12,9","12,0","24,7","0,4","0,5"
27/03/2014 5.00,"0,7","8,5","7,7",,"0,2","0,9"
27/03/2014 6.00,"1,8","33,2","32,4","39,8","0,7","1,3"
27/03/2014 7.00,"1,6","24,4","23,4",,"0,5","1,0"
27/03/2014 8.00,"1,5","32,6","30,6",,"0,7","1,1"
27/03/2014 9.00,"1,0","45,1","37,2",,"0,2","0,5"
27/03/2014 10.00,"1,0","25,1","23,1",,"0,3","0,6"
27/03/2014 11.00,"1,1","33,6","27,0",,"0,3","0,5"
27/03/2014 12.00,"1,0","20,5","13,5",,"0,2","0,4"
27/03/2014 13.00,"0,7","18,0","12,0",,"0,2","0,3"
27/03/2014 14.00,"0,7","20,0","13,3",,"0,2","0,4"
27/03/2014 15.00,"0,7","19,6","12,3",,"0,2","0,4"
27/03/2014 16.00,"0,7","24,9","16,6",,"0,2","0,3"
27/03/2014 17.00,"0,7","27,4","20,4",,"0,2","0,4"
27/03/2014 18.00,"0,7","51,4","42,0","6,8","0,2","0,3"
27/03/2014 19.00,"0,7","24,1","22,2",,"0,2","0,6"
27/03/2014 20.00,"0,7","26,9","25,0","13,4","0,2","0,4"
27/03/2014 21.00,"0,7","13,4","10,7",,"0,2","0,4"
27/03/2014 22.00,"0,8","20,6","19,7","19,3","0,2","0,8"
27/03/2014 23.00,"0,7","3,4","3,0",,"0,2","0,4"
28/03/2014 0.00,"0,7","13,9","12,0","23,4","0,2","0,4"
28/03/2014 1.00,"0,7","15,2","14,3",,"0,2","0,4"
28/03/2014 2.00,"0,7","8,5","7,6","12,9","0,2","0,4"
28/03/2014 3.00,"0,6","8,9","7,6",,"0,2","0,4"
28/03/2014 4.00,"0,6","4,2","3,5","9,0","0,2","0,4"
28/03/2014 5.00,"0,7","13,3","7,4",,"0,2","0,4"
28/03/2014 6.00,"0,7","9,1","5,5","13,4","0,2","0,4"
28/03/2014 7.00,"0,7","27,2","13,8",,"0,2","0,4"
28/03/2014 8.00,"0,9","49,0","27,2","6,8","0,3","0,7"
28/03/2014 9.00,"0,8","66,0","37,1",,"0,2","0,5"
28/03/2014 10.00,"0,7","41,7","25,6","3,7","0,2","0,7"
28/03/2014 11.00,"0,7","32,3","19,4",,"0,2","0,5"
28/03/2014 12.00,"0,7","14,6","11,3","2,9","0,2","0,4"
28/03/2014 13.00,"0,7","7,1","5,4",,"0,2","0,5"
28/03/2014 14.00,"0,7","4,6","3,6","4,9","0,2","0,4"
28/03/2014 15.00,"0,7","5,0","3,7",,"0,2","0,3"
28/03/2014 16.00,"0,7","4,2","3,1","5,9","0,2","0,3"
28/03/2014 17.00,"0,7","4,0","2,7",,"0,2","0,3"
28/03/2014 18.00,"0,7","4,8","3,5","8,1","0,2","0,3"
28/03/2014 19.00,"0,6","5,2","4,2",,"0,2","0,6"
28/03/2014 20.00,"0,6","9,9","9,6","11,2","0,2","0,5"
28/03/2014 21.00,"0,4","7,2","6,6",,"0,1","0,4"
28/03/2014 22.00,"0,6","4,7","4,1","18,6","0,1","0,4"
28/03/2014 23.00,"0,3","14,0","13,3",,"0,2","0,4"
29/03/2014 0.00,"0,5","15,9","14,3","29,3","0,2","0,4"
29/03/2014 1.00,,"13,9","11,4",,"0,2","0,5"
29/03/2014 2.00,"0,7",,,"15,6","0,2","0,4"
29/03/2014 3.00,"0,7","7,9","5,8",,,"0,4"
29/03/2014 4.00,"0,6","12,5","10,4","9,0","0,2","0,3"
29/03/2014 5.00,"0,6","11,3","9,1",,"0,2","0,3"
29/03/2014 6.00,"0,5","16,1","14,6","4,6","0,2","0,3"
29/03/2014 7.00,"0,6","35,1","25,2",,"0,2","0,5"
29/03/2014 8.00,"0,7","10,6","8,5","2,9","0,2","0,5"
29/03/2014 9.00,"0,7","4,9","4,0",,"0,2","0,6"
29/03/2014 10.00,"0,7","5,5","4,4","3,7","0,2","0,7"
29/03/2014 11.00,"0,7","6,8","5,3",,"0,2","0,7"
29/03/2014 12.00,"1,2","5,7","4,5","7,6","0,2","0,6"
29/03/2014 13.00,"1,8","4,5","3,6",,"0,2","0,6"
29/03/2014 14.00,"3,1","4,9","3,8","5,1","0,2","0,5"
29/03/2014 15.00,"3,3","3,8","2,9",,"0,2","0,5"
29/03/2014 16.00,"3,3","3,2","2,6","7,6","0,2","0,5"
29/03/2014 17.00,"2,7","3,6","2,7",,"0,2","0,5"
29/03/2014 18.00,"1,5","4,1","3,7","12,9","0,2","0,5"
29/03/2014 19.00,"0,7","4,4","3,9",,"0,2","0,5"
29/03/2014 20.00,"0,7","4,7","4,5","13,2","0,2","0,6"
29/03/2014 21.00,"0,7","3,7","3,2",,"0,2","0,6"
29/03/2014 22.00,"0,7","3,6","3,2","21,0","0,2","0,5"
29/03/2014 23.00,"0,7","4,2","3,9",,"0,2","0,5"
30/03/2014 0.00,"0,7","2,9","2,3","21,2","0,2","0,5"
30/03/2014 1.00,"0,8","3,2","2,9",,"0,2","0,5"
30/03/2014 2.00,"0,7","16,4","14,8","22,0","0,2","0,5"
30/03/2014 3.00,"0,5","22,4","20,3",,"0,2","0,6"
30/03/2014 4.00,"0,5","4,5","4,0","22,2","0,2","0,5"
30/03/2014 5.00,"0,7","3,3","2,9",,"0,2","0,5"
30/03/2014 6.00,"0,6","2,8","2,1","19,3","0,2","0,5"
30/03/2014 7.00,"0,7","2,9","2,3",,"0,2","0,5"
30/03/2014 8.00,"1,2","58,6","24,0","12,2","0,2","0,5"
30/03/2014 9.00,"0,7","30,2","22,7",,"0,2","0,6"
30/03/2014 10.00,"0,7","24,5","18,7","15,6","0,4","0,9"
30/03/2014 11.00,"1,3","16,2","12,8",,"0,3","0,8"
30/03/2014 12.00,"3,3","21,3","16,1","17,6","0,4","0,6"
30/03/2014 13.00,"4,3","16,9","13,0",,"0,3","0,7"
30/03/2014 14.00,"1,9","11,6","8,9","11,2","0,2","0,4"
30/03/2014 15.00,"4,5","14,8","11,9",,"0,3","0,5"
30/03/2014 16.00,"2,9","15,6","12,6","15,1","0,2","0,6"
30/03/2014 17.00,"1,1","14,9","12,3",,"0,2","0,4"
30/03/2014 18.00,"0,7","15,3","13,6","13,9","0,2","0,4"
30/03/2014 19.00,"0,7","22,4","21,5",,"0,2","0,4"
30/03/2014 20.00,"0,6","13,0","12,2","14,2","0,2","0,6"
30/03/2014 21.00,"0,6","10,1","8,8",,"0,2","0,5"
30/03/2014 22.00,"0,6","8,7","8,0","30,3","0,2","0,6"
30/03/2014 23.00,"0,7","10,5","8,3",,"0,2","0,6"
31/03/2014 0.00,"0,7","6,7","6,2","20,5","0,2","0,6"
31/03/2014 1.00,,"5,1","4,5",,"0,2","0,6"
31/03/2014 2.00,"0,6",,,"20,3","0,1","0,5"
31/03/2014 3.00,"0,6","2,9","2,5",,,"0,4"
31/03/2014 4.00,"0,7","4,6","4,1","12,0","0,2","0,4"
31/03/2014 5.00,"0,7","15,0","11,4",,"0,2","0,4"
31/03/2014 6.00,"0,7","27,3","20,3","28,1","0,2","0,5"
31/03/2014 7.00,"2,0","129,3","57,3",,"0,3","1,4"
31/03/2014 8.00,"3,0","188,4","69,0","33,2","0,3","1,1"
31/03/2014 9.00,"0,7","73,5","43,3",,"0,2","0,8"
31/03/2014 10.00,"0,7","47,1","30,7","22,7","0,2","0,7"
31/03/2014 11.00,"0,7","35,0","23,6",,"0,2","0,7"
31/03/2014 12.00,"0,7","31,1","21,3","24,7","0,2","0,6"
31/03/2014 13.00,"0,7","24,0","17,3",,"0,2","0,5"
31/03/2014 14.00,"0,9","28,5","20,4","17,1","0,3","0,4"
31/03/2014 15.00,"0,8","23,4","17,3",,"0,3","0,4"
31/03/2014 16.00,"1,9","28,4","22,6","18,1","0,3","0,4"
31/03/2014 17.00,"7,1","42,1","34,1",,"0,3","0,5"
31/03/2014 18.00,"1,1","32,7","27,9","24,2","0,3","0,4"
31/03/2014 19.00,"0,7","31,7","28,0",,"0,2","0,4"
31/03/2014 20.00,"0,7","22,2","19,7","27,8","0,2","0,5"
31/03/2014 21.00,"0,7","12,6","11,3",,"0,3","0,7"
31/03/2014 22.00,"0,7","7,5","7,3","20,8","0,2","0,6"
31/03/2014 23.00,"0,7","5,3","5,1",,"0,2","0,6"
01/04/2014 0.00,"0,7","4,9","4,5","19,3","0,2","0,6"
01/04/2014 1.00,"0,7","10,8","9,9",,"0,2","0,5"
01/04/2014 2.00,"0,7","5,7","5,1","18,8","0,2","0,5"
01/04/2014 3.00,"0,7","17,2","14,4",,"0,2","0,5"
01/04/2014 4.00,"0,7","16,7","13,5","29,1","0,2","0,5"
01/04/2014 5.00,"0,9","36,0","19,2",,"0,2","0,5"
01/04/2014 6.00,"0,7","23,0","21,6","35,4","0,2","0,5"
01/04/2014 7.00,"2,1","132,6","52,3",,"0,3","0,5"
01/04/2014 8.00,"0,9","73,4","47,8","45,4","0,3","0,8"
01/04/2014 9.00,"0,7","61,5","39,2",,"0,3","0,9"
01/04/2014 10.00,"0,7","43,7","28,9","36,6","0,3","0,7"
01/04/2014 11.00,"0,7","37,2","26,1",,"0,3","0,7"
01/04/2014 12.00,"0,7","33,6","23,5","29,8","0,3","0,6"
01/04/2014 13.00,"0,7","35,2","25,5",,"0,3","0,6"
01/04/2014 14.00,"0,7","31,9","23,8","23,9","0,3","0,6"
01/04/2014 15.00,"0,7","30,5","23,2",,"0,3","0,5"
01/04/2014 16.00,"0,7","27,7","21,5","21,0","0,3","0,5"
01/04/2014 17.00,"1,2","29,1","25,1",,"0,2","0,5"
01/04/2014 18.00,"0,9","36,7","32,5","25,2","0,2","0,6"
01/04/2014 19.00,"0,7","59,9","55,6",,"0,3","0,7"
01/04/2014 20.00,"0,7","28,5","27,0","39,1","0,3","0,6"
01/04/2014 21.00,"0,7","26,5","25,7",,"0,3","0,7"
01/04/2014 22.00,"0,7","15,0","13,8","43,5","0,2","0,7"
01/04/2014 23.00,"0,7","9,6","8,8",,"0,2","0,7"
02/04/2014 0.00,"0,7","11,3","10,5","31,7","0,2","0,5"
02/04/2014 1.00,,"15,0","14,0",,"0,2","0,5"
02/04/2014 2.00,"3,4",,,"37,1","0,2","0,4"
02/04/2014 3.00,"0,6","10,6","10,1",,,"0,4"
02/04/2014 4.00,"0,7","8,9","7,5","41,8","0,2","0,4"
02/04/2014 5.00,"0,8","42,5","21,5",,"0,2","0,4"
02/04/2014 6.00,"0,6","24,9","18,3","58,6","0,2","0,5"
02/04/2014 7.00,"0,8","51,9","23,6",,"0,2","0,5"
02/04/2014 8.00,"2,7","181,5","63,7","84,2","0,3","0,6"
02/04/2014 9.00,"0,7","55,8","35,4",,"0,3","0,7"
02/04/2014 10.00,"0,3","35,0","22,7","60,3","0,2","0,6"
02/04/2014 11.00,"0,5","23,5","16,8",,"0,2","0,6"
02/04/2014 12.00,"0,7","23,4","16,9","35,4","0,2","0,5"
02/04/2014 13.00,"1,2","34,3","24,5",,"0,3","0,5"
02/04/2014 14.00,"4,4","37,4","27,3","23,2","0,4","0,5"
02/04/2014 15.00,"3,3","32,0","23,7",,"0,3","0,4"
02/04/2014 16.00,"1,6","28,3","21,9","25,2","0,3","0,5"
02/04/2014 17.00,"0,7","33,1","26,6",,"0,3","0,4"
02/04/2014 18.00,"0,9","35,0","29,5","24,4","0,3","0,5"
02/04/2014 19.00,"0,6","49,8","44,8",,"0,2","0,4"
02/04/2014 20.00,"0,5","17,9","16,6","37,4","0,2","0,6"
02/04/2014 21.00,"0,7","9,9","9,4",,"0,2","0,5"
02/04/2014 22.00,"0,5","10,6","9,9","27,6","0,2","0,5"
02/04/2014 23.00,"0,6","11,0","10,4",,"0,3","0,8"
03/04/2014 0.00,"0,5","8,2","7,4","33,7","0,2","0,7"
03/04/2014 1.00,"0,7","5,9","5,3",,"0,2","0,7"
03/04/2014 2.00,"0,4","6,1","5,1","27,6","0,2","0,6"
03/04/2014 3.00,"0,6","5,3","4,2",,"0,2","0,5"
03/04/2014 4.00,"0,6","8,8","6,7","26,1","0,2","0,5"
03/04/2014 5.00,"0,6","3,7","2,8",,"0,2","0,4"
03/04/2014 6.00,"0,6","5,7","5,2","20,0","0,2","0,4"
03/04/2014 7.00,"0,7","14,9","13,4",,"0,2","0,4"
03/04/2014 8.00,"0,7","23,1","20,1","25,4","0,3","0,4"
03/04/2014 9.00,"0,7","31,5","25,3",,"0,4","0,8"
03/04/2014 10.00,"0,7","27,9","21,3","22,0","0,3","0,8"
03/04/2014 11.00,"0,7","32,9","22,3",,"0,2","0,6"
03/04/2014 12.00,"0,7","25,1","18,1","21,0","0,2","0,7"
03/04/2014 13.00,"0,9","27,9","20,4",,"0,2","0,5"
03/04/2014 14.00,"0,6","25,3","19,8","18,1","0,2","0,4"
03/04/2014 15.00,"3,1","21,4","16,4",,"0,2","0,4"
03/04/2014 16.00,"2,1","16,2","12,3","11,2","0,2","0,4"
03/04/2014 17.00,"0,7","15,5","12,5",,"0,2","0,3"
03/04/2014 18.00,"0,8","16,5","14,1","19,8","0,2","0,3"
03/04/2014 19.00,"0,7","13,6","12,5",,"0,1","0,3"
03/04/2014 20.00,"0,7","11,5","10,5","22,5","0,2","0,4"
03/04/2014 21.00,"0,7","8,1","7,6",,"0,2","0,4"
03/04/2014 22.00,"0,9","23,3","22,6","21,7","0,4","0,6"
03/04/2014 23.00,"2,5","33,8","32,8",,"0,9","1,0"
04/04/2014 0.00,"2,9","24,8","24,2","31,3","0,5","1,0"
04/04/2014 1.00,,"36,8","35,6",,"0,7","1,3"
04/04/2014 2.00,"3,4",,,"28,6","0,8","0,8"
04/04/2014 3.00,"4,2","41,2","40,0",,,"1,8"
04/04/2014 4.00,"4,0","33,4","32,4","42,2","0,7","0,9"
04/04/2014 5.00,"3,7","26,4","25,6",,"0,8","1,8"
04/04/2014 6.00,"4,4","51,9","49,9","32,0","0,6","1,5"
04/04/2014 7.00,"4,5","38,0","36,0",,"0,6","1,3"
04/04/2014 8.00,"2,5","25,8","22,7","41,5","0,5","1,2"
04/04/2014 9.00,"1,3","18,5","16,2",,"0,4","0,6"
04/04/2014 10.00,"1,3","18,6","15,6","22,2","0,3","0,6"
04/04/2014 11.00,"1,1","20,1","16,5",,"0,2","0,6"
04/04/2014 12.00,"0,7","18,9","14,8","33,0","0,2","0,3"
04/04/2014 13.00,"1,1","18,8","14,1",,"0,2","0,3"
04/04/2014 14.00,"1,1","20,0","16,0","31,7","0,2","0,3"
04/04/2014 15.00,"0,7","20,3","16,9",,"0,2","0,3"
04/04/2014 16.00,"0,7","16,6","14,1","36,4","0,2","0,3"
04/04/2014 17.00,"0,7","12,7","10,8",,"0,2","0,4"
04/04/2014 18.00,"0,7","14,1","12,7","42,5","0,1","0,2"
04/04/2014 19.00,"0,7","20,3","17,6",,"0,1","0,3"
04/04/2014 20.00,"0,7","8,9","8,0","1,5","0,1","0,2"
04/04/2014 21.00,"0,7","22,8","20,6",,"0,3","0,3"
04/04/2014 22.00,"0,7","27,6","25,3","2,0","0,3","0,5"
04/04/2014 23.00,"0,7","12,2","11,8",,"0,3","0,5"
05/04/2014 0.00,"0,7","16,4","15,6","37,9","0,3","0,4"
05/04/2014 1.00,"0,7","13,6","13,0",,"0,2","0,4"
05/04/2014 2.00,"0,7","13,5","11,4","19,0","0,3","0,6"
05/04/2014 3.00,"0,7","6,6","6,1",,"0,2","0,6"
05/04/2014 4.00,"0,7","6,8","6,3","9,8","0,2","0,4"
05/04/2014 5.00,"0,7","6,6","6,0",,"0,2","0,4"
05/04/2014 6.00,"0,7","6,1","5,6","4,9","0,2","0,4"
05/04/2014 7.00,"0,7","14,7","10,9",,"0,2","0,4"
05/04/2014 8.00,"0,8","25,3","20,0","2,7","0,4","0,4"
05/04/2014 9.00,"1,2","43,7","35,0",,"2,4","0,6"
05/04/2014 10.00,"1,3","33,5","25,7","9,3","0,5","0,8"
05/04/2014 11.00,"1,3","15,4","12,4",,"0,4","0,8"
05/04/2014 12.00,"1,2","16,9","13,7","9,5","0,3","0,7"
05/04/2014 13.00,"0,9","13,7","11,1",,"0,2","0,5"
05/04/2014 14.00,"0,7","12,3","10,0","9,5","0,2","0,4"
05/04/2014 15.00,"1,2","20,6","18,1",,"0,4","0,6"
05/04/2014 16.00,"2,0","23,0","20,5","19,3","0,5","0,7"
05/04/2014 17.00,"1,3","9,2","8,2",,"0,5","0,6"
05/04/2014 18.00,"0,7","11,3","10,4","22,2","0,4","0,4"
05/04/2014 19.00,"0,7","18,1","16,9",,"0,5","0,5"
05/04/2014 20.00,"0,7","11,9","11,0","33,7","0,2","0,5"
05/04/2014 21.00,"0,7","24,5","21,0",,"0,2","0,5"
05/04/2014 22.00,"0,7","12,2","11,6","22,7","0,2","0,5"
05/04/2014 23.00,"0,7","3,9","3,3",,"0,1","0,3"
06/04/2014 0.00,"0,7","4,2","3,9","19,8","0,1","0,3"
06/04/2014 1.00,,"5,7","5,0",,"0,1","0,3"
06/04/2014 2.00,"0,7",,,"21,7","0,1","0,2"
06/04/2014 3.00,"0,8","2,8","2,1",,,"0,3"
06/04/2014 4.00,"0,7","2,6","2,3","12,2","0,2","0,3"
06/04/2014 5.00,"0,7","2,6","1,9",,"0,2","0,3"
06/04/2014 6.00,"0,7","3,8","3,1","11,0","0,2","0,3"
06/04/2014 7.00,"0,7","3,8","3,1",,"0,2","0,3"
06/04/2014 8.00,"0,7","6,5","5,6","20,5","0,2","0,4"
06/04/2014 9.00,"0,7","4,3","3,6",,"0,2","0,3"
06/04/2014 10.00,"0,7","5,0","4,2","11,0","0,2","0,3"
06/04/2014 11.00,"0,7","7,5","6,6",,"0,2","0,3"
06/04/2014 12.00,"0,7","6,9","6,1","12,9","0,2","0,3"
06/04/2014 13.00,"0,7","12,9","11,7",,"0,4","0,4"
06/04/2014 14.00,"0,7","8,3","7,2","7,1","0,2","0,4"
06/04/2014 15.00,"0,7","12,6","9,5",,"0,2","0,4"
06/04/2014 16.00,"0,7","21,7","16,3","12,9","0,2","0,5"
06/04/2014 17.00,"0,7","5,1","4,0",,"0,2","0,4"
06/04/2014 18.00,"0,7","2,8","2,4","11,7","0,2","0,4"
06/04/2014 19.00,"0,7","4,6","3,9",,"0,2","0,4"
06/04/2014 20.00,"0,7","3,7","3,1","14,7","0,2","0,4"
06/04/2014 21.00,"0,7","3,7","3,1",,"0,2","0,5"
06/04/2014 22.00,"0,7","6,5","6,0","16,8","0,2","0,4"
06/04/2014 23.00,"0,7","2,9","2,6",,"0,2","0,5"
07/04/2014 0.00,"0,7","3,6","3,1","17,1","0,2","0,5"
07/04/2014 1.00,"0,7","5,2","4,1",,"0,2","0,5"
07/04/2014 2.00,"0,7","13,7","11,3","19,0","0,2","0,5"
07/04/2014 3.00,"0,7","19,1","14,9",,"0,2","0,5"
07/04/2014 4.00,"0,7","24,1","17,6","20,5","0,2","0,5"
07/04/2014 5.00,"0,7","47,5","31,4",,"0,2","0,4"
07/04/2014 6.00,"1,1","83,5","42,3","20,0","0,2","0,5"
07/04/2014 7.00,"0,8","55,9","31,7",,"0,2","0,5"
07/04/2014 8.00,"0,7","39,0","27,8","27,1","0,2","0,5"
07/04/2014 9.00,"0,7","7,4","6,0",,"0,2","0,7"
07/04/2014 10.00,"0,6","7,6","5,9","24,9","0,2","0,7"
07/04/2014 11.00,"0,7","9,0","7,1",,"0,2","0,7"
07/04/2014 12.00,"0,7","6,8","5,3","24,4","0,2","0,7"
07/04/2014 13.00,"1,3","5,3","4,2",,"0,3","0,6"
07/04/2014 14.00,"1,3","4,8","3,9","5,4","0,4","0,5"
07/04/2014 15.00,"1,5","5,4","4,1",,"0,4","0,4"
07/04/2014 16.00,"1,8","5,5","4,4","8,5","0,4","0,4"
07/04/2014 17.00,"1,3","5,3","4,4",,"0,4","0,4"
07/04/2014 18.00,"1,4","6,2","5,2","10,0","0,4","0,5"
07/04/2014 19.00,"1,3","4,7","3,8",,"0,4","0,4"
07/04/2014 20.00,"1,3","4,4","3,7","20,5","0,4","0,5"
07/04/2014 21.00,"1,2","9,6","8,5",,"0,4","0,5"
07/04/2014 22.00,"0,4","16,8","15,4","23,0","0,4","0,5"
07/04/2014 23.00,"0,5","19,2","16,6",,"0,4","0,5"
08/04/2014 0.00,"0,6","13,9","12,3","36,6","0,4","0,6"
08/04/2014 1.00,,"12,6","11,1",,"0,4","0,5"
08/04/2014 2.00,,,,"30,0","0,3","0,4"
08/04/2014 3.00,,"11,7","10,5",,,"0,4"
08/04/2014 4.00,,"22,5","18,4","25,6","0,2","0,4"
08/04/2014 5.00,,"24,6","21,4",,"0,2","0,4"
08/04/2014 6.00,,"43,2","29,3","27,8","0,2","0,4"
