Stat,MARTINA FRANCA,,,,
Parm,NOX,NO2,CO,O3,PM10
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3
01/01/2014 1.00,"34,8","24,4","0,6","14,1",
01/01/2014 2.00,"48,2","30,7","0,6","22,6","24,9"
01/01/2014 3.00,"51,4","31,8","0,4","23,3",
01/01/2014 4.00,"38,4","25,1","0,4","28,8","50,3"
01/01/2014 5.00,"29,9","19,5","0,3","35,4",
01/01/2014 6.00,"22,4","16,0","0,3","43,3","36,6"
01/01/2014 7.00,"11,4","10,2","0,2","59,4",
01/01/2014 8.00,"9,9","8,2","0,2","60,2","19,5"
01/01/2014 9.00,"24,9","16,0","0,3","54,3",
01/01/2014 10.00,"9,7","8,1","0,2","59,7","20,0"
01/01/2014 11.00,"13,6","10,4","0,2","64,2",
01/01/2014 12.00,"16,5","12,2","0,2","66,0","11,2"
01/01/2014 13.00,"20,9","14,9","0,2","63,9",
01/01/2014 14.00,"13,9","10,7","0,2","65,2","6,8"
01/01/2014 15.00,"8,9","7,9","0,2","65,0",
01/01/2014 16.00,"9,9","8,9","0,3","55,5","9,8"
01/01/2014 17.00,"32,3","24,3","0,4","31,1",
01/01/2014 18.00,"65,3","37,9","0,6","9,2","5,9"
01/01/2014 19.00,"81,3","37,8","0,7","8,1",
01/01/2014 20.00,"57,3","33,5","0,6","12,6","18,6"
01/01/2014 21.00,"52,4","31,7","0,6","7,6",
01/01/2014 22.00,"39,7","26,9","0,6","10,7","27,8"
01/01/2014 23.00,"53,4","29,7","0,8","5,0",
02/01/2014 0.00,"34,0","23,2","0,5","9,4","29,8"
02/01/2014 1.00,"47,1","26,7","0,6","7,2",
02/01/2014 2.00,,,,,
02/01/2014 3.00,,,,,
02/01/2014 4.00,,,,,
02/01/2014 5.00,,,,,
02/01/2014 6.00,,,,,
02/01/2014 7.00,,,,,
02/01/2014 8.00,,,,,
02/01/2014 9.00,,,,,
02/01/2014 10.00,,,,,
02/01/2014 11.00,,,,,
02/01/2014 12.00,,,,,
02/01/2014 13.00,,,,,
02/01/2014 14.00,,,,,
02/01/2014 15.00,,,,,
02/01/2014 16.00,,,,,
02/01/2014 17.00,,,,,
02/01/2014 18.00,,,,,
02/01/2014 19.00,,,,,
02/01/2014 20.00,,,,,
02/01/2014 21.00,,,,,
02/01/2014 22.00,,,,,
02/01/2014 23.00,,,,,
03/01/2014 0.00,,,,,
03/01/2014 1.00,,,,,
03/01/2014 2.00,,,,,
03/01/2014 3.00,,,,,
03/01/2014 4.00,,,,,
03/01/2014 5.00,,,,,
03/01/2014 6.00,,,,,
03/01/2014 7.00,,,,,
03/01/2014 8.00,,,,,
03/01/2014 9.00,,,,,
03/01/2014 10.00,,,,,
03/01/2014 11.00,,,,,
03/01/2014 12.00,,,,,
03/01/2014 13.00,,,,,
03/01/2014 14.00,,,,,
03/01/2014 15.00,,,,,
03/01/2014 16.00,,,,,
03/01/2014 17.00,,,,,
03/01/2014 18.00,,,,,
03/01/2014 19.00,,,,,
03/01/2014 20.00,,,,,
03/01/2014 21.00,,,,,
03/01/2014 22.00,,,,,
03/01/2014 23.00,,,,,
04/01/2014 0.00,,,,,
04/01/2014 1.00,,,,,
04/01/2014 2.00,,,,,
04/01/2014 3.00,,,,,
04/01/2014 4.00,,,,,
04/01/2014 5.00,,,,,
04/01/2014 6.00,,,,,
04/01/2014 7.00,,,,,
04/01/2014 8.00,,,,,
04/01/2014 9.00,,,,,
04/01/2014 10.00,,,,,
04/01/2014 11.00,,,,,
04/01/2014 12.00,,,,,
04/01/2014 13.00,,,,,
04/01/2014 14.00,,,,,
04/01/2014 15.00,,,,,
04/01/2014 16.00,,,,,
04/01/2014 17.00,,,,,
04/01/2014 18.00,,,,,
04/01/2014 19.00,,,,,
04/01/2014 20.00,,,,,
04/01/2014 21.00,,,,,
04/01/2014 22.00,,,,,
04/01/2014 23.00,,,,,
05/01/2014 0.00,,,,,
05/01/2014 1.00,,,,,
05/01/2014 2.00,,,,,
05/01/2014 3.00,,,,,
05/01/2014 4.00,,,,,
05/01/2014 5.00,,,,,
05/01/2014 6.00,,,,,
05/01/2014 7.00,,,,,
05/01/2014 8.00,,,,,
05/01/2014 9.00,,,,,
05/01/2014 10.00,,,,,
05/01/2014 11.00,,,,,
05/01/2014 12.00,,,,,
05/01/2014 13.00,,,,,
05/01/2014 14.00,,,,,
05/01/2014 15.00,,,,,
05/01/2014 16.00,,,,,
05/01/2014 17.00,,,,,
05/01/2014 18.00,,,,,
05/01/2014 19.00,,,,,
05/01/2014 20.00,,,,,
05/01/2014 21.00,,,,,
05/01/2014 22.00,,,,,
05/01/2014 23.00,,,,,
06/01/2014 0.00,,,,,
06/01/2014 1.00,,,,,
06/01/2014 2.00,,,,,
06/01/2014 3.00,,,,,
06/01/2014 4.00,,,,,
06/01/2014 5.00,,,,,
06/01/2014 6.00,,,,,
06/01/2014 7.00,,,,,
06/01/2014 8.00,,,,,
06/01/2014 9.00,,,,,
06/01/2014 10.00,,,,,
06/01/2014 11.00,,,,,
06/01/2014 12.00,,,,,
06/01/2014 13.00,,,,,
06/01/2014 14.00,,,,,
06/01/2014 15.00,,,,,
06/01/2014 16.00,,,,,
06/01/2014 17.00,,,,,
06/01/2014 18.00,,,,,
06/01/2014 19.00,,,,,
06/01/2014 20.00,,,,,
06/01/2014 21.00,,,,,
06/01/2014 22.00,,,,,
06/01/2014 23.00,,,,,
07/01/2014 0.00,,,,,
07/01/2014 1.00,,,,,
07/01/2014 2.00,,,,,
07/01/2014 3.00,,,,,
07/01/2014 4.00,,,,,
07/01/2014 5.00,,,,,
07/01/2014 6.00,,,,,
07/01/2014 7.00,,,,,
07/01/2014 8.00,,,,,
07/01/2014 9.00,,,,,
07/01/2014 10.00,,,,,"32,2"
07/01/2014 11.00,"77,3","42,4","0,8","30,0",
07/01/2014 12.00,"71,7","40,3","0,8","35,0","32,2"
07/01/2014 13.00,"87,8","44,3","0,8","34,5",
07/01/2014 14.00,"75,6","39,2","0,8","40,6","17,1"
07/01/2014 15.00,"54,9","33,9","0,6","46,2",
07/01/2014 16.00,"98,6","48,9","1,0","30,4","18,1"
