"NetC","SIMAGE Brindisi","","","","","","","","","","","","","","","","","",""
"Stat","Torchiarolo","","","","","","","","","","","","","","","","","",""
,SO2,NOX,NO2,CO,PM10,O3,BENZENE
,,,,,,,,
,,,,,,,,,
,,,,,,,,
,,,,,,,,,,
,,,,,,,,
01/01/2011 1.00,"4,4","51,9","23,6","0,9","52,3","4,1","2,3"
01/01/2011 2.00,"2,6","46,8","22,7","0,8","52,3","5,9","1,9"
01/01/2011 3.00,"2,7","40,2","22,9","0,7","52,3","7,9","2,1"
01/01/2011 4.00,"1,5","35,9","22,3","0,7","52,3","5,5","1,4"
01/01/2011 5.00,"0,8","29,6","17,8","0,7","52,3","5,2","1,3"
01/01/2011 6.00,"0,3","28,2","16,8","0,6","52,3","9,1","1,3"
01/01/2011 7.00,"0,8","27,8","17,9","0,7","52,3","7,1",1
01/01/2011 8.00,"2,1","41,4","23,5","0,9","52,3",5,"1,9"
01/01/2011 9.00,"6,9","45,6",21,"1,1","52,3","11,6","2,9"
01/01/2011 10.00,"8,6","63,6",24,"1,4","52,3","8,3","4,8"
01/01/2011 11.00,"2,8","48,2","18,7","0,7","52,3","29,5","4,5"
01/01/2011 12.00,"0,1",9,"5,2","0,3","52,3","57,5","0,7"
01/01/2011 13.00,"0,1","10,8","6,7","0,4","52,3","64,1","0,6"
01/01/2011 14.00,"0,1","9,8","6,5","0,4","52,3","70,3","0,8"
01/01/2011 15.00,"0,2","7,4","4,9","0,4","52,3","68,4","0,7"
01/01/2011 16.00,"0,2","11,7",8,"0,4","52,3","64,5","0,7"
01/01/2011 17.00,"0,1","19,3","13,3","0,5","52,3","52,4","0,6"
01/01/2011 18.00,"0,5","35,4","23,7","0,6","52,3","35,9","1,1"
01/01/2011 19.00,"0,3","28,6","19,8","0,6","52,3",35,"1,4"
01/01/2011 20.00,"1,1","50,8","31,5","0,9","52,3","20,6","1,5"
01/01/2011 21.00,2,"57,9","36,8",1,"52,3","12,1","2,1"
01/01/2011 22.00,"3,1","59,5","37,5","1,1","52,3","11,6","2,6"
01/01/2011 23.00,"1,7","74,9","48,4","0,9","52,3","7,2","1,8"
02/01/2011 0.00,"1,5","61,9","42,7","0,8","52,3","9,9","1,6"
02/01/2011 1.00,,"45,1",33,"0,8","18,9","11,5","1,6"
02/01/2011 2.00,"0,5",,,"0,6","18,9","13,8","1,4"
02/01/2011 3.00,"0,2","29,7","21,2",,"18,9","21,2","0,9"
02/01/2011 4.00,"0,1","19,3","11,8","0,3","18,9",,"0,7"
02/01/2011 5.00,"0,1","15,2","8,3","0,2","18,9","69,4","0,4"
02/01/2011 6.00,"0,1","15,6","9,6","0,2","18,9","73,2",
02/01/2011 7.00,"0,1","9,3","5,9","0,3","18,9",77,
02/01/2011 8.00,"0,1","13,4","9,8","0,3","18,9","72,5","0,6"
02/01/2011 9.00,"0,1","10,9","7,9","0,3","18,9","78,2","0,6"
02/01/2011 10.00,"0,1","11,2","8,3","0,3","18,9","76,7","0,8"
02/01/2011 11.00,"0,2","11,6","8,3","0,3","18,9","83,7","1,2"
02/01/2011 12.00,"0,2","10,5","7,4","0,3","18,9","81,8","0,8"
02/01/2011 13.00,"0,2",14,"9,6","0,4","18,9",76,1
02/01/2011 14.00,"0,1","12,5","8,8","0,3","18,9","75,8",1
02/01/2011 15.00,"0,1","10,3","7,3","0,3","18,9","77,4","1,1"
02/01/2011 16.00,"0,1","11,2","8,4","0,4","18,9","75,3","1,1"
02/01/2011 17.00,"0,1","13,3","9,7","0,3","18,9","76,9","1,1"
02/01/2011 18.00,"0,1","10,4","7,3","0,3","18,9","82,3","0,9"
02/01/2011 19.00,"0,1","12,1","8,9","0,3","18,9","78,5",1
02/01/2011 20.00,"0,1","14,7","10,8","0,4","18,9","72,6","1,1"
02/01/2011 21.00,"0,2",19,"14,3","0,5","18,9","67,7","1,3"
02/01/2011 22.00,"0,5","19,1","14,3","0,4","18,9","71,1","1,6"
02/01/2011 23.00,"2,1",14,"10,4","0,4","18,9","74,5","1,3"
03/01/2011 0.00,"2,4","18,3","14,8","0,4","18,9","58,7",1
03/01/2011 1.00,"2,4","15,3","12,3","0,3","27,9","57,3","0,8"
03/01/2011 2.00,2,12,"9,8","0,3","27,9","59,2","0,7"
03/01/2011 3.00,"1,8",10,"8,2","0,3","27,9","59,3","0,7"
03/01/2011 4.00,"1,7","10,3","8,4","0,3","27,9","59,4","0,7"
03/01/2011 5.00,"2,4","8,8","7,1","0,3","27,9","65,8","0,6"
03/01/2011 6.00,"2,5","9,5","7,7","0,3","27,9","60,5","0,7"
03/01/2011 7.00,"2,3","16,7","13,4","0,4","27,9",46,"0,8"
03/01/2011 8.00,"3,2","26,6","21,8","0,4","27,9","32,7","0,9"
03/01/2011 9.00,"3,1","25,8",18,"0,4","27,9","41,2","1,2"
03/01/2011 10.00,3,"25,7","18,3","0,4","27,9","42,6","1,1"
03/01/2011 11.00,"3,6","21,1","15,7","0,5","27,9","47,7","1,8"
03/01/2011 12.00,"3,8","27,1","18,3","0,4","27,9","50,9","1,8"
03/01/2011 13.00,"3,9","32,5","22,4","0,5","27,9","46,3","2,3"
03/01/2011 14.00,"4,6",28,"20,4","0,6","27,9","53,5","2,4"
03/01/2011 15.00,"3,9","15,1","10,5","0,5","27,9","61,1","1,9"
03/01/2011 16.00,"3,7","18,7","12,6","0,5","27,9","60,8",2
03/01/2011 17.00,4,"17,9",13,"0,5","27,9","67,5","1,5"
03/01/2011 18.00,"3,3","26,3","17,2","0,5","27,9","70,6","1,8"
03/01/2011 19.00,3,"17,1","12,2","0,5","27,9","74,3","1,9"
03/01/2011 20.00,"3,2","19,2","14,2","0,5","27,9","71,6","1,5"
03/01/2011 21.00,"2,9","20,6","15,4","0,4","27,9","69,1","1,7"
03/01/2011 22.00,"2,4","16,4","12,4","0,4","27,9","72,4","1,2"
03/01/2011 23.00,"1,9","12,5","9,9","0,3","27,9",75,"0,9"
04/01/2011 0.00,"1,8","7,1","5,4","0,3","27,9","80,8","0,6"
04/01/2011 1.00,,7,"5,8","0,2","76,3","77,5","0,5"
04/01/2011 2.00,"0,1",,,"0,2","76,3","73,6","0,5"
04/01/2011 3.00,"0,1",16,15,,"76,3",71,"0,5"
04/01/2011 4.00,0,15,"13,4","0,3","76,3",,"0,5"
04/01/2011 5.00,"0,1","13,5",12,"0,3","76,3","59,4","0,5"
04/01/2011 6.00,"0,1","18,9","16,5","0,6","76,3","50,5","0,5"
04/01/2011 7.00,"1,2","31,4",26,"0,6","76,3","42,9","1,9"
04/01/2011 8.00,"2,8","54,9","44,7","0,7","76,3","29,6","2,7"
04/01/2011 9.00,"3,2","66,4","44,9","0,7","76,3","23,7",4
04/01/2011 10.00,"2,2","45,6","33,3","0,7","76,3","32,1","3,2"
04/01/2011 11.00,"3,3",37,"24,9","0,6","76,3",47,"3,9"
04/01/2011 12.00,2,"22,2","14,6","0,5","76,3","64,6","2,7"
04/01/2011 13.00,"1,6","18,2","13,4","0,5","76,3","71,4","1,7"
04/01/2011 14.00,"2,1","23,8","17,2","0,5","76,3","73,9","2,1"
04/01/2011 15.00,"2,4","23,3","16,6","0,6","76,3",70,"2,5"
04/01/2011 16.00,"2,6","23,7","17,3","0,7","76,3","62,3","2,2"
04/01/2011 17.00,4,"40,9","29,9",1,"76,3","45,7","3,7"
04/01/2011 18.00,"10,9","117,6","64,2","1,9","76,3","28,4","7,4"
04/01/2011 19.00,"18,1","144,5","69,2","2,7","76,3","28,1","12,3"
04/01/2011 20.00,"19,9","120,5","53,7","2,7","76,3","13,3","18,9"
04/01/2011 21.00,"15,5","108,6","50,3","2,3","76,3","6,8",15
04/01/2011 22.00,"14,5",116,"52,3","2,3","76,3","5,2","12,1"
04/01/2011 23.00,"9,3","96,2","44,6","2,2","76,3","2,6","11,7"
05/01/2011 0.00,"8,5","79,4","36,5","1,9","76,3",,"9,4"
05/01/2011 1.00,"4,9","65,4",33,"1,8","76,5",,"6,8"
05/01/2011 2.00,"1,9","48,4","23,4","1,4","76,5",,5
05/01/2011 3.00,"0,7","42,9","21,3","1,1","76,5",,"4,8"
05/01/2011 4.00,"0,1",28,"13,4","0,8","76,5",,"3,5"
05/01/2011 5.00,"0,1","34,4","20,3","0,9","76,5",,"2,6"
05/01/2011 6.00,"0,4","39,8","24,9","1,2","76,5","1,7","3,6"
05/01/2011 7.00,"2,7","78,6","34,9","1,7","76,5","1,4","3,5"
05/01/2011 8.00,"1,9","116,9","48,6","1,3","76,5",2,"5,3"
05/01/2011 9.00,4,"187,3","63,6","1,5","76,5","5,2","4,9"
05/01/2011 10.00,"5,9","266,2","82,2","1,3","76,5","5,3","7,4"
05/01/2011 11.00,"0,1","49,3","28,6","0,6","76,5","30,8","3,1"
05/01/2011 12.00,0,"50,2","29,6","0,5","76,5","35,5","1,8"
05/01/2011 13.00,"0,1","40,7","25,7","0,6","76,5","43,4","2,5"
05/01/2011 14.00,"0,1","43,1","29,3","0,7","76,5",47,"3,2"
05/01/2011 15.00,"0,3","25,8","17,7","0,6","76,5","60,3","2,7"
05/01/2011 16.00,"0,7","21,9","14,6","0,7","76,5","60,1","2,7"
05/01/2011 17.00,"2,9","28,6","19,3","0,8","76,5","48,1","3,5"
05/01/2011 18.00,"0,9","41,2","27,6","0,9","76,5","42,7","3,6"
05/01/2011 19.00,"1,4","67,5","41,9","1,2","76,5","25,6","4,8"
05/01/2011 20.00,"2,6","79,5","47,8","1,3","76,5","15,5","5,3"
05/01/2011 21.00,"4,3","112,6","60,5","1,5","76,5","7,2","6,9"
05/01/2011 22.00,"4,5","105,7","57,8","1,5","76,5","6,4","6,9"
05/01/2011 23.00,4,"86,6","53,6","1,3","76,5","4,6","6,3"
06/01/2011 0.00,2,"58,7","35,1","0,8","76,5","12,7","4,3"
06/01/2011 1.00,,"38,4","24,4","0,6","93,2","21,4","2,3"
06/01/2011 2.00,"0,4",,,"0,7","93,2","19,6","1,7"
06/01/2011 3.00,"0,2","23,4","17,3",,"93,2","28,4","1,4"
06/01/2011 4.00,"0,2","14,4","9,7","0,3","93,2",,"0,8"
06/01/2011 5.00,"0,2","15,3","10,7","0,3","93,2","17,7","0,8"
06/01/2011 6.00,"0,2","23,4","18,5","0,5","93,2","12,3",
06/01/2011 7.00,"0,9","35,4","25,5","0,7","93,2","9,4",
06/01/2011 8.00,"2,5","43,3","30,2","0,9","93,2","9,4","3,2"
06/01/2011 9.00,"10,4","62,2",30,"1,2","93,2","10,8","6,5"
06/01/2011 10.00,9,"63,2","22,7","1,3","93,2",13,"7,5"
06/01/2011 11.00,"3,6","39,2","15,9","0,6","93,2","16,1",8
06/01/2011 12.00,"0,4","15,4","8,6","0,4","93,2","26,3","1,9"
06/01/2011 13.00,"0,2","16,8",11,"0,4","93,2","48,2","1,3"
06/01/2011 14.00,"0,3","13,3","9,4","0,3","93,2","62,1","1,3"
06/01/2011 15.00,"0,3","12,4","9,5","0,3","93,2","64,1","1,1"
06/01/2011 16.00,"0,2","12,7","9,6","0,3","93,2","68,4",1
06/01/2011 17.00,"0,4","22,2","15,6","0,5","93,2","44,4",1
06/01/2011 18.00,"3,5","46,6","32,1","1,3","93,2","25,6","3,7"
06/01/2011 19.00,"7,8","90,5","43,3","1,6","93,2","8,9","7,8"
06/01/2011 20.00,"28,9","231,6","58,1",4,"93,2","21,9","14,7"
06/01/2011 21.00,"20,8","134,8","46,4","2,6","93,2","5,3","20,1"
06/01/2011 22.00,"17,7","139,2","46,2","2,8","93,2","6,3","13,4"
06/01/2011 23.00,"8,9","110,9","42,6","2,2","93,2","3,1","11,2"
07/01/2011 0.00,"5,5","79,6",34,"1,5","93,2","2,3",9
07/01/2011 1.00,"0,8","51,2","24,6","0,9","77,6","2,9","4,8"
07/01/2011 2.00,"0,2","47,1","24,3","0,6","77,6","4,2","2,7"
07/01/2011 3.00,"0,1","36,2","19,4","0,5","77,6","5,3","2,3"
07/01/2011 4.00,"0,2","27,6","13,4","0,4","77,6","8,5","1,6"
07/01/2011 5.00,"0,2","23,6","11,6","0,3","77,6","9,6","1,4"
07/01/2011 6.00,"0,1","22,7","13,2","0,3","77,6","8,3","1,2"
07/01/2011 7.00,"0,2","52,4","30,9","0,7","77,6","5,1","1,4"
07/01/2011 8.00,"0,2","122,8",52,"0,9","77,6",2,"2,8"
07/01/2011 9.00,"0,2","140,7","53,6","0,8","77,6","2,3","3,2"
07/01/2011 10.00,"0,2","137,9","54,1","0,8","77,6","3,6",4
07/01/2011 11.00,"0,2","71,4",38,"0,5","77,6","25,3","3,2"
07/01/2011 12.00,"0,2","33,8",21,"0,5","77,6","45,2",2
07/01/2011 13.00,"0,2","37,3","23,7","0,7","77,6","46,4","2,8"
07/01/2011 14.00,"0,2","27,7","17,4","0,6","77,6","51,7","4,2"
07/01/2011 15.00,"0,2","29,8","18,6","0,6","77,6","51,9","3,6"
07/01/2011 16.00,"0,2","34,4","22,8","0,7","77,6","49,6","4,2"
07/01/2011 17.00,"0,1","50,9","35,6","1,2","77,6","32,5","4,2"
07/01/2011 18.00,"0,2","106,8","57,5","2,2","77,6",7,"10,8"
07/01/2011 19.00,"0,2","137,7","58,9","2,4","77,6","5,7",14
07/01/2011 20.00,"0,1","155,7","57,2",2,"77,6",5,"11,4"
07/01/2011 21.00,"0,2","118,9","53,2","1,5","77,6","4,2","9,5"
07/01/2011 22.00,"0,1",114,"50,1","1,4","77,6","3,7","6,8"
07/01/2011 23.00,"0,7","93,4","47,2","1,2","77,6","3,4",6
08/01/2011 0.00,"0,9",82,42,"1,2","77,6",3,"5,2"
08/01/2011 1.00,,"57,3","32,3","0,9","77,9","2,9","4,5"
08/01/2011 2.00,"0,1",,,"0,7","77,9","3,7","3,1"
08/01/2011 3.00,"0,1","41,3","28,4",,"77,9","5,1","2,3"
08/01/2011 4.00,0,"32,2","21,8","0,6","77,9",,"2,2"
08/01/2011 5.00,"0,1","23,5","14,8","0,4","77,9","9,9","1,9"
08/01/2011 6.00,0,"21,1","13,7","0,4","77,9","11,9","1,6"
08/01/2011 7.00,"0,1","52,1",31,"0,7","77,9","6,7","2,7"
08/01/2011 8.00,1,"118,9","50,4","1,2","77,9","3,1","2,9"
08/01/2011 9.00,"1,2","108,6","51,2","0,7","77,9","2,2","5,6"
08/01/2011 10.00,"1,3","127,8","49,9","0,7","77,9","5,1","3,8"
08/01/2011 11.00,"0,6","103,9",49,"0,4","77,9","14,4","3,1"
08/01/2011 12.00,"0,3","56,8","31,4","0,6","77,9","29,1","2,5"
08/01/2011 13.00,"0,3","43,8","27,1","0,7","77,9",38,"4,3"
08/01/2011 14.00,"0,2","37,7","24,4","0,6","77,9","44,5","4,1"
08/01/2011 15.00,"0,1","28,9","19,4","0,6","77,9",50,"3,5"
08/01/2011 16.00,"0,2","33,8","23,4","0,8","77,9","47,5","3,4"
08/01/2011 17.00,"0,6","53,6","37,6","1,1","77,9","28,3","5,7"
08/01/2011 18.00,"0,9","70,9",46,"1,5","77,9","15,3","8,3"
08/01/2011 19.00,"0,9","69,2","43,6","1,5","77,9","13,6","9,1"
08/01/2011 20.00,"0,5","65,9","38,2","1,3","77,9","8,6","7,3"
08/01/2011 21.00,"1,2","96,9","40,7","1,6","77,9","5,4","8,5"
08/01/2011 22.00,1,"100,3","40,3","1,5","77,9","5,5","6,9"
08/01/2011 23.00,"2,6","92,5","40,5","1,5","77,9","4,7","7,6"
09/01/2011 0.00,"1,7","68,1","34,6","1,1","77,9","3,4","5,8"
09/01/2011 1.00,"1,6","81,7",34,"1,1","92,2","2,9","5,1"
09/01/2011 2.00,"1,3","50,2","27,4","1,1","92,2",3,"4,1"
09/01/2011 3.00,"0,6","43,3","25,8","0,8","92,2","2,3","3,7"
09/01/2011 4.00,"0,7",41,"21,2","0,8","92,2","2,6","3,3"
09/01/2011 5.00,"0,5","29,4",18,"0,6","92,2","2,9",3
09/01/2011 6.00,"0,2","27,5","16,4","0,4","92,2","3,8","2,1"
09/01/2011 7.00,"0,4","39,2",19,"0,6","92,2","3,6","2,3"
09/01/2011 8.00,"0,8","54,6","25,4","0,8","92,2","4,4","3,1"
09/01/2011 9.00,"1,2","55,6","22,4","0,8","92,2","4,1","4,5"
09/01/2011 10.00,"1,5","55,7","22,5","0,8","92,2","4,7","3,8"
09/01/2011 11.00,"1,5","76,5","31,1","0,7","92,2","4,5","6,4"
09/01/2011 12.00,"1,2","74,6","35,8","0,9","92,2","15,4",6
09/01/2011 13.00,"1,3","53,2","28,1","0,7","92,2","29,2","7,7"
09/01/2011 14.00,1,"35,1","21,5","0,7","92,2",35,"4,5"
09/01/2011 15.00,1,"26,7","16,6","0,7","92,2","42,5","4,3"
09/01/2011 16.00,"1,1","33,2","21,8","0,8","92,2","36,2","4,7"
09/01/2011 17.00,"1,6","43,6","29,5","1,3","92,2","24,1","6,7"
09/01/2011 18.00,"2,9","69,3","40,7","1,8","92,2","13,1","10,6"
09/01/2011 19.00,"2,8","89,1","44,1","1,7","92,2","10,9","11,5"
09/01/2011 20.00,"2,5","63,4","32,6","1,2","92,2","12,2","9,6"
09/01/2011 21.00,"2,3","77,8","40,9","1,6","92,2","8,6","6,6"
09/01/2011 22.00,"1,9","70,3","37,5","1,1","92,2","6,5","6,9"
09/01/2011 23.00,"0,6",56,"30,7","0,9","92,2","6,1","5,1"
10/01/2011 0.00,"0,5","53,2","28,1","0,8","92,2","4,6","3,8"
10/01/2011 1.00,,"33,5","17,4","0,5","56,4","8,5","3,3"
10/01/2011 2.00,"0,3",,,"0,3","56,4","11,3","1,8"
10/01/2011 3.00,"0,3","28,2",18,,"56,4",12,"1,1"
10/01/2011 4.00,"0,4","23,2","13,9","0,4","56,4",,"0,9"
10/01/2011 5.00,"0,4","19,3",11,"0,4","56,4","12,6","0,8"
10/01/2011 6.00,"0,5","23,3","14,2","0,5","56,4","11,5","0,7"
10/01/2011 7.00,"0,3","42,1","26,2","0,6","56,4","5,8","1,8"
10/01/2011 8.00,"1,8","89,9","41,7","1,2","56,4","3,6","5,2"
10/01/2011 9.00,1,"111,3","40,8","0,8","56,4","1,8","2,7"
10/01/2011 10.00,"1,8",132,"47,5","1,2","56,4","2,2","3,8"
10/01/2011 11.00,"1,3","102,2","47,6","0,8","56,4","5,1","4,3"
10/01/2011 12.00,"1,2",85,"46,3","0,7","56,4",16,"2,8"
10/01/2011 13.00,"0,9","73,8","43,7","0,9","56,4","20,5","2,9"
10/01/2011 14.00,"1,1","52,8",32,"0,9","56,4","30,3","5,5"
10/01/2011 15.00,"0,6","38,6","23,6","0,7","56,4","38,8","3,8"
10/01/2011 16.00,"0,9","38,1","24,8","0,7","56,4","40,2","2,7"
10/01/2011 17.00,1,"65,1","39,9",1,"56,4","21,9","3,3"
10/01/2011 18.00,"1,2","65,5","40,1","0,9","56,4","20,8","5,1"
10/01/2011 19.00,"0,9","61,2",38,1,"56,4","17,5",4
10/01/2011 20.00,"0,6","61,7","36,5","1,1","56,4","13,5","4,4"
10/01/2011 21.00,"1,2","65,1","37,8","1,1","56,4","11,2","4,2"
10/01/2011 22.00,"1,5","54,5","31,9","0,9","56,4",15,5
10/01/2011 23.00,"1,1","32,9","19,7","0,5","56,4",31,"2,3"
11/01/2011 0.00,"0,9",22,"14,3","0,5","56,4","28,5","1,5"
11/01/2011 1.00,1,"14,5","9,5","0,4","69,6","34,2","1,1"
11/01/2011 2.00,"0,7","11,4","7,6","0,3","69,6","35,9","0,7"
11/01/2011 3.00,"0,7","10,6","7,5","0,3","69,6","32,7","0,6"
11/01/2011 4.00,"0,5","9,6","6,9","0,3","69,6","23,7","0,5"
11/01/2011 5.00,"0,5","11,3","8,3","0,3","69,6","24,6","0,4"
11/01/2011 6.00,"0,6","14,3","10,3","0,3","69,6","21,8","0,5"
11/01/2011 7.00,"0,9","32,7",20,"0,6","69,6","12,1","1,1"
11/01/2011 8.00,2,"106,8","39,4","0,7","69,6","2,3","2,2"
11/01/2011 9.00,"1,7","63,6","37,3","0,6","69,6","14,5","2,4"
11/01/2011 10.00,"1,4","61,7","33,2","0,6","69,6","16,2","1,9"
11/01/2011 11.00,"1,1","54,8","28,3","0,4","69,6","22,9",2
11/01/2011 12.00,"0,9","31,7","18,8","0,6","69,6","45,3","2,1"
11/01/2011 13.00,"0,6","26,8","16,9","0,7","69,6","52,2","2,9"
11/01/2011 14.00,1,"23,9","15,6","0,5","69,6","52,3","2,9"
11/01/2011 15.00,"0,9","21,1","13,9","0,5","69,6","50,4","2,7"
11/01/2011 16.00,1,"27,1","18,9","0,6","69,6","50,6","2,3"
11/01/2011 17.00,"1,5","44,8","31,8","1,3","69,6","35,8",4
11/01/2011 18.00,"2,6","62,7","40,9","1,9","69,6","16,5",9
11/01/2011 19.00,"2,7","71,9",40,"1,8","69,6","12,9",11
11/01/2011 20.00,"3,1","81,2","40,6","2,2","69,6",12,"8,8"
11/01/2011 21.00,"3,5","79,7",35,"2,2","69,6","9,5","11,9"
11/01/2011 22.00,"3,1","63,1","26,4","1,9","69,6","6,5","10,5"
11/01/2011 23.00,"1,6","77,3","29,6","2,1","69,6","7,7","9,3"
12/01/2011 0.00,"0,6",40,"18,2","1,4","69,6","5,9","6,8"
12/01/2011 1.00,,"32,7","15,6","0,9",46,"3,3",4
12/01/2011 2.00,"0,3",,,"0,8",46,"2,7",3
12/01/2011 3.00,"0,2","34,9","22,6",,46,"2,6",3
12/01/2011 4.00,"0,2","26,4","15,8","0,7",46,,"2,6"
12/01/2011 5.00,"0,3","26,5",16,"0,6",46,"2,5","2,7"
12/01/2011 6.00,"0,2","29,8","19,5","0,4",46,"3,7","2,1"
12/01/2011 7.00,"0,3","55,6","34,3","0,6",46,"4,9","2,3"
12/01/2011 8.00,"0,5","93,2","43,2","1,2",46,4,"3,8"
12/01/2011 9.00,"1,1","185,1","63,5","0,9",46,"5,1",6
12/01/2011 10.00,"0,3","69,5","40,1","0,5",46,"20,9","2,5"
12/01/2011 11.00,"0,2","44,3","28,9","0,4",46,"34,6","1,9"
12/01/2011 12.00,"0,2","39,5","26,5","0,3",46,"41,3","1,4"
12/01/2011 13.00,"0,6","21,3",15,"0,3",46,"42,8",1
12/01/2011 14.00,"0,3","30,9","22,2","0,3",46,"52,7","1,3"
12/01/2011 15.00,"0,2",24,"17,2","0,3",46,"60,5","1,2"
12/01/2011 16.00,"0,2","22,3","16,6","0,7",46,"59,5","1,7"
12/01/2011 17.00,,,,,46,,"2,3"
12/01/2011 18.00,"0,4",52,"39,8","0,7",46,22,4
12/01/2011 19.00,"0,3","49,2","36,9","0,6",46,"22,8","4,2"
12/01/2011 20.00,"0,3","46,7","34,1","0,6",46,"14,5","3,5"
12/01/2011 21.00,"0,4","44,6","31,6","0,5",46,"16,3","2,6"
12/01/2011 22.00,"0,3","37,4","26,2","0,5",46,"18,5","2,9"
12/01/2011 23.00,"0,6",28,"20,3","0,4",46,"25,4","2,1"
13/01/2011 0.00,"0,4","19,9","14,9","0,3",46,"33,3","1,3"
13/01/2011 1.00,"0,5","21,2","16,8","0,2","59,5","31,8",1
13/01/2011 2.00,"0,3","17,8",14,"0,3","59,5",30,"0,9"
13/01/2011 3.00,"0,6","16,3",13,"0,3","59,5","30,4","0,9"
13/01/2011 4.00,"0,4","14,2",11,"0,2","59,5","32,5","0,9"
13/01/2011 5.00,"0,4","14,7","11,6","0,2","59,5",29,"0,8"
13/01/2011 6.00,"0,5","16,1","12,7","0,2","59,5","27,4","0,9"
13/01/2011 7.00,"0,7","19,9","15,4","0,3","59,5","24,4",1
13/01/2011 8.00,"0,5","27,6","20,3","0,3","59,5","20,3","1,2"
13/01/2011 9.00,"0,7","33,2","21,9","0,3","59,5","23,5","1,3"
13/01/2011 10.00,"0,7",32,"19,1","0,3","59,5","30,3","1,3"
13/01/2011 11.00,"0,7","25,2","15,9","0,3","59,5","39,3","1,5"
13/01/2011 12.00,"0,6","23,1","15,3","0,3","59,5","44,8","1,5"
13/01/2011 13.00,"0,6","27,3","18,7","0,4","59,5","48,7","1,8"
13/01/2011 14.00,"0,5","23,9","16,8","0,4","59,5",54,"2,1"
13/01/2011 15.00,"0,5","21,6","16,3","0,4","59,5","54,9","1,9"
13/01/2011 16.00,"0,7","25,2","18,5","0,4","59,5","51,8","2,1"
13/01/2011 17.00,"0,9","30,8","23,6","0,6","59,5","41,5","2,4"
13/01/2011 18.00,1,"44,5","34,4","0,6","59,5","24,6","3,1"
13/01/2011 19.00,"0,8","40,3","29,9","0,7","59,5","24,1","3,4"
13/01/2011 20.00,"1,2","43,7","31,4","1,2","59,5","16,7","3,9"
13/01/2011 21.00,"1,6","65,8","41,1","1,9","59,5","12,2","9,6"
13/01/2011 22.00,"2,2","62,1","37,1","1,6","59,5","9,5","9,5"
13/01/2011 23.00,"3,1",56,"36,2","1,6","59,5","7,1","7,3"
14/01/2011 0.00,"2,8","41,8","28,3","1,3","59,5",5,"7,1"
14/01/2011 1.00,,"31,4","21,1","1,1",74,"4,8","4,8"
14/01/2011 2.00,"0,2",,,"0,8",74,"7,8","3,4"
14/01/2011 3.00,"0,4","37,4","28,5",,74,"9,5","3,8"
14/01/2011 4.00,"0,2","28,5","21,4","0,7",74,,"2,3"
14/01/2011 5.00,"0,1","30,9","23,3","0,7",74,9,"1,9"
14/01/2011 6.00,"0,1","36,6","28,4","0,6",74,"7,7","1,8"
14/01/2011 7.00,"0,2",58,"39,5","0,7",74,"6,3","2,3"
14/01/2011 8.00,"0,1","43,6","32,4","0,7",74,"12,2","2,2"
14/01/2011 9.00,"0,2",66,40,"0,5",74,"16,3","2,5"
14/01/2011 10.00,"0,3","50,6","30,3","0,4",74,"32,8","2,2"
14/01/2011 11.00,"0,2","32,1","21,2","0,5",74,"41,5","2,3"
14/01/2011 12.00,"0,2","26,9","18,4","0,4",74,"53,4","1,8"
14/01/2011 13.00,"0,1","34,5","24,3","0,4",74,"52,8","1,7"
14/01/2011 14.00,"0,3","35,9","25,4","0,4",74,"53,8","1,6"
14/01/2011 15.00,"0,4","30,8","22,4","0,5",74,"57,8","1,7"
14/01/2011 16.00,"0,2",28,"21,8","0,5",74,"56,9","1,6"
14/01/2011 17.00,"0,1","22,4","17,6","0,6",74,"51,6",2
14/01/2011 18.00,"0,2","45,6","35,4","0,8",74,26,"3,2"
14/01/2011 19.00,"0,6","64,4","42,7","1,2",74,"10,2","5,2"
14/01/2011 20.00,1,"72,2","44,3","1,6",74,"7,6","6,7"
14/01/2011 21.00,1,"60,4","37,7","1,6",74,"7,8","6,4"
14/01/2011 22.00,"1,5",97,"53,1","1,7",74,"5,5","8,5"
14/01/2011 23.00,"2,1","73,7","37,5","1,8",74,"5,5","7,9"
15/01/2011 0.00,"1,3","55,7","32,3","1,8",74,"4,3","6,8"
15/01/2011 1.00,"1,2","43,8","27,4","1,5","78,6","4,3","6,4"
15/01/2011 2.00,"0,7","34,9","20,3","1,4","78,6","2,9","4,7"
15/01/2011 3.00,"0,7","46,5","27,6","1,4","78,6","2,1","7,1"
15/01/2011 4.00,"0,6","39,9","21,5","1,2","78,6","2,6","4,1"
15/01/2011 5.00,"0,8",42,"23,3","0,9","78,6","2,2","3,6"
15/01/2011 6.00,"0,4","48,1","28,1","0,8","78,6","1,9","2,6"
15/01/2011 7.00,"0,6","70,5","34,7",1,"78,6","2,8","3,2"
15/01/2011 8.00,"0,8","62,3","28,6","1,1","78,6","2,6","3,8"
15/01/2011 9.00,"2,3","98,3","33,3",2,"78,6","6,2","12,3"
15/01/2011 10.00,3,"123,5","40,4","1,6","78,6","2,6","16,6"
15/01/2011 11.00,2,"101,3","48,3","1,1","78,6","7,6","8,6"
15/01/2011 12.00,"1,3","54,3","32,1",1,"78,6","24,1","5,1"
15/01/2011 13.00,"1,2","33,8","21,7","0,9","78,6","51,4","5,5"
