"NetC","SIMAGE Brindisi","","","","","","","","","","","","","","","","",""
"Stat","Via Taranto","","","","","","","","","","","","","","","","",""
,SO2,NOX,NO2,CO,O3,BENZENE,PM10
,,,,,
,,,,,,
,,,,,,
,,,,,,,
,,,,,,,
01/01/2011 1.00,"2,7","141,9","51,8","1,3",,,"48,3"
01/01/2011 2.00,"7,5","361,7","85,8","2,1",,,"48,3"
01/01/2011 3.00,7,"314,2","85,9",2,,,"48,3"
01/01/2011 4.00,"7,4","357,4","86,5","2,1",,,"48,3"
01/01/2011 5.00,"1,1","88,3","49,3","1,1","14,8",,"48,3"
01/01/2011 6.00,"0,2","50,3","33,9","0,8","41,6",,"48,3"
01/01/2011 7.00,"0,2","26,2","20,9","0,7","38,4",,"48,3"
01/01/2011 8.00,"0,2",91,"54,3",1,"1,4",,"48,3"
01/01/2011 9.00,"0,2","98,4","47,6","1,1","2,6",,"48,3"
01/01/2011 10.00,"0,3","106,1","50,6","1,1","6,1",,"48,3"
01/01/2011 11.00,"0,2","29,1",20,"0,7","50,7",,"48,3"
01/01/2011 12.00,"0,2","22,6","16,1","0,7","54,5",,"48,3"
01/01/2011 13.00,"0,2","21,2","14,2","0,6","54,6",,"48,3"
01/01/2011 14.00,"3,4","20,6","13,7","0,6",54,,"48,3"
01/01/2011 15.00,"1,6","21,4","16,1","0,5","54,4",,"48,3"
01/01/2011 16.00,"0,5","11,4","9,4","0,4","58,6",,"48,3"
01/01/2011 17.00,"0,3","20,5","17,2","0,4","53,2",,"48,3"
01/01/2011 18.00,"0,3","54,7","40,5","0,5","32,7",,"48,3"
01/01/2011 19.00,"1,6","137,9","72,9","0,8","14,3",,"48,3"
01/01/2011 20.00,"1,6","155,6",73,"0,7","19,5",,"48,3"
01/01/2011 21.00,"2,2","178,4","79,5","0,9","13,4",,"48,3"
01/01/2011 22.00,"0,4",108,"69,2",1,"14,3",,"48,3"
01/01/2011 23.00,"1,6","174,2","83,2","1,2","5,7",,"48,3"
02/01/2011 0.00,"0,2","93,6","60,3","0,7","15,3",,"48,3"
02/01/2011 1.00,,"53,7","42,7","0,5","26,4",,"6,2"
02/01/2011 2.00,"0,1",,,"0,3","52,7",,"6,2"
02/01/2011 3.00,"0,1","19,6","17,9",,"57,3",,"6,2"
02/01/2011 4.00,"0,1","13,1","12,2","0,3",,,"6,2"
02/01/2011 5.00,"0,1","7,5","6,9","0,2",59,,"6,2"
02/01/2011 6.00,"0,1","10,4","9,3","0,2","57,2",,"6,2"
02/01/2011 7.00,"0,1","12,6","11,5","0,2","57,2",,"6,2"
02/01/2011 8.00,"0,1","13,7","12,1","0,2","55,7",,"6,2"
02/01/2011 9.00,"0,1","13,5","11,8","0,2","56,4",,"6,2"
02/01/2011 10.00,"0,1","13,7","11,2","0,1","56,5",,"6,2"
02/01/2011 11.00,"0,1","14,2","11,2",,"56,4",,"6,2"
02/01/2011 12.00,"0,1","15,2","12,5",,"53,4",,"6,2"
02/01/2011 13.00,"0,1","19,6","15,2",,"51,6",,"6,2"
02/01/2011 14.00,"0,1","18,9","14,9",,"51,8",,"6,2"
02/01/2011 15.00,"0,1","13,1","10,8",,"54,3",,"6,2"
02/01/2011 16.00,"0,1","15,4","12,4",,"53,7",,"6,2"
02/01/2011 17.00,"0,1","18,6","15,1",,52,,"6,2"
02/01/2011 18.00,"0,1","18,8","15,5",,"52,8",,"6,2"
02/01/2011 19.00,"0,1","25,7","20,7",,"49,8",,"6,2"
02/01/2011 20.00,"0,1","34,4",27,,"45,6",,"6,2"
02/01/2011 21.00,"0,1","40,8","31,2",,"43,3",,"6,2"
02/01/2011 22.00,"0,1","37,4","28,8",,"44,2",,"6,2"
02/01/2011 23.00,"0,1","33,2","26,6",,"42,8",,"6,2"
03/01/2011 0.00,"0,1",27,"22,1",,37,,"6,2"
03/01/2011 1.00,"0,1","22,3","18,6",,"35,5",,"15,6"
03/01/2011 2.00,"0,1","19,8",17,,"34,5",,"15,6"
03/01/2011 3.00,"0,1","14,6","12,2",,"38,4",,"15,6"
03/01/2011 4.00,"0,1","14,2","12,2",,"39,8",,"15,6"
03/01/2011 5.00,"0,1","12,7","10,4",,"39,9",,"15,6"
03/01/2011 6.00,"0,1","16,3","13,9",,"33,3",,"15,6"
03/01/2011 7.00,"0,1","30,2","24,6",,"24,3",,"15,6"
03/01/2011 8.00,"0,1","37,6","29,9",,"18,8",,"15,6"
03/01/2011 9.00,"0,1","42,7",31,,"17,9",,"15,6"
03/01/2011 10.00,"0,1","29,6","21,4",,"25,1",,"15,6"
03/01/2011 11.00,"0,1","33,7","24,8",,"23,7",,"15,6"
03/01/2011 12.00,"0,1",43,"31,8",,"27,7",,"15,6"
03/01/2011 13.00,"0,1","34,4","24,8",,"37,1",,"15,6"
03/01/2011 14.00,"0,1","28,1","20,9",,"44,7",,"15,6"
03/01/2011 15.00,"0,1","31,9","23,6",,42,,"15,6"
03/01/2011 16.00,"0,1","24,5","18,4",,"45,2",,"15,6"
03/01/2011 17.00,"0,1","26,5","20,1",,"44,3",,"15,6"
03/01/2011 18.00,"0,1","30,3","22,4",,"45,1",,"15,6"
03/01/2011 19.00,"0,1","25,2","18,9",,"47,3",,"15,6"
03/01/2011 20.00,"0,1","24,1","17,6",,"48,5",,"15,6"
03/01/2011 21.00,"0,1","26,6","20,1",,"47,4",,"15,6"
03/01/2011 22.00,"0,1","18,4","14,7",,"50,1",,"15,6"
03/01/2011 23.00,"0,1","11,8","9,4",,52,,"15,6"
04/01/2011 0.00,"0,1","7,6","6,1",,"54,1",,"15,6"
04/01/2011 1.00,,"6,3","4,9",,"53,5",,"12,5"
04/01/2011 2.00,"0,1",,,,"52,3",,"12,5"
04/01/2011 3.00,"0,1",,,,"52,5",,"12,5"
04/01/2011 4.00,"0,1",,,"0,2",,,"12,5"
04/01/2011 5.00,"0,1",,,"0,3","51,7",,"12,5"
04/01/2011 6.00,"0,1",,,"0,3","50,9",,"12,5"
04/01/2011 7.00,"0,1",,,"0,4","48,2",,"12,5"
04/01/2011 8.00,"0,1",,,"0,5","34,9",,"12,5"
04/01/2011 9.00,"0,1",,,"0,5",33,,"12,5"
04/01/2011 10.00,"0,1",,,"0,5","35,8",,"12,5"
04/01/2011 11.00,"0,1",,,"0,4","31,1",,"12,5"
04/01/2011 12.00,"0,1",,,"0,3","36,2",,"12,5"
04/01/2011 13.00,"0,1",,,"0,2","46,8",,"12,5"
04/01/2011 14.00,"0,1",,,"0,1","46,7",,"12,5"
04/01/2011 15.00,"0,1",,,0,"47,1",,"12,5"
04/01/2011 16.00,"0,1",,,0,"48,4",,"12,5"
04/01/2011 17.00,"0,1",,,"0,1","39,8",,"12,5"
04/01/2011 18.00,"0,1",,,"0,3","21,9",,"12,5"
04/01/2011 19.00,"0,1",,,"0,6","7,6",,"12,5"
04/01/2011 20.00,"0,1",,,"0,4","16,9",,"12,5"
04/01/2011 21.00,"0,1",,,"0,5","18,6",,"12,5"
04/01/2011 22.00,"0,1",,,"0,6","17,4",,"12,5"
04/01/2011 23.00,"0,1",,,"0,6","18,8",,"12,5"
05/01/2011 0.00,"0,1",,,"0,7","8,7",,"12,5"
05/01/2011 1.00,"0,1",,,"0,6","7,7",,"33,8"
05/01/2011 2.00,"0,1",,,"0,6","6,3",,"33,8"
05/01/2011 3.00,"0,1",,,"0,7",2,,"33,8"
05/01/2011 4.00,"0,1",,,"0,6","12,5",,"33,8"
05/01/2011 5.00,"0,1",,,"0,5","19,3",,"33,8"
05/01/2011 6.00,"0,1",,,"0,4","29,8",,"33,8"
05/01/2011 7.00,"0,1",,,"0,4","21,8",,"33,8"
05/01/2011 8.00,"0,1",,,"0,5",12,,"33,8"
05/01/2011 9.00,1,,,"1,2",5,,"33,8"
05/01/2011 10.00,"0,5",,,"1,2","17,1",,"33,8"
05/01/2011 11.00,"1,5",,,,"47,1","2,3","33,8"
05/01/2011 12.00,"1,9",,,"0,5","46,6","0,9","33,8"
05/01/2011 13.00,"2,3","31,2","23,6","0,5","51,7","1,6","33,8"
05/01/2011 14.00,2,"26,5","19,7","0,5","52,8","1,7","33,8"
05/01/2011 15.00,"2,3","20,2","16,3","0,5","53,4","1,1","33,8"
05/01/2011 16.00,"2,3","26,4","20,6","0,5","49,6","0,7","33,8"
05/01/2011 17.00,"1,9",26,"21,9","0,5","47,7","1,2","33,8"
05/01/2011 18.00,"1,7","28,9","23,8","0,5","45,6","1,4","33,8"
05/01/2011 19.00,"1,6",31,"25,3","0,6","40,5","1,7","33,8"
05/01/2011 20.00,"1,5",71,"58,5","0,6","16,8","1,1","33,8"
05/01/2011 21.00,2,"77,5","60,9","0,8","13,1","1,8","33,8"
05/01/2011 22.00,"1,9","59,2","47,5","0,7","20,9","3,2","33,8"
05/01/2011 23.00,"1,9","79,5","57,7","0,9",14,"3,1","33,8"
06/01/2011 0.00,"1,8","55,5","45,9","0,8","16,4","3,7","33,8"
06/01/2011 1.00,,33,"28,9","0,6","24,7","1,9","25,4"
06/01/2011 2.00,2,,,"0,5","41,9","1,5","25,4"
06/01/2011 3.00,"2,4","18,6","16,7",,"39,9","0,7","25,4"
06/01/2011 4.00,"1,9","14,8","13,8","0,3",,"1,1","25,4"
06/01/2011 5.00,"1,7","10,4","9,6","0,3","39,8","0,8","25,4"
06/01/2011 6.00,"1,4","14,3","12,9","0,4",30,1,"25,4"
06/01/2011 7.00,"0,1","48,9","38,5","0,4","7,3","1,4","25,4"
06/01/2011 8.00,"0,8","64,6","46,3","0,5","5,5","1,2","25,4"
06/01/2011 9.00,"1,5","60,2","38,3","0,6",13,"1,6","25,4"
06/01/2011 10.00,"2,7","60,1","37,2","0,7","13,8","2,4","25,4"
06/01/2011 11.00,"2,2","35,6","22,5","0,6","27,8",3,"25,4"
06/01/2011 12.00,"1,5","24,2","16,6","0,5","41,2","2,2","25,4"
06/01/2011 13.00,"1,5",28,"18,6","0,5","43,4","1,8","25,4"
06/01/2011 14.00,"0,8","34,7","22,6","0,4","40,9","1,7","25,4"
06/01/2011 15.00,"0,1","23,3","18,2","0,1","44,1","0,9","25,4"
06/01/2011 16.00,"0,1","40,4","30,7","0,1","36,4",1,"25,4"
06/01/2011 17.00,"0,1","44,5","35,1",,"33,3","0,5","25,4"
06/01/2011 18.00,"0,1","36,7","30,6",,"31,7","1,9","25,4"
06/01/2011 19.00,"0,1","103,7","62,3",,"13,8","3,5","25,4"
06/01/2011 20.00,"0,1","137,6","74,6",,"9,1","6,1","25,4"
06/01/2011 21.00,"0,1","111,4",62,,"13,1","1,5","25,4"
06/01/2011 22.00,"0,1","57,2",41,,"16,9","4,4","25,4"
06/01/2011 23.00,"0,1","50,5","36,9",,"17,6","1,5","25,4"
07/01/2011 0.00,"0,1",47,"34,4",,15,"1,1","25,4"
07/01/2011 1.00,,28,"23,5",,"18,7","1,9",28
07/01/2011 2.00,,"27,6","23,5",,17,"3,9",28
07/01/2011 3.00,,"22,7","19,6",,"18,7","2,2",28
07/01/2011 4.00,,20,"17,7",,"17,3","3,2",28
07/01/2011 5.00,,"15,7","13,8",,"22,7","0,4",28
07/01/2011 6.00,,"23,3","20,5",,"19,4","0,4",28
07/01/2011 7.00,,"34,7","27,7",,"10,7","2,3",28
07/01/2011 8.00,,"84,3",43,,4,"1,9",28
07/01/2011 9.00,,"83,7","42,9",,8,"0,9",28
07/01/2011 10.00,,"67,3","36,9",,19,"0,8",28
07/01/2011 11.00,,"39,8","25,9",,"42,1","1,5",28
07/01/2011 12.00,,29,"20,2",,"53,2","4,7",28
07/01/2011 13.00,,"25,1","17,8",,"57,1","2,4",28
07/01/2011 14.00,,"25,8","19,2",,"56,2","1,8",28
07/01/2011 15.00,,20,"15,4",,"58,9","1,1",28
07/01/2011 16.00,,22,"18,1",,"55,1","1,2",28
07/01/2011 17.00,,"44,5","36,1",,"33,6","1,1",28
07/01/2011 18.00,,"50,2",39,,"27,8","1,4",28
07/01/2011 19.00,,34,28,,"37,8","1,2",28
07/01/2011 20.00,,"54,8","42,2",,"22,5","1,2",28
07/01/2011 21.00,,"61,3","47,3",,"11,7","3,4",28
07/01/2011 22.00,,"82,3","52,6",,"6,4","3,8",28
07/01/2011 23.00,,"88,5","54,9",,"2,3","5,1",28
08/01/2011 0.00,,"66,6","48,6",,"5,1","3,2",28
08/01/2011 1.00,,"60,6","45,1",,"3,8","5,4","26,5"
08/01/2011 2.00,,,,,"10,7","1,9","26,5"
08/01/2011 3.00,,"36,2","32,1",,"14,1","3,6","26,5"
08/01/2011 4.00,,"23,5","21,3","0,5",,"2,5","26,5"
08/01/2011 5.00,,"18,8","16,8","0,5","27,4","2,4","26,5"
08/01/2011 6.00,,"24,3","21,6","0,4","23,2","1,2","26,5"
08/01/2011 7.00,,"37,2",32,"0,4","16,8","1,8","26,5"
08/01/2011 8.00,,"40,3","33,8","0,5","17,8","1,4","26,5"
08/01/2011 9.00,,"56,6","40,3","0,6","12,1","2,3","26,5"
08/01/2011 10.00,,"57,6","36,9","0,5","17,9","1,4","26,5"
08/01/2011 11.00,,"32,6","21,5","0,4","41,7","3,2","26,5"
08/01/2011 12.00,,"24,9","18,8","0,3","49,4","2,4","26,5"
08/01/2011 13.00,,"25,8","19,8","0,2","48,6","2,4","26,5"
08/01/2011 14.00,,"20,9","16,6","0,1","55,8",1,"26,5"
08/01/2011 15.00,,"14,8","11,8",0,"60,4","1,2","26,5"
08/01/2011 16.00,,"16,2","13,4",0,"58,1","1,3","26,5"
08/01/2011 17.00,,"23,9","20,7",0,"49,7","1,9","26,5"
08/01/2011 18.00,,"29,6","25,3","0,1","43,7",1,"26,5"
08/01/2011 19.00,,"37,3","31,1","0,1","38,2","1,5","26,5"
08/01/2011 20.00,,"53,6","41,1","0,2","24,5","2,9","26,5"
08/01/2011 21.00,,"67,9","49,6","0,4","15,6","4,3","26,5"
08/01/2011 22.00,,"69,1","47,9","0,4","12,3","4,1","26,5"
08/01/2011 23.00,,"73,3","44,6","0,5","9,1","3,2","26,5"
09/01/2011 0.00,,"89,9","46,7","0,7","7,2","4,1","26,5"
09/01/2011 1.00,,"31,1","23,8","0,4",22,"3,3","19,9"
09/01/2011 2.00,,"30,7","23,2","0,5","14,4",4,"19,9"
09/01/2011 3.00,,"29,5","21,9","0,4","12,7","2,8","19,9"
09/01/2011 4.00,,"32,9",22,"0,2","25,2","4,3","19,9"
09/01/2011 5.00,,"10,8","9,2","0,1","41,2","1,2","19,9"
09/01/2011 6.00,,24,"19,2","0,2",17,"1,5","19,9"
09/01/2011 7.00,,"42,4","28,4","0,4","3,6","1,9","19,9"
09/01/2011 8.00,,"44,9","26,9","0,5","3,1","1,9","19,9"
09/01/2011 9.00,,52,"26,5","0,5","5,5","1,7","19,9"
09/01/2011 10.00,,"75,8","28,6","0,6","8,7","3,3","19,9"
09/01/2011 11.00,,"28,4","17,6","0,3","23,8",2,"19,9"
09/01/2011 12.00,,32,"20,4","0,2","31,4","1,6","19,9"
09/01/2011 13.00,,"22,6","16,6",0,"50,3","2,9","19,9"
09/01/2011 14.00,,"18,1","13,9",0,"50,8",3,"19,9"
09/01/2011 15.00,,"10,5","8,8",0,"57,6","1,8","19,9"
09/01/2011 16.00,,"12,8",11,0,"52,7","0,7","19,9"
09/01/2011 17.00,,"21,8","18,9",0,"39,8","0,8","19,9"
09/01/2011 18.00,,"40,8","32,5",0,"23,6","2,5","19,9"
09/01/2011 19.00,,"31,1","24,6",0,"35,4","2,2","19,9"
09/01/2011 20.00,,"30,9","24,3",0,"36,3","2,7","19,9"
09/01/2011 21.00,,"39,5",30,"0,1","29,7",1,"19,9"
09/01/2011 22.00,,"35,6","27,4","0,2","28,4","1,9","19,9"
09/01/2011 23.00,,"25,8","20,9","0,1","34,4","2,6","19,9"
10/01/2011 0.00,,18,"14,5","0,1","39,5","1,5","19,9"
10/01/2011 1.00,,"11,9","9,8","0,1",46,"1,8","33,8"
10/01/2011 2.00,,,,"0,1",51,"0,7","33,8"
10/01/2011 3.00,,"16,2","15,1",,"46,7","1,1","33,8"
10/01/2011 4.00,,10,"9,5","0,3",,"1,6","33,8"
10/01/2011 5.00,,"19,2","16,9","0,3","25,3","1,5","33,8"
10/01/2011 6.00,,"16,2","14,3","0,3","34,7","1,7","33,8"
10/01/2011 7.00,,"35,6","29,6","0,4","19,5",1,"33,8"
10/01/2011 8.00,,"81,4","49,5","0,6","4,9","1,1","33,8"
10/01/2011 9.00,,,,,,,"33,8"
10/01/2011 10.00,,,,,,"1,9","33,8"
10/01/2011 11.00,,,,,,,"33,8"
10/01/2011 12.00,"0,4",,,,"27,8",2,"33,8"
10/01/2011 13.00,"0,2","44,9","34,6","0,5","38,5","1,2","33,8"
10/01/2011 14.00,"0,1","40,5","30,5","0,5","46,3","1,2","33,8"
10/01/2011 15.00,"0,1","23,6","18,6","0,4",60,1,"33,8"
10/01/2011 16.00,"0,1",32,"25,5","0,5","49,7",1,"33,8"
10/01/2011 17.00,"0,1","35,3",29,"0,5","44,3",1,"33,8"
10/01/2011 18.00,"0,1","39,9","33,4","0,5","35,4","0,9","33,8"
10/01/2011 19.00,"0,2","44,1","34,8","0,6","30,5","0,4","33,8"
10/01/2011 20.00,"0,2","47,8",37,"0,6","28,5","1,2","33,8"
10/01/2011 21.00,"0,3","81,5",56,"0,9","5,1","1,3","33,8"
10/01/2011 22.00,"0,4","74,9","50,5","0,7","4,8","2,6","33,8"
10/01/2011 23.00,"0,2","52,8","39,6","0,7","13,8",2,"33,8"
11/01/2011 0.00,"0,2",51,"33,7","0,6","18,4","1,6","33,8"
11/01/2011 1.00,"0,2","37,3","25,7","0,5","31,9","1,4","36,6"
11/01/2011 2.00,"0,2","17,5","13,5","0,5","38,2","0,6","36,6"
11/01/2011 3.00,"0,2","9,3","7,3","0,5",43,"0,4","36,6"
11/01/2011 4.00,"0,2",5,"4,1","0,5","44,5","0,3","36,6"
11/01/2011 5.00,"0,2",6,"5,4","0,5","40,5","0,4","36,6"
11/01/2011 6.00,"0,2","16,4",14,"0,5","28,8","0,3","36,6"
11/01/2011 7.00,"0,2","45,4","35,9","0,5",11,"0,7","36,6"
11/01/2011 8.00,"0,5",92,"49,9","0,7","2,3","0,5","36,6"
11/01/2011 9.00,"1,2","122,6","55,9","0,8","4,7","1,6","36,6"
11/01/2011 10.00,"0,3","76,6","42,4","0,7",16,"2,2","36,6"
11/01/2011 11.00,"0,2","59,3","36,3","0,8",20,"1,4","36,6"
11/01/2011 12.00,"0,2","41,6","26,9","0,6","38,7","1,5","36,6"
11/01/2011 13.00,"0,2","27,7","18,7","0,5","51,6","0,9","36,6"
11/01/2011 14.00,"0,3",26,"18,7","0,6","52,5","0,3","36,6"
11/01/2011 15.00,"0,2","22,2","15,9","0,5","54,4","0,4","36,6"
11/01/2011 16.00,"0,2",24,"18,9","0,6","53,1","0,1","36,6"
11/01/2011 17.00,"0,2","40,6","30,5","0,6","39,2","0,9","36,6"
11/01/2011 18.00,"0,2","56,3","42,2","0,8","24,3","1,4","36,6"
11/01/2011 19.00,"0,2","66,4","47,3","0,8","19,2","0,7","36,6"
11/01/2011 20.00,"0,4","94,6","61,8",1,"7,6","2,3","36,6"
11/01/2011 21.00,"0,7","103,1",64,"1,1","5,4","2,4","36,6"
11/01/2011 22.00,"1,1","125,7","63,8","1,1","1,5","4,2","36,6"
11/01/2011 23.00,"0,9","108,3","56,9",1,,"4,2","36,6"
12/01/2011 0.00,"0,4","82,9","51,7","0,9",,"3,6","36,6"
12/01/2011 1.00,,"59,1",41,"0,8","8,7",3,"30,3"
12/01/2011 2.00,"0,2",,,"0,7","19,9","1,6","30,3"
12/01/2011 3.00,"0,2","27,9","25,3",,"20,2","1,5","30,3"
12/01/2011 4.00,"0,2","16,6","14,7","0,4",,"0,9","30,3"
12/01/2011 5.00,"0,2","13,7","11,9","0,3","37,1","1,4","30,3"
12/01/2011 6.00,"0,2","23,9","20,2","0,4","31,3","1,3","30,3"
12/01/2011 7.00,"0,2","65,2","42,8","0,5","12,5","0,8","30,3"
12/01/2011 8.00,"2,2","178,5","70,2","0,8","1,1","2,2","30,3"
12/01/2011 9.00,"2,1","158,9","69,1","0,9","5,7","3,4","30,3"
12/01/2011 10.00,"0,4","67,7","40,1","0,5","26,8",3,"30,3"
12/01/2011 11.00,"0,2","34,8","23,2","0,4","41,9","1,8","30,3"
12/01/2011 12.00,"0,2","29,4","19,7","0,4","47,2","1,5","30,3"
12/01/2011 13.00,"0,2","32,2","21,9","0,4","48,9","1,4","30,3"
12/01/2011 14.00,"0,2","39,6",27,"0,5",47,"1,5","30,3"
12/01/2011 15.00,"0,2","27,7","20,8","0,4","52,2","1,1","30,3"
12/01/2011 16.00,"0,2","27,5","22,3","0,4","50,6","1,9","30,3"
12/01/2011 17.00,"0,2",27,"21,6","0,4","47,2","1,6","30,3"
12/01/2011 18.00,"0,2","31,6",26,"0,4","43,9","1,6","30,3"
12/01/2011 19.00,"0,2",47,"36,8","0,6","32,5","1,7","30,3"
12/01/2011 20.00,"0,2",54,"42,4","0,5","27,7",2,"30,3"
12/01/2011 21.00,"0,2","52,2","41,1","0,6","32,1","2,2","30,3"
12/01/2011 22.00,"0,2","40,2","32,8","0,5","38,8","1,8","30,3"
12/01/2011 23.00,"0,2","28,9","22,9","0,4","51,5","0,8","30,3"
13/01/2011 0.00,"0,2","39,5","27,1","0,4","35,7","1,2","30,3"
13/01/2011 1.00,"0,2",23,"20,2","0,4","30,3","0,9","37,1"
13/01/2011 2.00,"0,2","17,7","15,9","0,4","30,5","1,3","37,1"
13/01/2011 3.00,"0,2","14,9","13,3","0,4",32,"1,3","37,1"
13/01/2011 4.00,"0,2","13,2","11,8","0,4","31,9","0,8","37,1"
13/01/2011 5.00,"0,2","14,3","12,5","0,4","29,4","1,2","37,1"
13/01/2011 6.00,"0,2","15,6","13,2","0,4","27,6","0,8","37,1"
13/01/2011 7.00,"0,2","18,7","14,8","0,5",26,"0,9","37,1"
13/01/2011 8.00,"0,2","24,1","18,2","0,5","24,7","1,4","37,1"
13/01/2011 9.00,"0,2","31,7","21,1","0,6","25,5","1,8","37,1"
13/01/2011 10.00,"0,1","28,6","18,1","0,5",29,"1,9","37,1"
13/01/2011 11.00,"0,4","20,2","10,5","0,7","87,8","1,1","37,1"
13/01/2011 12.00,"0,2","31,9",21,"0,7","38,5","2,1","37,1"
13/01/2011 13.00,,,,,,"0,4","37,1"
13/01/2011 14.00,"0,2","42,5","29,7","0,5",,"1,6","37,1"
13/01/2011 15.00,"0,2","31,8","23,4","0,5","49,1","0,3","37,1"
13/01/2011 16.00,"0,2","28,9","22,4","0,5","50,3",1,"37,1"
13/01/2011 17.00,"0,2",31,"25,4","0,5","46,3","1,9","37,1"
13/01/2011 18.00,"0,2","40,7",33,"0,6","38,6","1,8","37,1"
13/01/2011 19.00,"0,2","69,8","54,6","0,7","18,5","2,5","37,1"
13/01/2011 20.00,"0,7","118,2","72,2","0,9","6,8","2,1","37,1"
13/01/2011 21.00,"0,5","104,2","69,1","0,8","10,2","3,9","37,1"
13/01/2011 22.00,"0,2","65,1","51,2","0,6",19,2,"37,1"
13/01/2011 23.00,"0,2","48,5","40,2","0,6","27,4","2,5","37,1"
14/01/2011 0.00,"0,2","53,9","41,8","0,6","17,1","2,3","37,1"
14/01/2011 1.00,,"32,3","26,4","0,6","24,9","2,5","40,7"
14/01/2011 2.00,"0,2",,,"0,5","35,7","2,6","40,7"
14/01/2011 3.00,"0,2","29,1","27,2",,"29,9","2,1","40,7"
14/01/2011 4.00,"0,2","32,4","27,1","0,5",,"1,2","40,7"
14/01/2011 5.00,"0,2","23,1","20,9","0,4","27,9","1,3","40,7"
14/01/2011 6.00,"0,2","22,6","19,7","0,4","36,9","1,8","40,7"
14/01/2011 7.00,"0,2","45,1","36,8","0,5","23,5","1,6","40,7"
14/01/2011 8.00,"0,2","63,6","49,2","0,5",16,"1,9","40,7"
14/01/2011 9.00,"0,5","112,5","63,7","0,8","9,2",2,"40,7"
14/01/2011 10.00,"0,4","97,6","56,1","0,7","13,9",4,"40,7"
14/01/2011 11.00,"0,2","46,5","30,9","0,5","35,9","2,9","40,7"
14/01/2011 12.00,"0,2","31,4","22,1","0,6","46,1","1,1","40,7"
14/01/2011 13.00,"0,2","36,5","25,2","0,5","49,3","2,7","40,7"
14/01/2011 14.00,"0,2","33,2","24,3","0,5",54,"1,5","40,7"
14/01/2011 15.00,"0,2","26,3","20,3","0,5","60,2","2,3","40,7"
14/01/2011 16.00,"0,2","35,1","26,3","0,5","53,3","1,6","40,7"
14/01/2011 17.00,"0,2","37,4","29,6","0,5","48,7","0,5","40,7"
14/01/2011 18.00,"0,2","43,8","34,6","0,6","42,6","2,2","40,7"
14/01/2011 19.00,"0,6","42,6","33,3","0,6","42,3","1,5","40,7"
14/01/2011 20.00,"0,3","59,4","46,5","0,7","28,7","2,5","40,7"
14/01/2011 21.00,"0,3","86,7","63,1","0,8","13,4","2,4","40,7"
14/01/2011 22.00,"0,3","77,5","57,4","0,7","14,7","3,4","40,7"
14/01/2011 23.00,"0,3","86,9","58,1","0,8","8,5","2,3","40,7"
15/01/2011 0.00,"0,2","84,8","57,9","0,8","8,1","3,9","40,7"
15/01/2011 1.00,"0,6",95,"53,6",1,"4,3","4,2","44,6"
15/01/2011 2.00,"0,8","114,6","53,6",1,3,"4,7","44,6"
15/01/2011 3.00,"0,4","93,1","48,9","0,9","2,6","5,1","44,6"
15/01/2011 4.00,"0,2","54,8","41,2","0,8","1,5","4,2","44,6"
15/01/2011 5.00,"0,2","48,2","35,6","0,7","0,5","2,8","44,6"
15/01/2011 6.00,"0,3","63,5","37,9","0,8","0,3","3,3","44,6"
15/01/2011 7.00,"1,7","141,1","48,3",1,"0,4","2,3","44,6"
15/01/2011 8.00,"2,8",203,60,"1,1","0,5","4,1","44,6"
15/01/2011 9.00,"2,7","180,4","61,7","1,1","2,2",4,"44,6"
15/01/2011 10.00,"0,5","79,8","41,1","0,7","13,8","4,3","44,6"
15/01/2011 11.00,"0,2","41,4","27,3","0,6","36,2","3,1","44,6"
15/01/2011 12.00,"0,3","34,6","26,1","0,5","53,3",2,"44,6"
15/01/2011 13.00,"0,3","31,3","24,7","0,5","61,8","1,4","44,6"
15/01/2011 14.00,"0,2","26,1","20,2","0,4","62,6","0,8","44,6"
15/01/2011 15.00,"0,2","18,3","14,7","0,4","58,1","0,2","44,6"
15/01/2011 16.00,"0,2","18,4","14,1","0,4","55,2","1,7","44,6"
15/01/2011 17.00,"0,2","17,8","14,2","0,4","62,9",1,"44,6"
15/01/2011 18.00,"0,2","22,9","17,9","0,5","53,8","1,8","44,6"
15/01/2011 19.00,"0,2","22,1","16,3","0,4","47,1","1,6","44,6"
15/01/2011 20.00,"0,3","28,2","19,6","0,4","41,9","1,5","44,6"
15/01/2011 21.00,"0,2","29,9","21,3","0,4","39,9","1,5","44,6"
15/01/2011 22.00,"0,2","25,1","18,2","0,4","43,5","1,5","44,6"
15/01/2011 23.00,"0,2","24,9","19,4","0,4","38,5","1,3","44,6"
16/01/2011 0.00,"0,2","33,6","24,6","0,4","29,6","1,4","44,6"
16/01/2011 1.00,,"22,9","19,6","0,4","29,9","1,4","26,9"
16/01/2011 2.00,"0,2",,,"0,4","28,7","1,4","26,9"
16/01/2011 3.00,"0,2","24,4","22,6",,"26,8","0,6","26,9"
16/01/2011 4.00,"0,2","20,1","18,6","0,4",,"1,3","26,9"
16/01/2011 5.00,"0,2","20,4","18,5","0,4","24,5","1,3","26,9"
16/01/2011 6.00,"0,2","18,7","16,8","0,4","25,2","1,3","26,9"
16/01/2011 7.00,"0,2","19,4","17,1","0,4","22,3","1,3","26,9"
16/01/2011 8.00,"0,2","19,3","16,4","0,4","25,7","1,4","26,9"
