"NetC","Provincia di Lecce","","","","","","","","","",""
"Stat","Galatina","","","","","","","","","",""
,SO2,NO2,NOX,CO,O3,PM2.5

,,,,,

01/01/2012 1.00,"3,72771892","33,53651824","40,22018192","0,37667479","35,97481755","21,1"
01/01/2012 2.00,"2,92331158","26,4920028","32,36191928","0,30732001","41,0306463","21,1"
01/01/2012 3.00,"1,61513431","21,67049328","27,32865576","0,25785411","45,33068925","21,1"
01/01/2012 4.00,"2,14237762","19,490928","25,23522608","0,24642313","45,95656065","21,1"
01/01/2012 5.00,"2,78788888","18,0324869","23,65916448","0,23080398","48,553512","21,1"
01/01/2012 6.00,"2,45745846","17,68943778","23,4728592","0,21124013","48,709122","21,1"
01/01/2012 7.00,"1,38220775","18,67189412","24,4465452","0,21562985","45,8429055","21,1"
01/01/2012 8.00,"1,24678505","19,592742","25,81813752","0,22295421","43,3799184","21,1"
01/01/2012 9.00,"2,29585513","18,00395413","25,05347136","0,20446216","43,6526349","21,1"
01/01/2012 10.00,"2,18300474","15,32310642","22,4102652","0,2190899","51,38930475","21,1"
01/01/2012 11.00,"1,80743477","16,51826894","23,69941208","0,22716219","58,19560635","21,1"
01/01/2012 12.00,"3,63472851","17,93651215","25,83567056","0,24719203","61,1064909","21,1"
01/01/2012 13.00,"5,36000595","20,7865948","29,533708","0,24688797","63,7927584","21,1"
01/01/2012 14.00,"4,89234664","18,20174288","25,4818932","0,2227515","65,39097285","21,1"
01/01/2012 15.00,"3,20318388","14,76086753","21,19316248","0,21433554","68,38578705","21,1"
01/01/2012 16.00,"1,8119472","17,32822847","23,58905144","0,25548683","64,5289533","21,1"
01/01/2012 17.00,"1,532978","30,7538508","37,12191976","0,33222538","47,725986","21,1"
01/01/2012 18.00,"1,78305627","50,01522408","57,30506824","0,54876626","29,4323946","21,1"
01/01/2012 19.00,"1,92028415","47,88430008","54,75273944","0,50366911","30,72884535","21,1"
01/01/2012 20.00,"2,32023058","48,53795552","56,02890384","0,52335528","27,8077863","21,1"
01/01/2012 21.00,"2,15952933","49,35181744","56,8182348","0,59689707","25,86447675","21,1"
01/01/2012 22.00,"1,56908964","53,70188512","62,0533864","0,67062177","8,92215072","21,1"
01/01/2012 23.00,"1,88688078","55,0851024","84,11054344","0,79104199","4,10854689","21,1"
02/01/2012 0.00,"0,99128821","44,29362144","55,27722016","0,72504591","7,42881143","21,1"
02/01/2012 1.00,"1,32894238","49,54961384","77,0156468","0,91491994","4,43604011",46
02/01/2012 2.00,"2,0701513",,,"0,78321203","7,86659622",46
02/01/2012 3.00,"1,73701363","41,56475768","56,3054364",,"4,05103304",46
02/01/2012 4.00,,"36,63304048","47,24758496","0,70413649","4,13020062",46
02/01/2012 5.00,"0,80350424","34,5520388","45,17428864","0,69449844",,46
02/01/2012 6.00,"1,42644522","34,52024224","50,336746","0,72901273","4,16470814",46
02/01/2012 7.00,"1,46255685","33,61949904","55,3401632","0,66702541","3,70662422",46
02/01/2012 8.00,"2,01598283","34,58381624","90,28756536","0,64484847","3,94615389",46
02/01/2012 9.00,"3,33138385","45,14314216","113,25609632","0,70294003","6,58504214",46
