"NetC","Comune Lecce","","","","","","","","","","","","","",""
"Stat","Via Garilliano","","","","","","","","","","","","","",""
Parm,SO2,NO2,NOX,CO,O3,PM10,BENZENE,PM2.5
,,,,,,
,,,,,,
,,,,,,
,,,,,,,
,,,,,,,
01/01/2011 1.00,"2,8","22,6","25,6","0,5",,"23,6","3,2","19,7"
01/01/2011 2.00,"2,2",13,"14,7","0,3",,"23,6",2,"19,7"
01/01/2011 3.00,"1,9",7,8,"0,3",,"23,6","1,3","19,7"
01/01/2011 4.00,"1,8","7,4","8,8","0,3",,"23,6","1,1","19,7"
01/01/2011 5.00,"2,2","7,2","8,5","0,3",,"23,6",1,"19,7"
01/01/2011 6.00,2,"15,1","16,4","0,3",,"23,6","0,9","19,7"
01/01/2011 7.00,"1,6","21,2","25,1","0,4",,"23,6","0,9","19,7"
01/01/2011 8.00,"1,9","53,7",96,"0,8",,"23,6","1,3","19,7"
01/01/2011 9.00,2,"40,4","63,8","0,5",,"23,6","2,4","19,7"
01/01/2011 10.00,"2,3","14,7","22,5","0,4",,"23,6",2,"19,7"
01/01/2011 11.00,"2,1","4,9","7,2","0,3",,"23,6","1,2","19,7"
01/01/2011 12.00,2,"6,7",9,"0,3",,"23,6","0,9","19,7"
01/01/2011 13.00,"2,4","6,4","8,9","0,3",,"23,6",1,"19,7"
01/01/2011 14.00,"2,3","4,1","5,9","0,3",,"23,6","1,1","19,7"
01/01/2011 15.00,"2,2","5,7","7,4","0,3",,"23,6",1,"19,7"
01/01/2011 16.00,"1,9","11,1","12,7","0,3",,"23,6",1,"19,7"
01/01/2011 17.00,"2,2","20,3","21,8","0,4",,"23,6","1,1","19,7"
01/01/2011 18.00,"2,2","25,8","27,8","0,5",,"23,6","1,5","19,7"
01/01/2011 19.00,"2,3","27,6","29,6","0,5",,"23,6","1,7","19,7"
01/01/2011 20.00,"2,3","29,2","31,8","0,5",,"23,6","1,8","19,7"
01/01/2011 21.00,2,"26,2","27,9","0,5",,"23,6","1,8","19,7"
01/01/2011 22.00,"2,1",18,"19,2","0,4",,"23,6","1,6","19,7"
01/01/2011 23.00,"2,3","11,3","12,6","0,3",,"23,6","1,3","19,7"
02/01/2011 0.00,"2,4","9,4","10,6","0,3",,"23,6","1,1","19,7"
02/01/2011 1.00,"1,9","6,6","7,9","0,3",,"4,7","0,9",
02/01/2011 2.00,"2,3",,,"0,3",,"4,7","0,8",
02/01/2011 3.00,,10,"11,3","0,2",,"4,7","0,7",
02/01/2011 4.00,"1,6","6,3","7,3",,,"4,7","0,6",
02/01/2011 5.00,"1,9","5,2","6,5","0,2",,"4,7","0,7",
02/01/2011 6.00,"1,9","6,9","8,1","0,2",,"4,7","0,7",
02/01/2011 7.00,"1,7","8,6","9,7","0,3",,"4,7","0,8",
02/01/2011 8.00,"1,9","7,6",9,"0,2",,"4,7","0,8",
02/01/2011 9.00,"1,7","6,3",8,"0,3",,"4,7","0,7",
02/01/2011 10.00,"1,8","6,2","8,1","0,3",,"4,7","0,8",
02/01/2011 11.00,"1,9","8,6","10,5","0,3",,"4,7","0,8",
02/01/2011 12.00,"1,7","8,2","10,1","0,3",,"4,7","1,4",
02/01/2011 13.00,2,"8,8","10,5","0,3",,"4,7","0,9",
02/01/2011 14.00,"1,7","4,5",6,"0,2",,"4,7","0,8",
02/01/2011 15.00,"1,7",4,"5,5","0,2",,"4,7","0,7",
02/01/2011 16.00,"1,5","4,6","5,8","0,2",,"4,7","0,7",
02/01/2011 17.00,"1,6","6,3","7,7","0,3",,"4,7","0,7",
02/01/2011 18.00,"1,6",9,"10,7","0,3",,"4,7","0,7",
02/01/2011 19.00,2,"7,9","10,2","0,3",,"4,7","0,8",
02/01/2011 20.00,2,"8,1",10,"0,3",,"4,7","0,8",
02/01/2011 21.00,"1,7","8,4","10,3","0,3",,"4,7","0,9",
02/01/2011 22.00,2,7,"8,4","0,3",,"4,7","0,8",
02/01/2011 23.00,"1,8","3,5","4,5","0,2",,"4,7","0,7",
03/01/2011 0.00,"1,8","22,9","26,1","0,4",,"4,7","0,6",
03/01/2011 1.00,"2,3","12,9","14,4","0,3",,"13,5",1,"9,9"
03/01/2011 2.00,"1,8","8,3","9,3","0,3",,"13,5","0,9","9,9"
03/01/2011 3.00,"1,7","7,6","8,9","0,3",,"13,5","0,9","9,9"
03/01/2011 4.00,"1,9","7,4","8,7","0,3",,"13,5","0,9","9,9"
03/01/2011 5.00,"2,2","6,7","7,9","0,3",,"13,5","0,9","9,9"
03/01/2011 6.00,"2,2","8,6","10,3","0,3",,"13,5",1,"9,9"
03/01/2011 7.00,"1,7","16,3","19,2","0,3",,"13,5","1,1","9,9"
03/01/2011 8.00,"1,9",16,"19,7","0,4",,"13,5","1,2","9,9"
03/01/2011 9.00,"2,3","15,5","20,8","0,5",,"13,5","1,6","9,9"
03/01/2011 10.00,"2,4","18,2","23,5","0,4",,"13,5","1,8","9,9"
03/01/2011 11.00,"2,5","17,1","20,3","0,5",,"13,5","2,3","9,9"
03/01/2011 12.00,"2,6","17,2","21,9","0,4",,"13,5","2,5","9,9"
03/01/2011 13.00,"2,3","8,6","11,4","0,3",,"13,5","1,4","9,9"
03/01/2011 14.00,"2,4","4,6","6,5","0,3",,"13,5",1,"9,9"
03/01/2011 15.00,"2,2","8,1","9,7","0,3",,"13,5","0,9","9,9"
03/01/2011 16.00,"2,2",12,"13,9","0,4",,"13,5","1,2","9,9"
03/01/2011 17.00,"2,8","10,1","12,2","0,3",,"13,5","1,3","9,9"
03/01/2011 18.00,"3,6",7,9,"0,3",,"13,5","1,3","9,9"
03/01/2011 19.00,"4,3","7,5","9,8","0,3",,"13,5","1,2","9,9"
03/01/2011 20.00,"4,3","7,1","9,6","0,3",,"13,5","1,1","9,9"
03/01/2011 21.00,"3,3","5,2","6,9","0,2",,"13,5","0,9","9,9"
03/01/2011 22.00,"3,5","3,7","5,5","0,2",,"13,5","0,8","9,9"
03/01/2011 23.00,"3,6","1,9","3,5","0,2",,"13,5","0,7","9,9"
04/01/2011 0.00,3,"1,5","3,2","0,2",,"13,5","0,6","9,9"
04/01/2011 1.00,"3,3","2,4","3,8","0,2",,"28,9","0,6","22,2"
04/01/2011 2.00,"2,8",,,"0,2",,"28,9","0,7","22,2"
04/01/2011 3.00,,"11,4","12,9","0,2",,"28,9","0,7","22,2"
04/01/2011 4.00,"3,1",9,"10,3",,,"28,9","0,6","22,2"
04/01/2011 5.00,"2,8","11,7","13,6","0,2",,"28,9","0,7","22,2"
04/01/2011 6.00,"3,3","33,6","39,9","0,3",,"28,9","0,8","22,2"
04/01/2011 7.00,"3,8","43,8","53,1","0,3",,"28,9","1,2","22,2"
04/01/2011 8.00,"4,2",61,"99,8","0,5",,"28,9","1,4","22,2"
04/01/2011 9.00,"3,5","52,4","75,9","0,4",,"28,9","1,6","22,2"
04/01/2011 10.00,4,"36,7","50,7","0,4",,"28,9","1,6","22,2"
04/01/2011 11.00,"5,3","18,3","25,1","0,3",,"28,9",2,"22,2"
04/01/2011 12.00,"5,7","7,9","11,3","0,2",,"28,9","1,3","22,2"
04/01/2011 13.00,"4,8","6,6","9,4","0,2",,"28,9","0,9","22,2"
04/01/2011 14.00,"5,7",10,13,"0,2",,"28,9","0,9","22,2"
04/01/2011 15.00,"4,5","6,2","8,2","0,2",,"28,9","0,9","22,2"
04/01/2011 16.00,"4,3","17,2","19,5","0,3",,"28,9","0,9","22,2"
04/01/2011 17.00,4,"47,1","55,6","0,6",,"28,9","1,5","22,2"
04/01/2011 18.00,"5,8","102,7","235,2","1,3",,"28,9","3,4","22,2"
04/01/2011 19.00,"4,5","92,5","192,2",1,,"28,9",4,"22,2"
04/01/2011 20.00,"5,4","101,2","251,9","1,2",,"28,9","3,7","22,2"
04/01/2011 21.00,"3,7","89,3","189,1","1,3",,"28,9","3,7","22,2"
04/01/2011 22.00,"4,1","87,7","162,4","1,1",,"28,9","4,2","22,2"
04/01/2011 23.00,"3,5","78,3","115,9",1,,"28,9","3,5","22,2"
05/01/2011 0.00,"3,1","70,1","85,3","0,7",,"28,9","3,1","22,2"
05/01/2011 1.00,"3,1","65,1","76,2","0,7",,"34,2","2,5","24,9"
05/01/2011 2.00,"3,4","69,9","97,2","0,9",,"34,2","2,6","24,9"
05/01/2011 3.00,"3,7","69,9","124,8",1,,"34,2",3,"24,9"
05/01/2011 4.00,"3,4","50,4",74,"0,7",,"34,2","3,1","24,9"
05/01/2011 5.00,"3,3","27,7","29,5","0,4",,"34,2","2,2","24,9"
05/01/2011 6.00,"3,2","36,7","40,2","0,3",,"34,2","1,4","24,9"
05/01/2011 7.00,"3,7","65,2","82,9","0,5",,"34,2","1,4","24,9"
05/01/2011 8.00,4,"70,4","101,6","0,6",,"34,2","1,8","24,9"
05/01/2011 9.00,"4,2","63,1","98,1","0,7",,"34,2","2,3","24,9"
05/01/2011 10.00,"4,5","39,9","60,4","0,5",,"34,2","2,6","24,9"
05/01/2011 11.00,"4,2","24,7","36,9","0,4",,"34,2","1,8","24,9"
05/01/2011 12.00,"3,9","23,1","32,3","0,3",,"34,2","1,5","24,9"
05/01/2011 13.00,"4,2","32,3","41,7","0,4",,"34,2","1,4","24,9"
05/01/2011 14.00,"4,1","28,1","35,6","0,4",,"34,2","1,6","24,9"
05/01/2011 15.00,"3,5","18,5","21,6","0,3",,"34,2","1,3","24,9"
05/01/2011 16.00,"3,5","33,1","37,5","0,4",,"34,2","1,2","24,9"
05/01/2011 17.00,"3,2","54,6","62,9","0,6",,"34,2","1,7","24,9"
05/01/2011 18.00,"3,6","72,3","92,5","0,8",,"34,2","2,2","24,9"
05/01/2011 19.00,"3,6","73,7","95,8","0,8",,"34,2","2,8","24,9"
05/01/2011 20.00,"3,6","77,7","102,9","0,8",,"34,2","3,1","24,9"
05/01/2011 21.00,"3,5",74,"92,9","0,8",,"34,2","2,6","24,9"
05/01/2011 22.00,3,"53,1","59,5","0,7",,"34,2","2,7","24,9"
05/01/2011 23.00,3,"43,5","48,7","0,7",,"34,2","2,5","24,9"
06/01/2011 0.00,"2,9","34,1","37,7","0,5",,"34,2","2,3","24,9"
06/01/2011 1.00,"2,6","33,8","36,8","0,4",,"25,2","1,7","22,9"
06/01/2011 2.00,"2,8",,,"0,4",,"25,2","1,5","22,9"
06/01/2011 3.00,,"42,7","45,4","0,5",,"25,2","1,5","22,9"
06/01/2011 4.00,"0,9","24,5","26,9",,,"25,2","1,4","22,9"
06/01/2011 5.00,"1,7","22,6","23,9","0,4",,"25,2","1,1","22,9"
06/01/2011 6.00,"1,5","25,3","26,8","0,3",,"25,2","1,1","22,9"
06/01/2011 7.00,"1,8",42,"46,7","0,4",,"25,2",1,"22,9"
06/01/2011 8.00,"2,1","60,3","109,6","0,7",,"25,2","1,3","22,9"
06/01/2011 9.00,"2,4",44,72,"0,6",,"25,2","2,5","22,9"
06/01/2011 10.00,2,"20,8","27,4","0,4",,"25,2","2,1","22,9"
06/01/2011 11.00,"2,2","8,8","11,1","0,3",,"25,2","1,4","22,9"
06/01/2011 12.00,"2,7","10,4","13,9","0,3",,"25,2",1,"22,9"
06/01/2011 13.00,"2,1","11,2","14,1","0,3",,"25,2","0,9","22,9"
06/01/2011 14.00,"2,2","9,5","11,5","0,3",,"25,2",1,"22,9"
06/01/2011 15.00,"2,1","10,4","12,6","0,3",,"25,2","1,1","22,9"
06/01/2011 16.00,"2,1","10,5","11,9","0,3",,"25,2",1,"22,9"
06/01/2011 17.00,"2,1",25,"27,6","0,5",,"25,2","1,4","22,9"
06/01/2011 18.00,"2,4","79,8","120,4","0,9",,"25,2","2,4","22,9"
06/01/2011 19.00,"2,6","81,9",130,"0,9",,"25,2","3,1","22,9"
06/01/2011 20.00,"2,1","83,4","128,8",1,,"25,2","3,3","22,9"
06/01/2011 21.00,2,"78,3","108,2","0,8",,"25,2","3,3","22,9"
06/01/2011 22.00,"1,6","68,6","81,3","0,7",,"25,2","2,9","22,9"
06/01/2011 23.00,"2,1","62,3","72,7","0,7",,"25,2","2,7","22,9"
07/01/2011 0.00,"2,1",57,"63,7","0,6",,"25,2","2,5","22,9"
07/01/2011 1.00,"1,6","39,7","42,4","0,5",,"31,6",2,27
07/01/2011 2.00,"1,7","28,3","29,9","0,4",,"31,6","1,6",27
07/01/2011 3.00,"1,8","25,4",27,"0,4",,"31,6","1,3",27
07/01/2011 4.00,"1,6","17,9","19,7","0,4",,"31,6","1,2",27
07/01/2011 5.00,1,"14,9","16,6","0,4",,"31,6","1,2",27
07/01/2011 6.00,"1,8","25,1","27,2","0,3",,"31,6","1,1",27
07/01/2011 7.00,"1,8","42,3","51,8","0,5",,"31,6","1,1",27
07/01/2011 8.00,"2,3","68,2",115,"0,7",,"31,6","1,5",27
07/01/2011 9.00,"2,3","60,3","100,7","0,7",,"31,6","2,2",27
07/01/2011 10.00,2,"41,3","63,2","0,5",,"31,6","2,3",27
07/01/2011 11.00,"2,2","27,6","38,5","0,4",,"31,6","1,8",27
07/01/2011 12.00,"1,7","34,1","46,9","0,4",,"31,6","1,5",27
07/01/2011 13.00,"2,2","36,6","51,9","0,5",,"31,6","1,6",27
07/01/2011 14.00,"2,1","27,3","37,1","0,3",,"31,6","1,6",27
07/01/2011 15.00,"1,8","24,6",30,"0,3",,"31,6","1,2",27
07/01/2011 16.00,"1,4","46,4","54,4","0,5",,"31,6","1,2",27
07/01/2011 17.00,"2,2","78,7","97,9","0,8",,"31,6","1,8",27
07/01/2011 18.00,"2,3","82,6","104,7","0,7",,"31,6",3,27
07/01/2011 19.00,"2,3","80,3","111,5","0,9",,"31,6",3,27
07/01/2011 20.00,"2,3","72,5","98,4","0,9",,"31,6","3,6",27
07/01/2011 21.00,"1,9","65,3","81,2","0,8",,"31,6","3,5",27
07/01/2011 22.00,2,56,"65,2","0,8",,"31,6",3,27
07/01/2011 23.00,"1,9","44,4","50,2","0,7",,"31,6",3,27
08/01/2011 0.00,"1,8","37,1",41,"0,7",,"31,6","2,8",27
08/01/2011 1.00,"1,7","31,8","34,9","0,6",,26,"2,4","17,9"
08/01/2011 2.00,2,,,"0,5",,26,"2,1","17,9"
08/01/2011 3.00,,"25,6","27,6","0,4",,26,"1,7","17,9"
08/01/2011 4.00,"1,9","18,5","19,7",,,26,"1,3","17,9"
08/01/2011 5.00,"1,9","15,6","16,9","0,3",,26,1,"17,9"
08/01/2011 6.00,"2,2","20,8","22,7","0,3",,26,"0,7","17,9"
08/01/2011 7.00,2,"35,7",41,"0,3",,26,"0,9","17,9"
08/01/2011 8.00,"2,4","53,4","78,3","0,6",,26,"1,1","17,9"
08/01/2011 9.00,"2,3","60,3","95,7","0,6",,26,"1,7","17,9"
08/01/2011 10.00,"2,4","52,6","86,5","0,6",,26,"2,1","17,9"
08/01/2011 11.00,"2,6","28,2","40,4","0,4",,26,"1,9","17,9"
08/01/2011 12.00,"2,3","25,8","35,1","0,3",,26,"1,4","17,9"
08/01/2011 13.00,"2,9",38,"52,2","0,4",,26,"1,4","17,9"
08/01/2011 14.00,"2,9","24,6","30,8","0,3",,26,"1,7","17,9"
08/01/2011 15.00,"2,5","21,8","25,1","0,3",,26,"1,1","17,9"
08/01/2011 16.00,"2,3","28,7","31,8","0,4",,26,1,"17,9"
08/01/2011 17.00,"2,2","44,4","48,8","0,5",,26,"1,3","17,9"
08/01/2011 18.00,"2,3",71,"83,2","0,7",,26,2,"17,9"
08/01/2011 19.00,3,"67,7","81,4","0,7",,26,"2,8","17,9"
08/01/2011 20.00,"2,6","74,5","90,4","0,7",,26,"2,8","17,9"
08/01/2011 21.00,"2,4","83,6","113,8","0,9",,26,"2,7","17,9"
08/01/2011 22.00,"2,2",72,87,"0,7",,26,"3,1","17,9"
08/01/2011 23.00,"2,3","60,3","71,7","0,8",,26,"2,8","17,9"
09/01/2011 0.00,"2,4","59,7","72,4","0,8",,26,"2,8","17,9"
09/01/2011 1.00,"2,2","50,6",58,"0,6",,"29,8","2,8","25,1"
09/01/2011 2.00,"2,3","39,3","44,1","0,5",,"29,8","2,4","25,1"
09/01/2011 3.00,"2,4","45,3","50,6","0,5",,"29,8",2,"25,1"
09/01/2011 4.00,"2,1","29,7",34,"0,4",,"29,8",2,"25,1"
09/01/2011 5.00,"2,2","26,1","27,8","0,4",,"29,8","1,6","25,1"
09/01/2011 6.00,"2,1","28,2",30,"0,3",,"29,8","1,2","25,1"
09/01/2011 7.00,"2,1","48,7","55,1","0,5",,"29,8","1,2","25,1"
09/01/2011 8.00,3,65,"143,8","1,2",,"29,8","1,8","25,1"
09/01/2011 9.00,"2,9","62,7","114,6","0,8",,"29,8",3,"25,1"
09/01/2011 10.00,"2,1","28,5","37,1","0,4",,"29,8","2,4","25,1"
09/01/2011 11.00,"2,5","29,6","40,7","0,5",,"29,8",1,"25,1"
09/01/2011 12.00,"2,7","25,6","33,5","0,4",,"29,8","1,5","25,1"
09/01/2011 13.00,"2,5","22,6","28,8","0,4",,"29,8","1,6","25,1"
09/01/2011 14.00,"2,4",20,"24,1","0,4",,"29,8","1,7","25,1"
09/01/2011 15.00,"2,2",20,"23,5","0,4",,"29,8","1,6","25,1"
09/01/2011 16.00,2,"30,9","35,2","0,4",,"29,8","1,7","25,1"
09/01/2011 17.00,"2,2","52,9","62,9","0,6",,"29,8","1,8","25,1"
09/01/2011 18.00,"2,6","73,5","96,6","0,7",,"29,8","2,3","25,1"
09/01/2011 19.00,"2,4","71,1","92,8","0,8",,"29,8","2,7","25,1"
09/01/2011 20.00,"2,4","70,6","89,1","0,7",,"29,8",3,"25,1"
09/01/2011 21.00,"2,2",52,"59,9","0,5",,"29,8","2,6","25,1"
09/01/2011 22.00,"1,8","52,9","58,8","0,5",,"29,8",2,"25,1"
09/01/2011 23.00,"1,8",39,"44,2","0,5",,"29,8",2,"25,1"
10/01/2011 0.00,"2,1","34,9","37,9","0,5",,"29,8","2,1","25,1"
10/01/2011 1.00,"2,5",26,28,"0,5",,"22,3",2,"13,7"
10/01/2011 2.00,"2,3",,,"0,3",,"22,3","1,7","13,7"
10/01/2011 3.00,,"19,7","20,7","0,3",,"22,3","1,1","13,7"
10/01/2011 4.00,"1,5","16,1","17,1",,,"22,3","0,8","13,7"
10/01/2011 5.00,"1,5","18,5",20,"0,2",,"22,3","0,7","13,7"
10/01/2011 6.00,"1,6","25,6","28,4","0,3",,"22,3","0,8","13,7"
10/01/2011 7.00,"1,7","52,4","67,2","0,4",,"22,3","0,9","13,7"
10/01/2011 8.00,"2,2","73,4","127,9","0,6",,"22,3","1,3","13,7"
10/01/2011 9.00,"2,1","69,1","106,3","0,6",,"22,3","2,2","13,7"
10/01/2011 10.00,"1,8","53,2","78,1","0,5",,"22,3",2,"13,7"
10/01/2011 11.00,"1,8","39,8","54,6","0,4",,"22,3","1,8","13,7"
10/01/2011 12.00,"1,7",42,"55,7","0,4",,"22,3","1,6","13,7"
10/01/2011 13.00,"1,7","37,8","51,2","0,4",,"22,3","1,6","13,7"
10/01/2011 14.00,"1,9","28,6","37,2","0,3",,"22,3","1,5","13,7"
10/01/2011 15.00,"1,9","24,9","30,7","0,3",,"22,3",1,"13,7"
10/01/2011 16.00,"1,5","30,1","35,9","0,4",,"22,3",1,"13,7"
10/01/2011 17.00,"1,6","39,2","46,6","0,4",,"22,3","1,3","13,7"
10/01/2011 18.00,"1,9",51,"63,3","0,5",,"22,3","1,7","13,7"
10/01/2011 19.00,"1,5","51,3","64,3","0,6",,"22,3","2,1","13,7"
10/01/2011 20.00,"1,5",44,"53,5","0,5",,"22,3","2,3","13,7"
10/01/2011 21.00,"1,7",35,"40,6","0,4",,"22,3","1,9","13,7"
10/01/2011 22.00,"1,7","24,6","27,4","0,4",,"22,3","1,4","13,7"
10/01/2011 23.00,"1,5",17,"19,2","0,3",,"22,3","1,1","13,7"
11/01/2011 0.00,"1,5","12,8","14,7","0,3",,"22,3","0,8","13,7"
11/01/2011 1.00,"1,5","6,8","7,9","0,2",,"23,5","0,7","12,9"
11/01/2011 2.00,"1,5","4,6","5,6","0,2",,"23,5","0,5","12,9"
11/01/2011 3.00,"1,7","4,4","5,7","0,2",,"23,5","0,4","12,9"
11/01/2011 4.00,"1,8","5,1","6,1","0,2",,"23,5","0,4","12,9"
11/01/2011 5.00,"1,5","9,6",11,"0,2",,"23,5","0,4","12,9"
11/01/2011 6.00,"1,6","15,9","18,1","0,2",,"23,5","0,5","12,9"
11/01/2011 7.00,"1,8","30,4","37,1","0,3",,"23,5","0,6","12,9"
11/01/2011 8.00,"1,8","43,7","63,2","0,4",,"23,5","0,8","12,9"
11/01/2011 9.00,2,"36,8","49,4","0,4",,"23,5","1,4","12,9"
11/01/2011 10.00,,"21,9","45,4","0,5",,"23,5",,"12,9"
11/01/2011 11.00,"1,9","23,4","37,5","0,4",,"23,5",,"12,9"
11/01/2011 12.00,,,,,,"23,5",1,"12,9"
11/01/2011 13.00,3,"39,1","55,8","0,4",,"23,5",1,"12,9"
11/01/2011 14.00,"2,9","30,2","40,9","0,3",,"23,5","1,6","12,9"
11/01/2011 15.00,"2,9","27,3","35,6","0,3",,"23,5","1,1","12,9"
11/01/2011 16.00,"2,9","36,7","45,3","0,3",,"23,5","1,2","12,9"
11/01/2011 17.00,"3,3","64,7","84,2","0,5",,"23,5","1,5","12,9"
11/01/2011 18.00,"3,1","67,4","90,3","0,6",,"23,5",2,"12,9"
11/01/2011 19.00,"3,8","74,6",127,"0,8",,"23,5","2,3","12,9"
11/01/2011 20.00,"3,6","76,9","122,8","0,8",,"23,5","3,1","12,9"
11/01/2011 21.00,"3,4","62,3","80,7","0,6",,"23,5","2,8","12,9"
11/01/2011 22.00,"2,8","52,5","59,9","0,6",,"23,5","2,3","12,9"
11/01/2011 23.00,"3,4","51,4","61,2","0,6",,"23,5","2,3","12,9"
12/01/2011 0.00,"3,5","36,9","43,1","0,6",,"23,5","2,4","12,9"
12/01/2011 1.00,"2,6","41,4","47,4","0,6",,"31,9","2,3","22,7"
12/01/2011 2.00,"2,9",,,"0,6",,"31,9","2,5","22,7"
12/01/2011 3.00,,"30,4","33,3","0,4",,"31,9","2,3","22,7"
12/01/2011 4.00,2,"27,9",31,,,"31,9",2,"22,7"
12/01/2011 5.00,"1,5","29,4","35,5","0,6",,"31,9","2,1","22,7"
12/01/2011 6.00,"2,2",46,"76,2","0,6",,"31,9","2,2","22,7"
12/01/2011 7.00,"3,3","71,4","189,3","1,2",,"31,9","2,3","22,7"
12/01/2011 8.00,"3,1","83,5","237,2","1,2",,"31,9",3,"22,7"
12/01/2011 9.00,"2,7","39,5","61,7","0,4",,"31,9","3,1","22,7"
12/01/2011 10.00,"2,1","21,1","28,6","0,3",,"31,9","1,7","22,7"
12/01/2011 11.00,"1,9",15,"21,4","0,2",,"31,9","1,3","22,7"
12/01/2011 12.00,"1,7","13,3","19,2","0,2",,"31,9",1,"22,7"
12/01/2011 13.00,"2,2","15,8","24,2","0,2",,"31,9","0,9","22,7"
12/01/2011 14.00,"2,4",11,"18,1","0,2",,"31,9","0,8","22,7"
12/01/2011 15.00,"2,2","12,3","19,5","0,2",,"31,9","0,8","22,7"
12/01/2011 16.00,"2,5",22,31,"0,3",,"31,9","1,1","22,7"
12/01/2011 17.00,"2,1","30,2","36,4","0,3",,"31,9","1,3","22,7"
12/01/2011 18.00,"1,9","33,7","40,4","0,4",,"31,9","1,4","22,7"
12/01/2011 19.00,"2,1","40,6","47,8","0,4",,"31,9","1,7","22,7"
12/01/2011 20.00,"1,9",45,"52,7","0,5",,"31,9","1,7","22,7"
12/01/2011 21.00,"2,1","41,6","47,2","0,5",,"31,9",2,"22,7"
12/01/2011 22.00,"1,6","25,3","36,7","0,4",,"31,9","1,7","22,7"
12/01/2011 23.00,"1,8","25,3","42,6","0,4",,"31,9","1,5","22,7"
13/01/2011 0.00,"1,8","18,4","38,3","0,3",,"31,9","1,3","22,7"
13/01/2011 1.00,"1,8","17,4","49,5","0,3",,"30,1",1,"20,1"
13/01/2011 2.00,"1,7","15,4","60,2","0,3",,"30,1",1,"20,1"
13/01/2011 3.00,"1,9",14,"48,7","0,3",,"30,1",1,"20,1"
13/01/2011 4.00,"1,7","10,7","18,9","0,3",,"30,1","0,9","20,1"
13/01/2011 5.00,"1,7","11,1","11,6","0,3",,"30,1","0,9","20,1"
13/01/2011 6.00,"1,8","14,6","18,3","0,3",,"30,1",1,"20,1"
13/01/2011 7.00,"2,1","18,2","26,1","0,3",,"30,1",1,"20,1"
13/01/2011 8.00,"2,5",25,"58,6","0,4",,"30,1","1,1","20,1"
13/01/2011 9.00,"2,4",19,"81,5","0,3",,"30,1","1,3","20,1"
13/01/2011 10.00,"1,8","14,8",54,"0,3",,"30,1","1,1","20,1"
13/01/2011 11.00,"1,8","12,6","23,9","0,3",,"30,1","1,1","20,1"
13/01/2011 12.00,"1,2","13,3","18,2","0,3",,"30,1","1,1","20,1"
13/01/2011 13.00,"1,7",15,"19,9","0,3",,"30,1","1,2","20,1"
13/01/2011 14.00,"1,7",,,"0,3",,"30,1","1,2","20,1"
13/01/2011 15.00,"1,5",,,"0,3",,"30,1","1,1","20,1"
13/01/2011 16.00,2,"23,6","26,8","0,3",,"30,1","1,1","20,1"
13/01/2011 17.00,"2,2","33,4","38,7","0,5",,"30,1","1,2","20,1"
13/01/2011 18.00,"1,7","37,3","42,8","0,5",,"30,1","1,7","20,1"
13/01/2011 19.00,"2,1","46,6","55,2","0,7",,"30,1","1,9","20,1"
13/01/2011 20.00,"2,4","75,6","123,2",1,,"30,1","2,4","20,1"
13/01/2011 21.00,"2,6",71,"109,5",1,,"30,1",3,"20,1"
13/01/2011 22.00,"2,1","58,2","153,5","0,7",,"30,1",3,"20,1"
13/01/2011 23.00,2,"56,7","185,9","0,7",,"30,1","2,5","20,1"
14/01/2011 0.00,2,"44,5","197,2","0,6",,"30,1","2,3","20,1"
14/01/2011 1.00,"1,9","44,7","170,8","0,7",,"39,8","2,2","30,4"
14/01/2011 2.00,"1,7",,,"0,5",,"39,8",2,"30,4"
14/01/2011 3.00,,,,"0,5",,"39,8","1,7","30,4"
14/01/2011 4.00,"2,5",,,,,"39,8","1,7","30,4"
14/01/2011 5.00,"2,1",,,"0,5",,"39,8","1,6","30,4"
14/01/2011 6.00,"2,3",,,"0,7",,"39,8","1,7","30,4"
14/01/2011 7.00,"3,3",,,"1,1",,"39,8","2,1","30,4"
14/01/2011 8.00,"2,7",,,1,,"39,8","3,1","30,4"
14/01/2011 9.00,"1,9",,,"0,6",,"39,8","2,6","30,4"
14/01/2011 10.00,"3,1",,,"0,4",,"39,8","1,9","30,4"
14/01/2011 11.00,"2,3",,,"0,4",,"39,8","1,5","30,4"
14/01/2011 12.00,"2,6",,,"0,4",,"39,8","1,3","30,4"
14/01/2011 13.00,"2,3",,,"0,3",,"39,8",1,"30,4"
14/01/2011 14.00,"2,5",,,"0,3",,"39,8",1,"30,4"
14/01/2011 15.00,"2,3",,,"0,3",,"39,8","0,9","30,4"
14/01/2011 16.00,"2,3",,,"0,3",,"39,8","0,9","30,4"
14/01/2011 17.00,"2,3",,,"0,4",,"39,8",1,"30,4"
14/01/2011 18.00,"2,3",,,"0,5",,"39,8","1,3","30,4"
14/01/2011 19.00,"2,2",,,"0,5",,"39,8","1,5","30,4"
14/01/2011 20.00,"2,2",,,"0,9",,"39,8","1,9","30,4"
14/01/2011 21.00,"3,9",,,"1,5",,"39,8",3,"30,4"
14/01/2011 22.00,"2,4",,,"0,9",,"39,8","3,4","30,4"
14/01/2011 23.00,2,,,"0,8",,"39,8","2,8","30,4"
15/01/2011 0.00,2,,,"0,7",,"39,8","2,5","30,4"
15/01/2011 1.00,"2,1",,,"0,8",,"42,3","2,2","31,3"
15/01/2011 2.00,"2,4",,,"0,8",,"42,3","2,3","31,3"
