"NetC","Regione-Provincia Lecce","","","","","","","","",""
"Stat","S. Barbara","","","","","","","","",""
Parm,SO2,NO2,NOX,CO,O3,PM10
,,,,,
,,,,,,
,,,,,,,
,,,,,,,
,,,,,,
01/01/2011 1.00,"0,9","21,1","31,9",,"10,2","39,4"
01/01/2011 2.00,"1,1",22,"33,6",,4,"39,4"
01/01/2011 3.00,"0,7","17,8","29,4",,"6,2","39,4"
01/01/2011 4.00,"0,7","14,2","25,9",,"11,5","39,4"
01/01/2011 5.00,"0,8","13,8",25,,"6,1","39,4"
01/01/2011 6.00,"0,8","10,8",22,,,"39,4"
01/01/2011 7.00,"0,6","11,7","23,8",,"4,1","39,4"
01/01/2011 8.00,"0,6","12,7","24,5",,"3,8","39,4"
01/01/2011 9.00,"0,9","11,4",26,,"5,2","39,4"
01/01/2011 10.00,"0,8","12,4","25,5",,"21,6","39,4"
01/01/2011 11.00,"0,5","5,2","15,3",,"46,8","39,4"
01/01/2011 12.00,"0,7","4,9","14,7",,"55,6","39,4"
01/01/2011 13.00,"0,4","5,4","15,8",,"57,1","39,4"
01/01/2011 14.00,"0,7","5,2","15,5",,"56,8","39,4"
01/01/2011 15.00,"0,6","4,6","14,6",,60,"39,4"
01/01/2011 16.00,"0,6","4,5",14,,"59,5","39,4"
01/01/2011 17.00,"0,5","6,4","16,7",,"47,7","39,4"
01/01/2011 18.00,"0,5",10,"20,6",,"35,2","39,4"
01/01/2011 19.00,"0,4","13,2","23,9",,"27,2","39,4"
01/01/2011 20.00,"0,5","20,4","31,1",,"17,6","39,4"
01/01/2011 21.00,"0,4","16,6","27,8",,"13,3","39,4"
01/01/2011 22.00,"0,5","19,1","30,4",,"17,8","39,4"
01/01/2011 23.00,"0,5","22,9",34,,"15,8","39,4"
02/01/2011 0.00,"0,5","15,8","26,8",,"20,9","39,4"
02/01/2011 1.00,,"11,8","22,8",,"26,3","12,5"
02/01/2011 2.00,"0,9",,,,"29,7","12,5"
02/01/2011 3.00,1,"9,7","17,6",,"26,1","12,5"
02/01/2011 4.00,"0,9","6,6","14,9",,"33,8","12,5"
02/01/2011 5.00,"0,9","5,6",14,,,"12,5"
02/01/2011 6.00,"0,9",5,"13,4",,"32,3","12,5"
02/01/2011 7.00,"0,8","6,1","14,8",,"27,9","12,5"
02/01/2011 8.00,1,"5,1",14,,"31,8","12,5"
02/01/2011 9.00,1,"6,2",16,,40,"12,5"
02/01/2011 10.00,1,"5,5","16,7",,"47,2","12,5"
02/01/2011 11.00,"0,9","5,8","17,1",,"57,2","12,5"
02/01/2011 12.00,"0,8","4,8",16,,"61,7","12,5"
02/01/2011 13.00,"0,9","4,1",16,,"62,8","12,5"
02/01/2011 14.00,"0,8","4,6","16,5",,"62,2","12,5"
02/01/2011 15.00,"0,9","4,7","16,7",,"58,2","12,5"
02/01/2011 16.00,"0,7","5,2","17,7",,"52,2","12,5"
02/01/2011 17.00,"0,8","7,1","19,9",,"48,2","12,5"
02/01/2011 18.00,"0,9","7,3","20,4",,"50,4","12,5"
02/01/2011 19.00,"0,9","7,5","20,4",,"49,5","12,5"
02/01/2011 20.00,1,"14,2","27,7",,"35,2","12,5"
02/01/2011 21.00,"0,9","14,3","27,2",,"34,6","12,5"
02/01/2011 22.00,"0,8","14,8","28,2",,"37,2","12,5"
02/01/2011 23.00,1,"14,1","27,3",,"33,7","12,5"
03/01/2011 0.00,"0,7","8,8","21,9",,40,"12,5"
03/01/2011 1.00,1,"8,6","21,7",,"36,9","16,7"
03/01/2011 2.00,"0,8",9,"21,9",,"34,5","16,7"
03/01/2011 3.00,"0,8",7,20,,"40,3","16,7"
03/01/2011 4.00,"0,8","5,6","18,2",,"44,2","16,7"
03/01/2011 5.00,"0,8",6,"18,2",,"43,5","16,7"
03/01/2011 6.00,"0,8","5,5","17,2",,"45,3","16,7"
03/01/2011 7.00,"0,7",6,"17,9",,"42,3","16,7"
03/01/2011 8.00,"0,8","9,9","22,1",,"32,2","16,7"
03/01/2011 9.00,"0,8","11,7","25,3",,28,"16,7"
03/01/2011 10.00,"0,8","10,4",25,,"34,3","16,7"
03/01/2011 11.00,"0,8","8,2","21,2",,"41,9","16,7"
03/01/2011 12.00,"0,7","7,3",20,,"46,7","16,7"
03/01/2011 13.00,"0,7","7,6","20,7",,"50,3","16,7"
03/01/2011 14.00,"0,8","8,5","22,2",,"48,4","16,7"
03/01/2011 15.00,"0,8","7,9","21,2",,52,"16,7"
03/01/2011 16.00,"0,9","6,9","19,6",,"52,9","16,7"
03/01/2011 17.00,"0,9","9,4","21,6",,"46,6","16,7"
03/01/2011 18.00,"0,7","9,3","20,6",,"46,2","16,7"
03/01/2011 19.00,"0,6","10,2","21,8",,"45,5","16,7"
03/01/2011 20.00,"0,9","9,7",21,,"48,3","16,7"
03/01/2011 21.00,1,"8,4","20,3",,"49,1","16,7"
03/01/2011 22.00,"0,9","7,1","19,4",,"45,2","16,7"
03/01/2011 23.00,"0,8","5,4","17,7",,"40,7","16,7"
04/01/2011 0.00,"0,8","5,6","17,7",,"41,3","16,7"
04/01/2011 1.00,,"5,3","16,7",,"39,5",29
04/01/2011 2.00,1,,,,"42,4",29
04/01/2011 3.00,"0,9","4,7","11,8",,"40,4",29
04/01/2011 4.00,"0,9","3,9","10,7",,"42,7",29
04/01/2011 5.00,1,"3,7","10,1",,,29
04/01/2011 6.00,1,"4,1","10,5",,"41,6",29
04/01/2011 7.00,1,"4,4","10,5",,"40,2",29
04/01/2011 8.00,1,"11,1","18,9",,"31,1",29
04/01/2011 9.00,1,"14,1","23,9",,"29,6",29
04/01/2011 10.00,"1,3","9,5","18,1",,"37,2",29
04/01/2011 11.00,"1,3","7,8","19,1",,"45,8",29
04/01/2011 12.00,"1,3","6,4","20,6",,"54,5",29
04/01/2011 13.00,"1,5","7,6","22,8",,"59,1",29
04/01/2011 14.00,"1,5","7,4","22,6",,"60,8",29
04/01/2011 15.00,"1,5",6,"19,3",,"62,4",29
04/01/2011 16.00,"1,4","8,4","23,8",,"58,1",29
04/01/2011 17.00,"1,3","14,3","30,7",,44,29
04/01/2011 18.00,"1,5","16,4","27,5",,"29,7",29
04/01/2011 19.00,"1,6","16,6","27,8",,30,29
04/01/2011 20.00,"1,7","18,6","29,8",,"23,4",29
04/01/2011 21.00,"1,7","22,4","35,4",,"19,5",29
04/01/2011 22.00,"1,8","33,5","56,3",,"3,6",29
04/01/2011 23.00,"1,7","31,4","50,3",,,29
05/01/2011 0.00,"1,5","18,5","28,8",,,29
05/01/2011 1.00,"1,5","19,2","32,1",,,"47,5"
05/01/2011 2.00,"1,6","20,2","33,1",,,"47,5"
05/01/2011 3.00,"1,6","17,9","27,8",,,"47,5"
05/01/2011 4.00,"1,7","13,8","22,6",,,"47,5"
05/01/2011 5.00,"1,7","18,2","29,3",,,"47,5"
05/01/2011 6.00,"1,6","22,1","35,2",,,"47,5"
05/01/2011 7.00,"1,7","21,7","35,9",,,"47,5"
05/01/2011 8.00,"1,7","29,5","50,4",,,"47,5"
05/01/2011 9.00,"1,7","36,1","67,1",,,"47,5"
05/01/2011 10.00,"1,8","39,9","76,8",,,"47,5"
05/01/2011 11.00,"1,6",18,"34,7",,"34,2","47,5"
05/01/2011 12.00,"1,7","9,9","21,4",,"50,9","47,5"
05/01/2011 13.00,"1,7","7,5","18,4",,"56,3","47,5"
05/01/2011 14.00,"1,3","7,1","18,2",,"59,7","47,5"
05/01/2011 15.00,"1,7","9,4","21,3",,"57,2","47,5"
05/01/2011 16.00,"1,5","11,9","24,8",,"50,2","47,5"
05/01/2011 17.00,"1,7","13,9","26,2",,"45,2","47,5"
05/01/2011 18.00,"1,6","17,9","30,9",,"30,4","47,5"
05/01/2011 19.00,"1,6","26,4","40,1",,14,"47,5"
05/01/2011 20.00,"1,6","27,4","40,1",,14,"47,5"
05/01/2011 21.00,"1,5","36,1","48,8",,"2,2","47,5"
05/01/2011 22.00,"1,6","30,6","43,5",,"3,7","47,5"
05/01/2011 23.00,"1,6","35,8","51,4",,"1,8","47,5"
06/01/2011 0.00,"1,7","35,6","48,9",,,"47,5"
06/01/2011 1.00,,"26,4","38,9",,"5,6","30,6"
06/01/2011 2.00,"0,8",,,,"3,9","30,6"
06/01/2011 3.00,"0,7","16,7","26,1",,9,"30,6"
06/01/2011 4.00,"0,7","7,7","16,7",,"22,9","30,6"
06/01/2011 5.00,"0,6","4,7","13,8",,,"30,6"
06/01/2011 6.00,"0,6","4,1","13,4",,"25,7","30,6"
06/01/2011 7.00,"0,5","4,8","14,9",,"16,4","30,6"
06/01/2011 8.00,"0,6","8,5","19,8",,"11,6","30,6"
06/01/2011 9.00,"0,6","15,1","37,2",,"10,7","30,6"
06/01/2011 10.00,"0,5","8,4","21,7",,"25,7","30,6"
06/01/2011 11.00,"0,5","10,3","23,2",,"41,5","30,6"
06/01/2011 12.00,"0,6","8,2","19,7",,"47,3","30,6"
06/01/2011 13.00,"0,7","5,2","15,4",,"54,6","30,6"
06/01/2011 14.00,"0,5","3,8","13,2",,"61,7","30,6"
06/01/2011 15.00,"0,4","3,7","13,3",,"65,4","30,6"
06/01/2011 16.00,"0,5","4,3","14,2",,"62,2","30,6"
06/01/2011 17.00,"0,4","5,5","15,7",,"50,3","30,6"
06/01/2011 18.00,"0,4","7,2","18,5",,"33,7","30,6"
06/01/2011 19.00,"0,5","19,2","30,7",,"13,5","30,6"
06/01/2011 20.00,"0,5","18,9","30,8",,"9,8","30,6"
06/01/2011 21.00,"0,5","20,4","36,5",,"6,3","30,6"
06/01/2011 22.00,"0,6",31,"53,5",,,"30,6"
06/01/2011 23.00,"0,7","31,6","49,5",,,"30,6"
07/01/2011 0.00,"0,6","27,9","40,3",,"1,1","30,6"
07/01/2011 1.00,"0,7","20,5","31,8",,"5,9",26
07/01/2011 2.00,"0,6","13,7","23,9",,"13,9",26
07/01/2011 3.00,"0,5","7,1","16,8",,"29,6",26
07/01/2011 4.00,"0,5","5,9","15,3",,"29,4",26
07/01/2011 5.00,"0,4","6,4","15,9",,"23,7",26
07/01/2011 6.00,"0,3","7,9","17,9",,"13,3",26
07/01/2011 7.00,"0,6","10,2","22,3",,"19,9",26
07/01/2011 8.00,"0,5",20,33,,"9,6",26
07/01/2011 9.00,"0,6","32,9","62,9",,"3,2",26
07/01/2011 10.00,"0,5","22,8","41,6",,"18,7",26
07/01/2011 11.00,"0,5",7,17,,"53,4",26
07/01/2011 12.00,"0,5","5,6","15,3",,"60,5",26
07/01/2011 13.00,"0,3","4,3","13,5",,"66,6",26
07/01/2011 14.00,"0,3","4,3","13,6",,"68,5",26
07/01/2011 15.00,"0,5","4,5","13,6",,"69,4",26
07/01/2011 16.00,"0,4","4,5","13,6",,68,26
07/01/2011 17.00,"0,3","5,5","15,3",,"59,7",26
07/01/2011 18.00,"0,6","12,3","23,6",,"31,7",26
07/01/2011 19.00,"0,5","27,8","40,3",,"12,7",26
07/01/2011 20.00,"0,5","28,3","39,6",,11,26
07/01/2011 21.00,"0,4","24,1","36,4",,"11,2",26
07/01/2011 22.00,"0,5","24,3","35,4",,"9,7",26
07/01/2011 23.00,"0,4","20,8","31,4",,"11,7",26
08/01/2011 0.00,"0,3","17,3","28,4",,"13,1",26
08/01/2011 1.00,,"13,1","23,5",,"18,8","24,8"
08/01/2011 2.00,"0,8",,,,"21,8","24,8"
08/01/2011 3.00,"0,9",9,"16,7",,"20,7","24,8"
08/01/2011 4.00,"0,9","6,9","15,3",,"22,1","24,8"
08/01/2011 5.00,"0,9","6,6","15,5",,,"24,8"
08/01/2011 6.00,"0,8","6,4","15,7",,"29,3","24,8"
08/01/2011 7.00,"0,8","10,2","20,5",,"23,4","24,8"
08/01/2011 8.00,"0,7","17,3","29,5",,"15,2","24,8"
08/01/2011 9.00,1,"26,1","49,8",,9,"24,8"
08/01/2011 10.00,1,"20,9","37,3",,"16,6","24,8"
08/01/2011 11.00,"0,7","11,3","21,8",,43,"24,8"
08/01/2011 12.00,"0,7","5,7","15,8",,"58,6","24,8"
08/01/2011 13.00,"0,7","4,6","14,5",,"65,3","24,8"
08/01/2011 14.00,"0,7","4,6","14,7",,"68,8","24,8"
08/01/2011 15.00,"0,6","4,9",15,,"73,9","24,8"
08/01/2011 16.00,"0,7","5,1","15,1",,"77,4","24,8"
08/01/2011 17.00,"0,5","5,5","15,5",,70,"24,8"
08/01/2011 18.00,"0,6","6,5","16,3",,"54,4","24,8"
08/01/2011 19.00,"0,8","11,5","21,7",,"31,1","24,8"
08/01/2011 20.00,"0,8","15,7","27,3",,"19,4","24,8"
08/01/2011 21.00,"0,6","13,4","24,5",,"23,5","24,8"
08/01/2011 22.00,"0,6","13,3","24,2",,"10,4","24,8"
08/01/2011 23.00,"0,8","21,7","34,3",,"3,1","24,8"
09/01/2011 0.00,"0,8","19,3","30,8",,"2,2","24,8"
09/01/2011 1.00,"0,8","16,7","28,2",,"2,3","25,1"
09/01/2011 2.00,"0,6","18,4","28,4",,"4,4","25,1"
09/01/2011 3.00,"0,6","12,7","22,6",,"7,4","25,1"
09/01/2011 4.00,"0,5","13,9","23,4",,"6,8","25,1"
09/01/2011 5.00,"0,6",10,"19,5",,"9,5","25,1"
09/01/2011 6.00,"0,6","8,8","18,2",,11,"25,1"
09/01/2011 7.00,"0,5","7,8","17,5",,16,"25,1"
09/01/2011 8.00,"0,7","10,6","20,3",,"19,1","25,1"
09/01/2011 9.00,"0,7","9,2","20,7",,"19,1","25,1"
09/01/2011 10.00,"0,6","11,6","23,8",,"22,7","25,1"
09/01/2011 11.00,"0,7","9,3","19,9",,"27,3","25,1"
09/01/2011 12.00,"0,6","5,8","15,9",,"48,6","25,1"
09/01/2011 13.00,"0,6",6,"15,9",,"57,6","25,1"
09/01/2011 14.00,"0,8","5,6","15,7",,"62,3","25,1"
09/01/2011 15.00,"0,6","5,5","15,6",,"61,7","25,1"
09/01/2011 16.00,"0,5","4,1","14,2",,"60,8","25,1"
09/01/2011 17.00,"0,6","5,3","15,4",,"47,7","25,1"
09/01/2011 18.00,"0,6","5,8","17,1",,27,"25,1"
09/01/2011 19.00,"0,5","5,5","16,2",,"14,6","25,1"
09/01/2011 20.00,"0,5","10,6","21,3",,"18,3","25,1"
09/01/2011 21.00,"0,5","16,5","30,9",,"2,4","25,1"
09/01/2011 22.00,"0,6","19,5","35,4",,,"25,1"
09/01/2011 23.00,"0,5","17,1","28,2",,"6,9","25,1"
10/01/2011 0.00,"0,6","12,1","23,2",,"26,7","25,1"
10/01/2011 1.00,,"6,4","17,4",,"40,5","22,7"
10/01/2011 2.00,"0,7",,,,"40,4","22,7"
10/01/2011 3.00,"0,7","3,8","11,8",,"43,3","22,7"
10/01/2011 4.00,"0,6","4,1","12,9",,"32,5","22,7"
10/01/2011 5.00,"0,7","3,8","12,5",,,"22,7"
10/01/2011 6.00,"0,6","4,7","13,8",,"22,5","22,7"
10/01/2011 7.00,"0,7","6,2","17,1",,15,"22,7"
10/01/2011 8.00,"0,7","12,2","22,9",,"12,7","22,7"
10/01/2011 9.00,1,"24,7","47,6",,,"22,7"
10/01/2011 10.00,"0,7","20,9","40,7",,"5,7","22,7"
10/01/2011 11.00,"0,8","16,2","28,9",,"21,1","22,7"
10/01/2011 12.00,"0,9",8,"19,1",,"50,6","22,7"
10/01/2011 13.00,"0,7","5,8","16,8",,"56,7","22,7"
10/01/2011 14.00,"0,8",4,"14,7",,"61,4","22,7"
10/01/2011 15.00,"0,6",5,"15,9",,59,"22,7"
10/01/2011 16.00,"0,6","5,4","16,8",,"55,9","22,7"
10/01/2011 17.00,"0,9","9,8","22,2",,47,"22,7"
10/01/2011 18.00,"0,9","9,3",21,,"40,3","22,7"
10/01/2011 19.00,"0,8","11,3",23,,"23,8","22,7"
10/01/2011 20.00,"0,7","13,3","25,3",,"26,6","22,7"
10/01/2011 21.00,"0,9","9,8","20,8",,"34,8","22,7"
10/01/2011 22.00,"0,7","7,3","18,1",,"36,2","22,7"
10/01/2011 23.00,"0,7","5,9","16,5",,33,"22,7"
11/01/2011 0.00,"0,8","4,6","15,6",,"34,7","22,7"
11/01/2011 1.00,"0,7","3,9","15,1",,"39,4","15,3"
11/01/2011 2.00,"0,7","3,4","14,2",,"39,7","15,3"
11/01/2011 3.00,"0,6","3,4","14,3",,"40,1","15,3"
11/01/2011 4.00,"0,6","3,2","13,7",,49,"15,3"
11/01/2011 5.00,"0,6","3,1","13,8",,"47,4","15,3"
11/01/2011 6.00,"0,6","3,2","14,1",,"40,5","15,3"
11/01/2011 7.00,"0,7","5,7","17,5",,"33,6","15,3"
11/01/2011 8.00,"0,8","15,9","29,9",,21,"15,3"
11/01/2011 9.00,"0,7",10,"22,6",,"35,9","15,3"
11/01/2011 10.00,"0,7","7,4","19,5",,"39,2","15,3"
11/01/2011 11.00,"0,8","5,5","17,7",,"48,6","15,3"
11/01/2011 12.00,"0,7","4,9","17,6",,"55,4","15,3"
11/01/2011 13.00,"0,7","4,4",17,,"57,6","15,3"
11/01/2011 14.00,"0,6","4,5","17,2",,58,"15,3"
11/01/2011 15.00,"0,6",5,"16,7",,"58,3","15,3"
11/01/2011 16.00,"0,6","5,1","16,2",,"58,7","15,3"
11/01/2011 17.00,"0,6","6,3","17,5",,"55,2","15,3"
11/01/2011 18.00,"0,7","9,7","21,3",,"34,9","15,3"
11/01/2011 19.00,"0,7","10,6","22,3",,"29,5","15,3"
11/01/2011 20.00,"0,7","9,5","21,1",,"28,3","15,3"
11/01/2011 21.00,"0,7","10,1",22,,"21,6","15,3"
11/01/2011 22.00,"0,6","11,4",24,,"5,7","15,3"
11/01/2011 23.00,"0,8","12,5","24,5",,"2,2","15,3"
12/01/2011 0.00,"0,7","16,2","27,6",,"8,1","15,3"
12/01/2011 1.00,,"12,3","23,6",,"8,1","27,6"
12/01/2011 2.00,"0,8",,,,2,"27,6"
12/01/2011 3.00,"0,8","9,9","18,1",,"5,5","27,6"
12/01/2011 4.00,"0,7","8,8","19,3",,"1,6","27,6"
12/01/2011 5.00,"0,8","8,1","17,4",,,"27,6"
12/01/2011 6.00,"0,7","7,8","17,8",,"1,9","27,6"
12/01/2011 7.00,"0,9","6,3","16,5",,"8,7","27,6"
12/01/2011 8.00,1,"10,2","24,9",,,"27,6"
12/01/2011 9.00,"1,1","16,4","47,8",,,"27,6"
12/01/2011 10.00,"1,1","22,1","47,7",,"4,7","27,6"
12/01/2011 11.00,1,"23,1","39,7",,"13,5","27,6"
12/01/2011 12.00,"0,9","22,5","38,4",,"24,8","27,6"
12/01/2011 13.00,"1,1","12,6","26,2",,"46,8","27,6"
12/01/2011 14.00,"0,9","11,1","22,5",,56,"27,6"
12/01/2011 15.00,"0,9","8,6","19,6",,"57,3","27,6"
12/01/2011 16.00,1,,,,,"27,6"
12/01/2011 17.00,"0,6",,,,,"27,6"
12/01/2011 18.00,"0,8","9,9","13,9",,"44,1","27,6"
12/01/2011 19.00,"0,8","10,1","15,6",,"31,9","27,6"
12/01/2011 20.00,"0,9","10,6","17,1",,"30,6","27,6"
12/01/2011 21.00,"0,8","12,5","19,2",,"31,3","27,6"
12/01/2011 22.00,"0,9",13,"19,6",,"26,1","27,6"
12/01/2011 23.00,"0,8","8,4","15,1",,"34,1","27,6"
13/01/2011 0.00,"0,8","7,7","14,6",,"36,7","27,6"
13/01/2011 1.00,"0,9","6,4","13,5",,"35,9","25,5"
13/01/2011 2.00,"0,9","7,9",15,,"33,2","25,5"
13/01/2011 3.00,"0,7","6,3","13,2",,"35,2","25,5"
13/01/2011 4.00,"0,8","5,7","12,6",,"33,2","25,5"
13/01/2011 5.00,"0,9","5,6","12,7",,"30,2","25,5"
13/01/2011 6.00,1,"5,9","13,2",,"27,8","25,5"
13/01/2011 7.00,"0,9","7,9","15,3",,26,"25,5"
13/01/2011 8.00,1,"11,7",20,,"21,4","25,5"
13/01/2011 9.00,1,"11,7","21,2",,"21,2","25,5"
13/01/2011 10.00,"0,8","10,3","19,7",,"29,4","25,5"
13/01/2011 11.00,1,9,"18,1",,36,"25,5"
13/01/2011 12.00,"0,9","9,3","18,3",,"42,2","25,5"
13/01/2011 13.00,"0,9","10,2","19,5",,"45,2","25,5"
13/01/2011 14.00,"0,9","10,1","18,7",,"48,9","25,5"
13/01/2011 15.00,"0,9","11,8","20,4",,"50,5","25,5"
13/01/2011 16.00,"0,9","11,7","19,5",,"49,7","25,5"
13/01/2011 17.00,"0,9","9,9","18,4",,"50,1","25,5"
13/01/2011 18.00,"0,8","11,9","19,3",,"40,1","25,5"
13/01/2011 19.00,"1,1",14,"21,1",,"34,6","25,5"
13/01/2011 20.00,"0,6","13,7","21,1",,"27,7","25,5"
13/01/2011 21.00,"0,9","14,1","21,5",,21,"25,5"
13/01/2011 22.00,1,"16,2","24,3",,"19,5","25,5"
13/01/2011 23.00,"1,1","16,3","24,4",,"17,5","25,5"
14/01/2011 0.00,1,"12,4","20,3",,"22,3","25,5"
14/01/2011 1.00,,"10,7","18,8",,28,"32,9"
14/01/2011 2.00,"0,9",,,,"21,5","32,9"
14/01/2011 3.00,"0,7","8,3","13,6",,"28,8","32,9"
14/01/2011 4.00,1,"7,6","13,3",,"33,9","32,9"
14/01/2011 5.00,1,"7,2","13,7",,,"32,9"
14/01/2011 6.00,1,"6,8","14,3",,"29,5","32,9"
14/01/2011 7.00,"0,9","8,8","16,1",,"30,5","32,9"
14/01/2011 8.00,1,"13,4","20,6",,25,"32,9"
14/01/2011 9.00,1,"25,7","38,7",,"14,5","32,9"
14/01/2011 10.00,"1,1","20,7","33,7",,"23,6","32,9"
14/01/2011 11.00,1,"12,4","21,1",,"40,5","32,9"
14/01/2011 12.00,"0,7","13,2",22,,"44,5","32,9"
14/01/2011 13.00,"0,8","11,2","20,7",,"46,5","32,9"
14/01/2011 14.00,1,"13,7","23,9",,"51,5","32,9"
14/01/2011 15.00,1,"14,6","22,8",,"48,6","32,9"
14/01/2011 16.00,1,18,"25,9",,"42,8","32,9"
14/01/2011 17.00,1,"27,8","36,7",,"25,8","32,9"
14/01/2011 18.00,"0,8","15,2","22,5",,"33,8","32,9"
14/01/2011 19.00,"1,1","11,9","19,1",,30,"32,9"
14/01/2011 20.00,"0,9","12,2","18,9",,"20,3","32,9"
14/01/2011 21.00,"0,9","11,9","19,2",,"4,8","32,9"
14/01/2011 22.00,1,"9,8","18,1",,"9,4","32,9"
14/01/2011 23.00,"0,8","7,7","15,1",,"17,5","32,9"
15/01/2011 0.00,"1,1","12,1","19,5",,"15,9","32,9"
15/01/2011 1.00,"0,9","11,8","20,5",,"9,7","32,7"
15/01/2011 2.00,"0,9","17,9","27,5",,"8,4","32,7"
15/01/2011 3.00,"0,9","10,6","17,9",,"2,3","32,7"
15/01/2011 4.00,"0,9","8,9","17,5",,"0,5","32,7"
15/01/2011 5.00,1,"7,4","15,7",,0,"32,7"
15/01/2011 6.00,"0,8","8,4","16,6",,"1,8","32,7"
15/01/2011 7.00,"0,9","8,8","17,3",,"1,8","32,7"
15/01/2011 8.00,1,"16,8","31,1",,"0,1","32,7"
15/01/2011 9.00,"1,2","20,2","46,3",,0,"32,7"
15/01/2011 10.00,"1,3","26,6","57,6",,"2,6","32,7"
15/01/2011 11.00,1,"13,5","22,8",,"33,2","32,7"
15/01/2011 12.00,1,"8,4","15,9",,"57,2","32,7"
15/01/2011 13.00,"0,9","6,1","13,2",,68,"32,7"
15/01/2011 14.00,"1,1","5,7","12,3",,"72,4","32,7"
15/01/2011 15.00,"1,1","8,6","15,2",,"72,2","32,7"
15/01/2011 16.00,1,7,"13,5",,"63,6","32,7"
15/01/2011 17.00,1,"7,6","14,7",,56,"32,7"
15/01/2011 18.00,"1,1","7,9","15,1",,"56,7","32,7"
15/01/2011 19.00,"0,9","8,1","15,5",,"49,5","32,7"
15/01/2011 20.00,"1,1","6,4","13,5",,"45,3","32,7"
15/01/2011 21.00,"0,8","6,3","13,3",,"42,2","32,7"
15/01/2011 22.00,"1,1","6,2","13,3",,"39,4","32,7"
15/01/2011 23.00,"0,9","6,7",14,,"36,8","32,7"
16/01/2011 0.00,1,"7,6","15,1",,"34,8","32,7"
16/01/2011 1.00,,"10,1","17,5",,"29,3","20,2"
16/01/2011 2.00,"0,9",,,,"25,9","20,2"
16/01/2011 3.00,"0,9","9,4","13,9",,24,"20,2"
16/01/2011 4.00,1,"9,2",14,,"22,6","20,2"
16/01/2011 5.00,"0,9","9,5","14,6",,,"20,2"
16/01/2011 6.00,"0,9","9,3","14,7",,"21,2","20,2"
16/01/2011 7.00,"0,8","8,6","14,3",,20,"20,2"
16/01/2011 8.00,"0,8","9,1","15,3",,"16,5","20,2"
16/01/2011 9.00,"0,9","9,1","16,7",,"22,9","20,2"
16/01/2011 10.00,1,"8,1","16,1",,"30,5","20,2"
16/01/2011 11.00,"0,8","5,5","13,1",,"46,2","20,2"
16/01/2011 12.00,"0,8","3,6","10,3",,64,"20,2"
16/01/2011 13.00,"0,9","4,9","11,5",,"63,7","20,2"
16/01/2011 14.00,1,"6,7","13,7",,"62,8","20,2"
16/01/2011 15.00,"1,1","3,9","9,8",,"67,3","20,2"
16/01/2011 16.00,"1,2","7,3","13,5",,64,"20,2"
16/01/2011 17.00,"1,1","6,7","13,1",,"59,7","20,2"
16/01/2011 18.00,1,"7,6","14,1",,"48,7","20,2"
16/01/2011 19.00,"0,9","8,4","15,3",,"40,6","20,2"
16/01/2011 20.00,"1,1","8,9","16,1",,36,"20,2"
16/01/2011 21.00,1,"9,6","16,8",,"33,6","20,2"
16/01/2011 22.00,"0,9","9,2","16,5",,"29,9","20,2"
16/01/2011 23.00,"0,9","7,9","15,8",,"26,9","20,2"
17/01/2011 0.00,"0,8","8,8","15,9",,"24,9","20,2"
17/01/2011 1.00,"0,8","8,2","15,1",,25,"40,6"
17/01/2011 2.00,"0,9","7,8","14,3",,24,"40,6"
17/01/2011 3.00,1,"7,2","13,6",,"26,3","40,6"
17/01/2011 4.00,"0,9","7,3","13,9",,"24,7","40,6"
17/01/2011 5.00,"0,9","6,7","13,4",,"21,7","40,6"
17/01/2011 6.00,"0,9","6,4","13,3",,"19,4","40,6"
17/01/2011 7.00,"0,9","6,9","13,8",,"19,5","40,6"
17/01/2011 8.00,1,9,"16,6",,"21,4","40,6"
17/01/2011 9.00,"0,9","13,9","25,8",,"15,5","40,6"
17/01/2011 10.00,"0,8","10,3","19,7",,"24,4","40,6"
17/01/2011 11.00,"0,9","11,3","20,7",,"34,6","40,6"
17/01/2011 12.00,"0,8","6,6","13,8",,53,"40,6"
17/01/2011 13.00,"0,7","7,7","15,1",,"55,3","40,6"
17/01/2011 14.00,1,"6,9","13,9",,"56,1","40,6"
17/01/2011 15.00,1,"10,5","17,8",,"48,1","40,6"
17/01/2011 16.00,1,"16,3","25,1",,"40,6","40,6"
17/01/2011 17.00,"0,9","12,8","19,8",,"43,7","40,6"
17/01/2011 18.00,"0,9","14,7","22,2",,32,"40,6"
17/01/2011 19.00,1,"16,6","24,4",,"24,2","40,6"
17/01/2011 20.00,"1,1","23,1","30,7",,"11,8","40,6"
17/01/2011 21.00,"1,2","23,1","31,1",,10,"40,6"
17/01/2011 22.00,"1,3","23,2","30,9",,"11,3","40,6"
17/01/2011 23.00,"1,5","21,1",29,,"7,4","40,6"
18/01/2011 0.00,"1,4","16,6","24,2",,"3,9","40,6"
18/01/2011 1.00,,"9,5","17,4",,"7,8","33,9"
18/01/2011 2.00,"0,4",,,,"5,2","33,9"
18/01/2011 3.00,"0,5","6,9","11,8",,"2,9","33,9"
18/01/2011 4.00,"0,5","7,4","13,3",,"9,4","33,9"
18/01/2011 5.00,"0,4","6,3","11,9",,,"33,9"
18/01/2011 6.00,"0,5","5,7","11,4",,11,"33,9"
18/01/2011 7.00,"0,5",5,"10,8",,"22,7","33,9"
